regime,prompt_idx,mode,n_steps,fisher_mean,fisher_std,n_down,n_up,n_hold,elapsed_s,model
factual,0,baseline,256,9557.468546185293,4506.745191053307,0,0,256,83.41,google/gemma-3-4b-it
factual,0,adaptive,256,9680.401679302908,4785.995373700149,46,14,196,80.83,google/gemma-3-4b-it
factual,1,baseline,256,8036.669079941725,1660.3578775722135,0,0,256,78.73,google/gemma-3-4b-it
factual,1,adaptive,256,7075.198266778897,1710.9782142450606,61,9,186,79.63,google/gemma-3-4b-it
factual,2,baseline,256,8312.629441211797,2628.637700677689,0,0,256,78.79,google/gemma-3-4b-it
factual,2,adaptive,256,8312.629441211797,2628.637700677689,56,40,160,77.71,google/gemma-3-4b-it
factual,3,baseline,256,8438.052280415817,1701.0118154743982,0,0,256,77.3,google/gemma-3-4b-it
factual,3,adaptive,256,7630.451780524352,1734.9669240109674,30,35,191,79.15,google/gemma-3-4b-it
factual,4,baseline,256,7646.211515693771,2654.0853976807834,0,0,256,79.51,google/gemma-3-4b-it
factual,4,adaptive,256,7646.211515693771,2654.0853976807834,65,0,191,79.09,google/gemma-3-4b-it
factual,5,baseline,256,7683.6186153052095,2535.489660123348,0,0,256,77.21,google/gemma-3-4b-it
factual,5,adaptive,256,6982.400106276085,2100.0544593052405,46,0,210,78.09,google/gemma-3-4b-it
factual,6,baseline,256,6928.853460493994,2501.8773370241247,0,0,256,79.22,google/gemma-3-4b-it
factual,6,adaptive,256,7377.738204645941,2510.8514523190943,34,19,203,78.79,google/gemma-3-4b-it
mathematical,0,baseline,256,5460.459218208048,1125.1592591851884,0,0,256,78.38,google/gemma-3-4b-it
mathematical,0,adaptive,256,5333.083881837888,1054.4934862632877,52,31,173,77.51,google/gemma-3-4b-it
mathematical,1,baseline,256,6658.376076444522,1574.396417079476,0,0,256,78.99,google/gemma-3-4b-it
mathematical,1,adaptive,256,6196.195613199685,1524.1231492258555,36,26,194,76.7,google/gemma-3-4b-it
mathematical,2,baseline,256,6620.254925866988,1403.5527491085109,0,0,256,78.1,google/gemma-3-4b-it
mathematical,2,adaptive,256,6620.254925866988,1403.5527491085109,54,43,159,78.35,google/gemma-3-4b-it
mathematical,3,baseline,256,5425.033917748235,1018.3058472960385,0,0,256,77.65,google/gemma-3-4b-it
mathematical,3,adaptive,256,5425.033917748235,1018.3058472960385,71,0,185,78.29,google/gemma-3-4b-it
mathematical,4,baseline,256,5020.876900766487,1096.6846253509977,0,0,256,80.23,google/gemma-3-4b-it
mathematical,4,adaptive,256,5020.876900766487,1096.6846253509977,88,10,158,78.91,google/gemma-3-4b-it
mathematical,5,baseline,256,5785.875357691817,1148.057095052429,0,0,256,79.66,google/gemma-3-4b-it
mathematical,5,adaptive,256,5785.875357691817,1148.057095052429,80,0,176,77.86,google/gemma-3-4b-it
mathematical,6,baseline,256,6283.204210535581,1345.293572439451,0,0,256,79.3,google/gemma-3-4b-it
mathematical,6,adaptive,256,6288.597747933889,1308.829001157953,89,0,167,79.16,google/gemma-3-4b-it
creative,0,baseline,256,7791.408062330471,2292.345365777859,0,0,256,78.15,google/gemma-3-4b-it
creative,0,adaptive,256,8116.432177431455,1668.7283374837893,47,17,192,79.25,google/gemma-3-4b-it
creative,1,baseline,256,9138.02338697614,2532.8388520368685,0,0,256,79.72,google/gemma-3-4b-it
creative,1,adaptive,256,9443.223796227012,2391.3027019087313,12,8,236,79.57,google/gemma-3-4b-it
creative,2,baseline,256,9797.156747978863,2278.70837802916,0,0,256,77.93,google/gemma-3-4b-it
creative,2,adaptive,256,9444.947943532981,2417.249163411203,32,20,204,79.96,google/gemma-3-4b-it
creative,3,baseline,256,8509.892002462333,2401.7914164746435,0,0,256,76.84,google/gemma-3-4b-it
creative,3,adaptive,256,8199.298952720772,2117.8291295776094,64,35,157,79.97,google/gemma-3-4b-it
creative,4,baseline,256,9759.83292228527,1828.7585400978658,0,0,256,79.32,google/gemma-3-4b-it
creative,4,adaptive,256,10160.848312066115,1845.497244895888,59,31,166,79.48,google/gemma-3-4b-it
creative,5,baseline,256,9393.607984822947,2359.6711196519395,0,0,256,79.36,google/gemma-3-4b-it
creative,5,adaptive,256,9135.913402386072,2108.9923521102382,28,64,164,80.16,google/gemma-3-4b-it
creative,6,baseline,256,9044.033905773194,2157.187566214437,0,0,256,79.53,google/gemma-3-4b-it
creative,6,adaptive,256,9332.141419262458,2031.3978304852485,29,32,195,78.34,google/gemma-3-4b-it
