step,token_id,fisher_value,running_mean,running_std,temperature,action,fisher_early,fisher_mid,fisher_late
0,108,0.0,,,0.9,hold,0.0,0.0,0.0
1,818,3003.83935546875,,,0.9,hold,72.09088134765625,3003.83935546875,34721.02734375
2,2214,1954.3325500488281,,,0.9,hold,86.23655700683594,1954.3325500488281,39824.177734375
3,691,2673.4710489908853,,,0.9,hold,112.24687194824219,2673.4710489908853,36463.94921875
4,496,2364.0455169677734,1907.9107386271157,1165.05584557718,0.9,hold,113.818359375,2364.0455169677734,32690.41552734375
5,4512,1962.464208984375,1999.1376942952472,1057.9099812438035,0.9,hold,106.57859802246094,1962.464208984375,30399.051953125
6,236764,1843.982889811198,1993.0254467434352,965.8319754828366,0.9,hold,126.30883534749348,1843.982889811198,27373.05908203125
7,121553,1779.2878592354912,1971.7336528959727,895.706323809011,0.9,hold,128.19457135881697,1779.2878592354912,25823.183454241072
8,6219,1692.112777709961,1947.6779286884125,840.2703947353514,0.9,hold,127.19041061401367,1692.112777709961,25182.999389648438
9,236764,1588.7730984157986,1919.2818008019178,796.2754392128556,0.9,hold,126.30231391059027,1588.7730984157986,25017.312174479168
10,496,1544.705126953125,1886.2309305633057,761.8926156598019,0.9,hold,140.88308410644532,1544.705126953125,23980.27138671875
11,201209,1451.4483143199575,1855.1831302351077,733.0409778668832,0.9,hold,135.21078491210938,1451.4483143199575,23970.546253551136
12,2342,1419.3920135498047,1821.5385622421784,710.6486559052087,0.9,hold,144.56433868408203,1419.3920135498047,23988.522867838543
13,506,1412.291996882512,1790.604212342765,691.1272759476578,0.9,hold,143.01101860633264,1412.291996882512,24755.31407752404
14,28658,1339.1735011509486,1763.5819112384613,673.0759411644849,0.9,hold,142.44200733729772,1339.1735011509486,24001.707938058036
15,12819,1304.5837483723958,1735.288017232627,658.8146652908486,0.9,hold,145.51534169514974,1304.5837483723958,23143.3123046875
16,236761,1266.911808013916,1708.3690004288628,646.358234640779,0.9,hold,145.18737649917603,1266.911808013916,22504.54119873047
17,205520,1342.3537059110754,1682.4009302868071,635.6045820927421,0.9,hold,160.80288382137522,1342.3537059110754,23972.649988511028
18,236764,1344.7139044867622,1663.5094178214886,622.5883359746138,0.9,hold,159.27512656317816,1344.7139044867622,25195.816786024305
19,506,1322.6052021227385,1646.730706593345,610.1498457506157,0.9,hold,158.77992047761617,1322.6052021227385,25501.24635074013
20,63937,1296.1456634521485,1630.5244313698147,598.8813875319596,0.9,hold,155.13633003234864,1296.1456634521485,25225.042431640624
21,64222,1346.5147850399926,1614.601632897545,588.77043959469,0.9,hold,155.56123824346633,1346.5147850399926,24873.590727306546
22,236764,1324.1973127885299,1602.415867085838,577.9378291432954,0.9,hold,153.27845313332298,1324.1973127885299,24728.680530894886
23,1053,1311.0274737814198,1590.3194082033465,568.0748213298994,0.9,hold,152.55640411376953,1311.0274737814198,25063.462423573368
24,7785,1275.3734919230144,1578.6822442690993,558.9074490721703,0.9,hold,149.1555233001709,1275.3734919230144,24755.340779622395
25,19925,1250.7224194335938,1566.549894175256,550.8312710937005,0.9,hold,148.04087677001954,1250.7224194335938,26014.8202734375
26,1518,1250.5388770470252,1554.402683608269,543.5385416005983,0.9,hold,147.52507107074445,1250.5388770470252,26236.858435997598
27,73669,1247.7140683774594,1543.148468550445,536.456179069005,0.9,hold,150.8529648957429,1247.7140683774594,27295.211769386573
28,531,1235.1432734898158,1532.5972399728382,529.6348322389584,0.9,hold,150.0289203098842,1235.1432734898158,27593.578369140625
29,625,1220.0873244713093,1522.3402066458375,523.2456211497095,0.9,hold,149.77457506903286,1220.0873244713093,26852.935984644395
30,236764,1208.2109822591146,1512.2651105733532,517.3040691727846,0.9,hold,146.76080245971679,1208.2109822591146,26440.296256510417
31,496,1197.2136978641634,1502.4569128857972,511.7197976159453,0.9,hold,146.50224328810168,1197.2136978641634,26606.142861643144
32,63411,1127.6213260773688,1492.9180624163712,506.4531518429769,0.9,hold,146.47306380733366,1127.6213260773688,26308.098695816534
33,10664,1212.50586921938,1481.8484643454922,502.6364267664383,0.9,hold,151.01465188303303,1212.50586921938,25358.63101688508
34,185853,1105.1117297757057,1473.9266233123712,497.27620453376494,0.9,hold,149.35504396500127,1105.1117297757057,25583.67650579637
35,684,1101.5879615045362,1463.3890549256093,493.95723400156294,0.9,hold,150.22590095766128,1101.5879615045362,26323.83218876008
36,506,1124.074665684854,1453.3390245528017,490.6640946212313,0.9,hold,151.00454884190714,1124.074665684854,26921.187783518144
37,81964,1099.5304752472907,1444.439987826641,486.92443548900525,0.9,hold,146.6564486103673,1099.5304752472907,27079.2947328629
38,41371,1090.8658653997607,1435.3634217061317,483.63649886483756,0.9,hold,148.25024783226752,1090.8658653997607,27104.96761592742
39,529,1086.0509279312625,1426.5301510316094,480.4911355261128,0.9,hold,149.29124869069744,1086.0509279312625,27412.839528729837
40,506,1131.9864039267263,1418.018170454101,477.4155807649099,0.9,hold,149.57908162763042,1131.9864039267263,27280.082535282258
41,13343,1105.8208854429183,1411.041785904653,473.61722154119354,0.9,hold,143.0039291381836,1105.8208854429183,27030.7794858871
42,236761,1225.7652902910786,1403.774621607945,470.25286717971704,0.9,hold,145.76927701888545,1225.7652902910786,26952.33203125
43,108,1328.2997928742438,1399.6348697168548,465.52636598542296,0.9,hold,152.7771968226279,1328.2997928742438,26904.947706653227
44,2209,1298.7411567934098,1398.0136179704318,460.32867039020726,0.9,hold,150.35800823088616,1298.7411567934098,25983.099782636087
45,9312,1315.7993784258442,1395.8075632776092,455.4203272566659,0.9,hold,149.45888408537834,1315.7993784258442,26558.9371062248
46,506,1339.2049531013736,1394.0682549112664,450.5939920834509,0.9,hold,150.55056873444587,1339.2049531013736,27302.52921811996
47,108726,1333.7032775878906,1392.900950617439,445.84496499177976,0.9,hold,149.89869160805978,1333.7032775878906,27539.552466607864
48,236764,1338.9596252441406,1391.6676657626567,441.25731341681325,0.9,hold,142.50480762604744,1338.9596252441406,27302.189815398186
49,506,1362.7760354318928,1390.5919914663605,436.79505864923163,0.9,hold,144.0024011673466,1362.7760354318928,26554.504898563508
50,10445,1353.6875876149822,1390.035672345671,432.4225824959926,0.9,hold,141.62851481283866,1353.6875876149822,26716.57161983367
51,236764,1353.3875821021295,1389.3229648019321,428.1918154179958,0.9,hold,144.75263620192004,1353.3875821021295,26653.695863785284
52,68817,1308.832294094947,1388.631899750013,424.08331656885053,0.9,hold,144.16863558369297,1308.832294094947,26646.358225176413
53,9899,1342.5006605579008,1387.126246813125,420.2037716583383,0.9,hold,146.45231665334393,1342.5006605579008,26691.481335055443
54,529,1339.4732262396044,1386.2998470676578,416.3382856951707,0.9,hold,147.19419405537266,1339.4732262396044,26628.844301285284
55,506,1379.6688891995339,1385.448453961693,412.5834691061649,0.9,hold,149.47439341391288,1379.6688891995339,26773.572060861894
56,5442,1375.541250905683,1385.3452474480832,408.88381057386175,0.9,hold,147.6850478879867,1375.541250905683,25438.27783203125
57,236761,1428.3697027391004,1385.1732475087426,405.2832837037367,0.9,hold,148.76481296170144,1428.3697027391004,25175.74128969254
58,138,1506.7880180112777,1385.9180139782316,401.81361576690426,0.9,hold,153.4637856022004,1506.7880180112777,24230.05013545867
59,2209,1495.985384048954,1387.9666581143852,398.699251243029,0.9,hold,152.02052787042433,1495.985384048954,23192.146397744455
60,236858,1499.8429102743826,1389.7669702132946,395.604559741605,0.9,hold,149.9736917557255,1499.8429102743826,24163.588308026712
61,236753,1527.5635523642263,1391.5714938208534,392.5974065048219,0.9,hold,151.64366162207818,1527.5635523642263,25437.66271578881
62,1765,1552.7817943942161,1393.7649141199402,389.7950597078189,0.9,hold,152.31845646519815,1552.7817943942161,26081.665424962197
