step,token_id,fisher_value,running_mean,running_std,temperature,action,fisher_early,fisher_mid,fisher_late
0,108,0.0,,,0.9,hold,0.0,0.0,0.0
1,1408,1373.86572265625,,,0.9,hold,103.09944152832031,1373.86572265625,33169.46875
2,91776,1239.8146362304688,,,0.9,hold,105.68054962158203,1239.8146362304688,29599.8193359375
3,529,2419.028116861979,,,0.9,hold,164.04380798339844,2419.028116861979,25936.145833333332
4,4109,2794.572296142578,1258.1771189371743,857.9489693260203,0.765,down,149.9237060546875,2794.572296142578,25248.39501953125
5,5289,2471.6249267578123,1565.4561543782552,983.1290707055731,0.9,hold,161.37562255859376,2471.6249267578123,25486.214453125
6,564,2172.0579630533853,1716.4842831081812,958.9055148430657,0.9,hold,160.0503692626953,2172.0579630533853,27284.322591145832
7,108,2004.6390293666295,1781.5662373860673,901.9737461209555,0.9,hold,148.07502637590682,2004.6390293666295,29447.290457589286
8,818,1940.2462539672852,1809.4503363836377,846.9384391409653,0.9,hold,157.6067762374878,1940.2462539672852,27534.343872070312
9,33151,1817.7823079427083,1823.983216115154,799.558523205957,0.9,hold,149.92313724093967,1817.7823079427083,27926.66482204861
10,529,1784.92578125,1823.3631252979092,758.5300979147335,0.9,hold,153.37444381713868,1784.92578125,28572.83935546875
11,4109,1804.235928622159,1819.8688212935538,723.3144803349878,0.9,hold,151.19451002641156,1804.235928622159,27790.36603338068
12,5289,1779.0645446777344,1818.5660802376042,692.5343694127063,0.9,hold,155.49234453837076,1779.0645446777344,27546.092529296875
13,564,1720.6565692608174,1815.5275005791527,665.4487541137602,0.9,hold,151.89211038442758,1720.6565692608174,27769.29755108173
14,691,1712.9139578683037,1808.7510054849859,641.7077760490492,0.9,hold,145.84624372209822,1712.9139578683037,29710.558942522322
15,496,1654.6837565104167,1802.361868977207,620.4093595634008,0.9,hold,144.35367279052736,1654.6837565104167,30049.4169921875
16,3996,1576.3355388641357,1793.131986948033,601.7714669446717,0.9,hold,140.1677861213684,1576.3355388641357,29524.07891845703
17,2460,1594.0607317756203,1780.3792547078037,586.0284237091388,0.9,hold,149.12765009262984,1594.0607317756203,28783.737419577206
18,607,1552.2862599690754,1770.0282256560158,571.1141319709869,0.9,hold,147.61092461480035,1552.2862599690754,29271.493760850695
19,10572,1537.8748441997327,1758.5681221988086,558.0039874145135,0.9,hold,152.47827790912828,1537.8748441997327,29521.06234580592
20,15605,1485.9695404052734,1747.5334582988548,545.9977470764907,0.9,hold,153.37365264892577,1485.9695404052734,28846.556982421876
21,9454,1446.0834292457216,1735.0780336372559,535.7428571943022,0.9,hold,150.33307756696428,1446.0834292457216,27945.383463541668
22,236764,1419.3038441051137,1721.9419152558223,526.8754468894193,0.9,hold,148.56563117287376,1419.3038441051137,28081.808860085228
23,1546,1423.2040856402853,1708.7837382492696,518.9771646386246,0.9,hold,151.96245641293734,1423.2040856402853,27287.31551460598
24,20894,1427.3452046712239,1696.8845860572285,511.2450253554857,0.9,hold,151.49389616648355,1427.3452046712239,27035.439412434895
25,531,1405.8303271484374,1686.1030108017885,503.69279692357054,0.9,hold,152.15474395751954,1405.8303271484374,27212.7486328125
26,506,1379.3663189227764,1675.3232921997367,496.84358931637985,0.9,hold,149.706725193904,1379.3663189227764,27077.750713641828
27,118928,1340.1233814380787,1664.3619228191083,490.7491927389981,0.9,hold,146.95697304054542,1340.1233814380787,26717.12127459491
28,49338,1338.687212262835,1652.781974912643,485.6481222111779,0.9,hold,146.63745934622628,1338.687212262835,26160.560651506697
29,1534,1316.8032121329472,1641.9511210281667,480.63063337637595,0.9,hold,144.96126451163457,1316.8032121329472,26208.278926454743
30,6693,1335.176942952474,1631.112857398326,476.1430278940726,0.9,hold,144.1218068440755,1335.176942952474,26566.317154947916
31,13361,1328.824224656628,1621.566537577492,471.30972136143936,0.9,hold,146.89809245447958,1328.824224656628,26108.262978830644
32,236761,1307.045433782762,1612.418340298715,466.6750225764043,0.9,hold,147.68290070564515,1307.045433782762,25986.41462953629
33,5715,1335.3249708606352,1603.1646158588376,462.5215876896758,0.9,hold,157.5276351436492,1335.3249708606352,25790.85767389113
34,236789,1218.0667606476813,1595.2869792412437,457.910643789365,0.9,hold,155.91840239494078,1218.0667606476813,26748.620715725807
35,236751,1155.0868038054437,1584.509258709999,455.67604033939716,0.9,hold,163.121094734438,1155.0868038054437,27893.271988407258
36,496,1178.8316059727822,1572.5808571848725,454.8108337600204,0.9,hold,165.8825870636971,1178.8316059727822,28342.8669984879
37,25890,1170.8596073273688,1561.9389855304914,453.14374683799645,0.9,hold,163.9032208842616,1170.8596073273688,28103.013797883064
38,529,1158.357941658266,1551.6474229461987,451.50248318392005,0.9,hold,166.17051179947393,1158.357941658266,27619.200163810485
39,506,1126.3191193611392,1541.5630772721493,449.99091891770587,0.9,hold,162.31277613486014,1126.3191193611392,27654.03515625
40,2307,1108.4578335669732,1531.181978324374,449.03502405722617,0.9,hold,161.49342321580457,1108.4578335669732,26974.25400075605
41,5872,1079.022981705204,1520.8716333302912,448.29311469504626,0.9,hold,159.6458262781943,1079.022981705204,26245.416047127015
42,236787,1033.7785851263232,1510.3514273392177,448.01725296609703,1.035,up,158.9473111552577,1033.7785851263232,26345.72476688508
43,108,1052.5116094773816,1499.2683379854295,448.56507787099116,0.9,hold,160.8093490600586,1052.5116094773816,26602.36759702621
44,236829,1061.1105415590348,1489.114775973883,448.4091185159138,0.9,hold,159.28577361568327,1061.1105415590348,26728.12288936492
45,5213,1034.2643245573968,1479.603570764664,447.86479213617866,0.9,hold,160.8592139213316,1034.2643245573968,25690.119991179436
46,236792,1032.756565217049,1469.9222828036366,447.705377411879,0.9,hold,158.965027224633,1032.756565217049,25957.104870211693
47,168772,1139.3721077211442,1460.6208845571134,447.3870341315521,0.9,hold,160.70904922485352,1139.3721077211442,26977.7117250504
48,1929,1296.3494026430192,1453.928201706364,445.0735707201027,0.9,hold,164.6368574327038,1296.3494026430192,28422.31517767137
49,53121,1300.8381800497732,1450.7123078479283,441.0716893509264,0.9,hold,164.26608460949313,1300.8381800497732,28079.450888356856
50,138,1287.5066567697834,1447.714825291965,437.14255183639153,0.9,hold,161.32944697718466,1287.5066567697834,27585.812027469758
51,236776,1294.623524327432,1444.5734886542753,433.4052109492993,0.9,hold,158.77512051982265,1294.623524327432,27185.331086189515
52,25581,1296.459725656817,1441.6898354941436,429.7113635224386,0.9,hold,158.67495592178838,1296.459725656817,27888.74404611895
53,12750,1297.575466032951,1438.949644742496,426.0965949371012,0.9,hold,159.9099730214765,1297.575466032951,27483.187846522178
54,528,1270.933553388042,1436.331604396023,422.5628787443679,0.9,hold,159.20186971849012,1270.933553388042,28097.934223790322
55,506,1246.7561714418473,1433.3243671049686,419.2865367546182,0.9,hold,157.5702481423655,1246.7561714418473,28713.78881048387
56,8020,1230.2049343970514,1429.9927921824133,416.2599659986377,0.9,hold,155.90260376468783,1230.2049343970514,28580.556766633064
57,529,1233.682583716608,1426.487742045828,413.425294850863,0.9,hold,158.40627817953788,1233.682583716608,28871.845073084678
58,7820,1259.3258470104586,1423.1635151780831,410.6135011108087,0.9,hold,159.1717614204653,1259.3258470104586,29423.54989919355
59,6332,1303.6959248204384,1420.3866055481233,407.667772725027,0.9,hold,159.43049190890403,1303.6959248204384,29930.550340221773
60,532,1311.6697781470514,1418.4417608693286,404.5321893232576,0.9,hold,161.3447121650942,1311.6697781470514,30854.156943044356
61,100181,1313.7766763010334,1416.6914004968323,401.43167760297314,0.9,hold,164.9164685895366,1313.7766763010334,30816.920929939515
62,85132,1333.5262785880795,1415.0314855904485,398.3921619084837,0.9,hold,163.07189855267924,1333.5262785880795,31875.6183530746
63,614,1347.6518042779737,1413.7377521459664,395.34893493481013,0.9,hold,162.67646949521958,1347.6518042779737,32432.84056829637
64,12162,1313.1633182648688,1412.7051592105286,392.3337282159784,0.9,hold,153.01689357142294,1313.1633182648688,32534.827211441534
65,7547,1304.4975369361139,1411.173746272903,389.49680384536975,0.9,hold,150.304989845522,1304.4975369361139,32747.211284022178
66,236761,1302.7971644247732,1409.5574400708306,386.75440107578277,0.9,hold,150.68776099912583,1302.7971644247732,32113.905966481856
67,17041,1393.010937106225,1407.9640031208894,384.0755415102906,0.9,hold,173.936337501772,1393.010937106225,31909.461788054436
68,4869,1467.466830345892,1407.744105091262,381.2452459168904,0.9,hold,179.19345941851216,1467.466830345892,32560.106823336693
69,910,1495.889679939516,1408.6096518340826,378.53981207412915,0.9,hold,178.12636061637633,1495.889679939516,32895.310452368954
70,7820,1488.8395572785407,1409.856509378446,375.9689166669731,0.9,hold,179.5566291809082,1488.8395572785407,32683.483114919356
71,11704,1515.9131213772682,1410.9689466728134,373.4278650698227,0.9,hold,182.4838267910865,1515.9131213772682,32867.81782384073
72,532,1529.5073124054938,1412.4265046548198,371.0288738528668,0.9,hold,182.31917412050308,1529.5073124054938,33551.956936743954
73,5535,1581.1075636340727,1414.030351336336,368.7300447839363,0.9,hold,187.15610319568265,1581.1075636340727,33797.90533644153
74,15747,1545.113566737021,1416.2881515025215,366.7378532143588,0.9,hold,182.1380018418835,1545.113566737021,33656.02857232863
75,8632,1526.7614962670111,1418.0058237056483,364.5842751833035,0.9,hold,183.09314407840853,1526.7614962670111,32890.98352444557
76,65534,1523.3831983996977,1419.436819397245,362.3897145437467,0.9,hold,182.53098789338142,1523.3831983996977,32948.911825856856
77,532,1519.561531313004,1420.7867723713027,360.2211391997042,0.9,hold,184.26903804655998,1519.561531313004,32354.553647933466
78,5760,1439.3397177419354,1422.0531154346581,358.07704179273196,0.9,hold,184.33667927403604,1439.3397177419354,31353.025926159273
79,695,1251.0859965662803,1422.2719331853832,355.8087620507007,0.9,hold,176.66134545110887,1251.0859965662803,31536.683058215727
80,236761,1293.7111028855848,1420.1321089776443,354.089121092795,0.9,hold,179.21527025776524,1293.7111028855848,32637.81851688508
81,107,1363.1445863785282,1418.5713558160141,352.173382749614,0.9,hold,193.92730835945375,1363.1445863785282,32531.40640751008
82,236829,1376.0613088300152,1417.895419603362,350.0722586510003,0.9,hold,192.16212168047505,1376.0613088300152,33021.667275705644
83,5213,1398.8264691752772,1417.3913941723576,347.9869316561454,0.9,hold,193.07964989446825,1398.8264691752772,32462.998361895163
84,3243,1399.463615171371,1417.1703831604875,345.9152393337242,0.9,hold,189.7051597102996,1399.463615171371,33492.37890625
85,23507,1428.5036896736392,1416.9620682429686,343.87972378400684,0.9,hold,186.70219113749843,1428.5036896736392,34083.9255922379
86,53121,1590.005176175025,1417.096273143325,341.8768161231731,0.9,hold,204.47710061842395,1590.005176175025,34108.05550655242
87,562,1607.0348067745085,1419.083731798862,340.40565685549944,0.9,hold,215.43870359851468,1607.0348067745085,34108.916645665326
88,124470,1598.9771561161165,1421.2195394690398,339.0517719134611,0.9,hold,213.39829414121567,1598.9771561161165,33853.27104334677
89,4108,1628.8587124732232,1423.21681606058,337.6618196246348,0.9,hold,219.79746578585716,1628.8587124732232,33492.26518397177
