step,token_id,fisher_value,running_mean,running_std,temperature,action,fisher_early,fisher_mid,fisher_late
0,108,0.0,,,0.9,hold,0.0,0.0,0.0
1,2094,738.691650390625,,,0.9,hold,113.70402526855469,738.691650390625,23646.4921875
2,563,768.92138671875,,,0.9,hold,146.94068145751953,768.92138671875,38167.0390625
3,496,645.0001932779948,,,0.9,hold,129.56765747070312,645.0001932779948,34819.442057291664
4,9760,592.6886596679688,538.1533075968424,314.0440943380396,0.9,hold,117.25695037841797,592.6886596679688,32256.8193359375
5,2608,819.66533203125,549.0603780110677,281.7353568361151,0.9,hold,128.95505981445314,819.66533203125,28491.237890625
6,600,787.69873046875,594.1612036810981,276.25368496679414,0.9,hold,125.38500340779622,787.69873046875,27978.170572916668
7,815,934.2224469866071,621.8094217936198,264.57577830821515,0.765,down,124.75602068219867,934.2224469866071,26702.90262276786
8,1010,869.0925750732422,660.8610499427432,268.18931240336303,0.9,hold,116.83341360092163,869.0925750732422,26289.615234375
9,14810,820.4820590549045,683.9978860683542,261.1824836070357,0.9,hold,110.60843827989366,820.4820590549045,27347.279947916668
10,236761,819.6001129150391,697.6463033670092,251.13975078025993,0.9,hold,118.95153732299805,819.6001129150391,27973.275390625
11,108,875.5310086337003,708.733013325921,242.00533603642964,0.9,hold,138.50194688276812,875.5310086337003,27608.382457386364
12,818,897.4048487345377,722.6328462682359,236.24413861219531,0.9,hold,132.55211893717447,897.4048487345377,26133.555989583332
13,7724,875.8908245380109,736.0768464579513,231.70457555967013,0.9,hold,131.61027292104868,875.8908245380109,25357.804462139422
14,563,1245.6036660330635,746.0635591779557,226.1609415557009,0.765,down,139.31082262311662,1245.6036660330635,25365.91385323661
15,684,1375.7229919433594,779.3662329682961,251.52694990666035,0.765,down,139.41766967773438,1375.7229919433594,24935.047330729165
16,38912,1338.4494152069092,816.6385304042377,283.1078521774144,0.765,down,136.2369270324707,1338.4494152069092,26757.149353027344
17,236761,1363.1616121179918,847.3332883338066,300.8488614246214,0.765,down,137.0583792293773,1363.1616121179918,27399.862994025734
18,108,1371.7643822564019,875.9904174329281,315.3452549640296,0.765,down,144.03157467312283,1371.7643822564019,27294.405110677082
19,43916,1342.3542721396998,902.0837840025846,326.2887604978579,0.765,down,142.6086654663086,1342.3542721396998,26355.91431949013
20,236764,1377.92742767334,924.0973084094403,332.18736782985104,0.765,down,146.2034725189209,1377.92742767334,26565.634423828124
21,573,1361.458035423642,945.7082664696261,338.28158321567116,0.765,down,144.06631687709265,1361.458035423642,26364.22391183036
22,506,1332.0418853759766,964.6059832402632,341.66132682242664,0.765,down,141.33602766557172,1332.0418853759766,27031.790438565342
23,24273,1296.7407903256624,980.5814572461637,342.4498280545392,0.9,hold,139.22280552076256,1296.7407903256624,27152.640752377716
24,529,1293.2202898661296,993.7547627911428,341.14056299538277,0.9,hold,141.91921997070312,1293.2202898661296,27546.222778320312
25,38912,1264.3262854003906,1005.7333838741423,339.3604353565891,0.9,hold,141.53173767089845,1264.3262854003906,27594.1714453125
26,236764,1296.4751974252554,1015.679264702075,336.4655646844379,0.9,hold,143.13135293813852,1296.4751974252554,27804.42732121394
27,600,1288.5669453938801,1026.0791140621927,334.407275645039,0.9,hold,143.46476971661602,1288.5669453938801,27681.37547019676
28,874,1254.2675792149134,1035.453679466896,331.9746792397234,0.9,hold,141.68985067095076,1254.2675792149134,27357.819301060266
29,4784,1235.5374492776805,1042.9989863547585,328.6350957751749,0.9,hold,144.58727422253838,1235.5374492776805,28074.316641971982
30,236782,1240.5200022379556,1049.416935118856,324.9546182058104,0.9,hold,146.39223098754883,1240.5200022379556,28967.09111328125
