step,token_id,fisher_value,running_mean,running_std,temperature,action,fisher_early,fisher_mid,fisher_late
0,108,0.0,,,0.9,hold,0.0,0.0,0.0
1,818,3003.83935546875,,,0.9,hold,72.09088134765625,3003.83935546875,34721.02734375
2,2255,1954.3325500488281,,,0.9,hold,86.23655700683594,1954.3325500488281,39824.177734375
3,63937,1740.1427612304688,,,0.9,hold,112.39033508300781,1740.1427612304688,31149.5390625
4,64222,2052.954605102539,,,0.9,hold,125.36843490600586,2052.954605102539,28156.34912109375
5,236764,1919.2343872070312,,,0.9,hold,119.70085144042969,1919.2343872070312,27159.541796875
6,205520,1701.4351196289062,,,0.9,hold,116.32560857137044,1701.4351196289062,26552.530924479168
7,236764,1604.2461635044642,,,0.9,hold,119.39952414376395,1604.2461635044642,28960.76981026786
8,1053,1514.2690505981445,,,0.9,hold,120.80675411224365,1514.2690505981445,30698.307861328125
9,7785,1400.3389994303386,,,0.9,hold,115.7818357679579,1400.3389994303386,29506.45529513889
10,506,1341.1778778076173,,,0.9,hold,112.16139068603516,1341.1778778076173,31855.5453125
11,1774,1304.6727156205611,,,0.9,hold,112.48801768909802,1304.6727156205611,31487.989169034092
12,28959,1254.3703282674153,,,0.9,hold,120.04336166381836,1254.3703282674153,31537.624837239582
13,1518,1212.5594646747295,,,0.9,hold,122.88927870530348,1212.5594646747295,32318.81355168269
14,529,1186.9710540771484,,,0.9,hold,125.94283403669085,1186.9710540771484,34094.79840959822
15,914,1185.1305440266926,,,0.9,hold,123.93073221842448,1185.1305440266926,33988.836588541664
16,1972,1167.2955837249756,,,0.9,hold,120.44786500930786,1167.2955837249756,33396.74475097656
17,73669,1156.1006487678078,,,0.9,hold,118.93394066305721,1156.1006487678078,34262.99965533088
18,506,1152.3238237169053,,,0.9,hold,118.97701899210612,1152.3238237169053,35014.83908420139
19,2214,1138.9969980340254,,,0.9,hold,120.48769458971526,1138.9969980340254,34225.17053865131
20,236761,1229.3736618041992,,,0.9,hold,123.20543251037597,1229.3736618041992,33727.28134765625
21,669,1306.370609828404,,,0.9,hold,125.9329343523298,1306.370609828404,33136.318080357145
22,81964,1281.5881222811613,,,0.9,hold,123.37797477028586,1281.5881222811613,32749.305397727272
23,41371,1361.6654092539911,,,0.9,hold,132.93857806661853,1361.6654092539911,32415.160580842392
24,529,1341.7414232889812,,,0.9,hold,134.24496714274088,1341.7414232889812,32184.7158203125
25,506,1384.6068054199218,,,0.9,hold,133.77694213867187,1384.6068054199218,31661.881875
26,13343,1344.4269045316255,,,0.9,hold,131.11995873084436,1344.4269045316255,30776.784405048078
27,236764,1461.491279884621,,,0.9,hold,132.23511759440103,1461.491279884621,30932.821903935186
28,506,1509.796017238072,,,0.9,hold,135.33510317121232,1509.796017238072,30462.25320870536
29,28658,1477.6230668692754,,,0.9,hold,132.90059477707436,1477.6230668692754,30274.94753502155
30,13501,1448.321165974935,,,0.9,hold,136.72948354085287,1448.321165974935,29674.8421875
31,529,1431.681184830204,,,0.9,hold,137.65583358272428,1431.681184830204,29147.45621219758
32,506,1367.6431599278603,,,0.9,hold,140.7819336921938,1367.6431599278603,28687.989730342742
33,5442,1354.2496416645665,,,0.9,hold,141.0381634619928,1354.2496416645665,27658.019846270163
34,236764,1392.5839489352318,,,0.9,hold,140.80409954440208,1392.5839489352318,27901.81861139113
35,532,1369.6829597719254,,,0.9,hold,143.56612002465033,1369.6829597719254,27994.000441028227
36,506,1339.029559719947,,,0.9,hold,141.96829002134263,1339.029559719947,27670.75333921371
37,92377,1328.3153716056577,,,0.9,hold,140.87997731854838,1328.3153716056577,27654.07528981855
38,1275,1325.0182367140246,,,0.9,hold,142.47457048969883,1325.0182367140246,27709.5978452621
39,73545,1315.2991244408393,,,0.9,hold,146.6250246109501,1315.2991244408393,27605.221333165322
40,529,1318.8461382465978,,,0.9,hold,149.8343786424206,1318.8461382465978,28133.16796875
41,506,1329.2748058688255,,,0.9,hold,150.5634270944903,1329.2748058688255,27460.072706653227
42,549,1312.2967844317036,,,0.9,hold,152.29235716789,1312.2967844317036,26865.727161038307
43,57751,1381.478295110887,,,0.9,hold,149.65176440823464,1381.478295110887,28865.930034022178
44,964,1769.0530808971773,,,0.9,hold,155.46874360115297,1769.0530808971773,32040.738501764114
45,914,1780.8478354177166,,,0.9,hold,164.06799808625252,1780.8478354177166,31348.899288054436
46,4512,1767.9066299930696,,,0.9,hold,163.534299542827,1767.9066299930696,31466.875346522178
47,47108,1758.090851814516,,,0.9,hold,167.541014640562,1758.090851814516,31124.817319808466
48,236761,1750.7770267609626,,,0.9,hold,168.13235645909464,1750.7770267609626,30494.728736139114
49,1293,1828.7893794890374,,,0.9,hold,191.76797066965412,1828.7893794890374,29391.71982106855
50,6345,1818.103261639995,,,0.9,hold,189.70902326030117,1818.103261639995,29764.904359879034
51,496,1769.1385123960433,,,0.9,hold,194.52272279800908,1769.1385123960433,30350.810105846773
52,5268,1691.5597022271925,,,0.9,hold,192.7885269657258,1691.5597022271925,30764.98910030242
53,236764,1683.8357740832914,,,0.9,hold,196.10389487974106,1683.8357740832914,30499.189894153227
54,12010,1609.9745168378277,,,0.9,hold,188.96149173859627,1609.9745168378277,30230.006237399193
55,5931,1633.2061944776965,,,0.9,hold,187.74563574021863,1633.2061944776965,30023.004221270163
56,528,1601.7835004252772,,,0.9,hold,186.7935581822549,1601.7835004252772,30457.917464717742
57,672,1656.6362422820062,,,0.9,hold,190.14114404493762,1656.6362422820062,30840.9083921371
58,108726,1531.0456838300152,,,0.9,hold,187.4769070533014,1531.0456838300152,30614.268208165322
59,236764,1476.6321568642893,,,0.9,hold,185.10226194320185,1476.6321568642893,31928.089780745966
60,496,1516.7356508316532,,,0.9,hold,188.9515410392515,1516.7356508316532,31818.541141633064
61,141579,1514.262921733241,,,0.9,hold,183.6940233784337,1514.262921733241,32186.481098790322
62,668,1528.2681806010585,,,0.9,hold,184.13092041015625,1528.2681806010585,32787.80934979839
63,26180,1564.0179620558215,,,0.9,hold,183.27034882576234,1564.0179620558215,33284.543976814515
64,236789,1601.7904987950478,,,0.9,hold,188.1187500492219,1601.7904987950478,34264.98513104839
65,236745,1582.5028853877898,,,0.9,hold,185.02112874677104,1582.5028853877898,35046.149445564515
66,3224,1572.3384094238281,,,0.9,hold,187.0682139242849,1572.3384094238281,36474.13249747984
67,668,1581.855206889491,,,0.9,hold,189.68411574825163,1581.855206889491,37297.447265625
68,12783,1604.1868384576612,,,0.9,hold,191.00982149185674,1604.1868384576612,37977.15958921371
69,1872,1665.9009773500504,,,0.9,hold,189.95027234477382,1665.9009773500504,39930.4742313508
70,236761,1773.2726834204889,,,0.9,hold,196.36722417031564,1773.2726834204889,40651.32566784274
71,108,1883.8437893775201,,,0.9,hold,230.02093973467427,1883.8437893775201,40010.586819556454
72,4906,1863.545866935484,,,0.9,hold,228.07600771996283,1863.545866935484,39156.71550529234
73,1105,1930.7384879819808,,,0.9,hold,234.22315216064453,1930.7384879819808,40408.15183971774
74,707,1930.2779442571825,,,0.9,hold,236.05627884403353,1930.2779442571825,41730.45073084677
75,978,1551.144777359501,,,0.9,hold,228.62118948659588,1551.144777359501,39054.6910282258
76,5597,1701.515630906628,,,0.9,hold,219.34666024484943,1701.515630906628,39849.37915826613
77,236764,1715.1339288526965,,,0.9,hold,221.2040764593309,1715.1339288526965,39444.80613659274
78,618,1752.142335953251,,,0.9,hold,219.3760065878591,1752.142335953251,39664.84154485887
79,668,1750.7814547631049,,,0.9,hold,218.68844604492188,1750.7814547631049,39313.44739163307
80,691,1656.6788093813004,,,0.9,hold,194.5425262451172,1656.6788093813004,40202.6669921875
81,77963,1648.694302466608,,,0.9,hold,193.71223043626355,1648.694302466608,39743.630512852826
