step,token_id,fisher_value,running_mean,running_std,temperature,action,fisher_early,fisher_mid,fisher_late
0,108,0.0,,,0.9,hold,0.0,0.0,0.0
1,1018,1373.86572265625,,,0.9,hold,103.09944152832031,1373.86572265625,33169.46875
2,164983,1137.9876708984375,,,0.9,hold,83.7196159362793,1137.9876708984375,30225.314453125
3,529,2235.2398274739585,,,0.9,hold,130.77696990966797,2235.2398274739585,27543.811848958332
4,4109,2616.6173706054688,,,0.9,hold,128.68150901794434,2616.6173706054688,26049.4384765625
5,5289,2342.633203125,,,0.9,hold,145.20191802978516,2342.633203125,26345.67578125
6,564,2068.8246866861978,,,0.9,hold,143.4444262186686,2068.8246866861978,28013.9609375
7,1018,1915.251177106585,,,0.9,hold,134.73372432163782,1915.251177106585,30316.487723214286
8,108,1885.479133605957,,,0.9,hold,133.73989009857178,1885.479133605957,27607.303833007812
9,818,1762.7096354166667,,,0.9,hold,144.84125349256726,1762.7096354166667,25989.29665798611
10,9454,1663.8778076171875,,,0.9,hold,143.19441299438478,1663.8778076171875,26539.093359375
11,529,1688.65771484375,,,0.9,hold,144.5238127274947,1688.65771484375,27924.2734375
12,4109,1764.282735188802,,,0.9,hold,140.51138305664062,1764.282735188802,28277.78369140625
13,5289,1728.6783165564905,,,0.9,hold,141.9853257399339,1728.6783165564905,28094.887469951922
14,564,1676.9236101422991,,,0.9,hold,140.50847516741072,1676.9236101422991,28372.402762276786
15,964,1670.52919921875,,,0.9,hold,136.02386525472005,1670.52919921875,30701.566536458333
16,3996,1642.2077331542969,,,0.9,hold,137.03213548660278,1642.2077331542969,30797.22119140625
17,532,1672.7094870174633,,,0.9,hold,145.04862572165098,1672.7094870174633,30300.931181066175
18,19297,1680.9287990993923,,,0.9,hold,146.55921724107532,1680.9287990993923,29744.829535590277
19,49035,1618.3269380268298,,,0.9,hold,145.0974165263929,1618.3269380268298,29399.46988075658
20,528,1584.7344253540039,,,0.9,hold,144.43791160583496,1584.7344253540039,29346.9763671875
21,496,1570.1242341541108,,,0.9,hold,143.09479123070128,1570.1242341541108,29228.471540178572
22,3605,1522.5606370405717,,,0.9,hold,140.69859972867098,1522.5606370405717,28944.990234375
23,529,1496.5328594705334,,,0.9,hold,140.6717001873514,1496.5328594705334,29214.739809782608
24,74647,1460.9301567077637,,,0.9,hold,142.3741839726766,1460.9301567077637,29209.357747395832
25,4749,1447.996837158203,,,0.9,hold,143.29701934814454,1447.996837158203,28350.446796875
