step,token_id,fisher_value,running_mean,running_std,temperature,action,fisher_early,fisher_mid,fisher_late
0,108,0.0,,,0.9,hold,0.0,0.0,0.0
1,1882,738.691650390625,,,0.9,hold,113.70402526855469,738.691650390625,23646.4921875
2,795,694.1015930175781,,,0.9,hold,132.39566802978516,694.1015930175781,40265.357421875
3,8595,649.6881306966146,,,0.9,hold,111.17405954996745,649.6881306966146,34377.588541666664
4,672,709.6283111572266,,,0.9,hold,121.80647087097168,709.6283111572266,35328.037109375
5,684,721.1319458007813,,,0.9,hold,118.39226837158203,721.1319458007813,31567.853125
6,38912,729.5190938313802,,,0.9,hold,115.85995101928711,729.5190938313802,34336.287760416664
7,236761,837.2628609793527,,,0.9,hold,119.80402156284877,837.2628609793527,34906.95758928572
8,31952,981.0065536499023,,,0.9,hold,137.24215412139893,981.0065536499023,35107.66259765625
9,600,1105.0082668728298,,,0.9,hold,132.90016174316406,1105.0082668728298,35099.14887152778
10,874,1059.8348022460937,,,0.9,hold,129.07128448486327,1059.8348022460937,33032.01337890625
11,4784,1035.358526056463,,,0.9,hold,130.56323103471235,1035.358526056463,34143.044122869316
12,236782,1060.7877655029297,,,0.9,hold,134.52739079793295,1060.7877655029297,35865.07853190104
13,236778,1161.8040348933293,,,0.9,hold,139.62240365835336,1161.8040348933293,36047.7001953125
14,823,1267.7347630092077,,,0.9,hold,140.40267290387834,1267.7347630092077,36936.19928850447
15,563,1210.368182373047,,,0.9,hold,135.90485076904298,1210.368182373047,37435.63626302083
16,18546,1167.6399211883545,,,0.9,hold,130.3883752822876,1167.6399211883545,37316.00274658203
17,236761,1209.2654724121094,,,0.9,hold,132.6475695441751,1209.2654724121094,37428.242015165444
18,107,1327.2205183241103,,,0.9,hold,139.3536410861545,1327.2205183241103,37337.72661675347
19,11407,1277.6476376182154,,,0.9,hold,134.1726262945878,1277.6476376182154,35918.57694284539
20,874,1250.8504791259766,,,0.9,hold,132.40614433288573,1250.8504791259766,35804.260009765625
21,4784,1265.5179472423736,,,0.9,hold,131.75765882219588,1265.5179472423736,36111.17396763393
22,236782,1297.1565413041549,,,0.9,hold,133.37425127896395,1297.1565413041549,36230.470037286934
23,236778,1338.9422687032948,,,0.9,hold,134.24419933816662,1338.9422687032948,35737.92514436141
24,236783,1404.6996485392253,,,0.9,hold,134.69992796579996,1404.6996485392253,36362.33125813802
25,578,1371.6489013671876,,,0.9,hold,131.8565200805664,1371.6489013671876,36181.0960546875
26,621,1337.105201134315,,,0.9,hold,128.73331055274377,1337.105201134315,37045.070124699516
27,1420,1318.2420835141781,,,0.9,hold,127.47706279048214,1318.2420835141781,37211.04669415509
28,236782,1296.9893624441963,,,0.9,hold,128.6109778540475,1296.9893624441963,38216.331298828125
29,236746,1275.1524405643859,,,0.9,hold,128.5232142744393,1275.1524405643859,38500.7021484375
30,1170,1365.4094278971354,,,0.9,hold,127.94444974263509,1365.4094278971354,39010.266764322914
31,236763,1395.1243896484375,,,0.9,hold,128.85170905820786,1395.1243896484375,39407.171969506046
32,823,1427.8598357169858,,,0.9,hold,129.31176991616525,1427.8598357169858,40064.572171118954
33,573,1440.0089249149446,,,0.9,hold,127.46704359977475,1440.0089249149446,39664.78109248992
34,1070,1446.456761513987,,,0.9,hold,128.4965004459504,1446.456761513987,40628.374716481856
35,25630,1434.2718141617313,,,0.9,hold,127.2776726753481,1434.2718141617313,40212.09050529234
36,609,1439.997547764932,,,0.9,hold,130.41550039475965,1439.997547764932,40631.933247227826
37,236746,1454.4287552372102,,,0.9,hold,131.72202977826518,1454.4287552372102,39973.500283518144
38,236795,1465.8291458622102,,,0.9,hold,131.10999039680726,1465.8291458622102,40128.507844002015
39,532,1477.477528233682,,,0.9,hold,125.57187246507213,1477.477528233682,40243.46613533266
40,609,1431.1807713662424,,,0.9,hold,124.32766982047788,1431.1807713662424,40491.447234122985
41,236763,1417.986109087544,,,0.9,hold,123.63842834964875,1417.986109087544,40562.905178931454
42,236795,1457.6187502953314,,,0.9,hold,121.41924052084646,1457.6187502953314,40665.232421875
43,607,1450.0674098845452,,,0.9,hold,119.06147679974956,1450.0674098845452,40258.599609375
44,609,1393.5153055498677,,,0.9,hold,115.26530493459394,1393.5153055498677,40884.44487147177
45,236763,1328.4162809310421,,,0.9,hold,113.31609036845546,1328.4162809310421,40874.088520665326
46,621,1415.5174112627583,,,0.9,hold,113.39495665027249,1415.5174112627583,41791.504977318546
47,11547,1458.2778758387412,,,0.9,hold,115.83061402843845,1458.2778758387412,42528.57844002016
48,236743,1431.8831595143963,,,0.9,hold,114.90420126145885,1431.8831595143963,44102.40631300403
49,236771,1369.2223929128338,,,0.9,hold,121.41452949277816,1369.2223929128338,43690.08562247984
50,2104,1396.6580234650642,,,0.9,hold,136.31696897937405,1396.6580234650642,45591.4898563508
51,107,1415.090542208764,,,0.9,hold,141.763489384805,1415.090542208764,46392.39497227823
52,55376,1378.8720491470829,,,0.9,hold,139.62613001177388,1378.8720491470829,45414.50343371976
53,2902,1358.8207363005608,,,0.9,hold,141.3491810214135,1358.8207363005608,47713.87213331653
54,1800,1334.4917883103894,,,0.9,hold,148.6272571932885,1334.4917883103894,50086.4915889617
55,9174,1275.8473082511655,,,0.9,hold,148.83001056794197,1275.8473082511655,50020.2095829133
56,236764,1288.9756415582472,,,0.9,hold,150.81057530064737,1288.9756415582472,51020.07985761089
57,692,1329.2921226255355,,,0.9,hold,156.42180805821573,1329.2921226255355,50012.4857295867
58,974,1315.0655995030556,,,0.9,hold,155.1839482707362,1315.0655995030556,49960.85883946573
59,609,1309.6274123653288,,,0.9,hold,153.5509428208874,1309.6274123653288,49712.45662172379
60,236778,1312.705777568202,,,0.9,hold,153.5299228545158,1312.705777568202,49239.5748172883
61,578,1226.5389586417905,,,0.9,hold,153.06224712248772,1226.5389586417905,48946.04948966734
62,621,1184.745572490077,,,0.9,hold,150.79821395874023,1184.745572490077,49276.90609248992
63,1420,1161.8404644381615,,,0.9,hold,151.7728892910865,1161.8404644381615,48890.04759954637
64,236782,1149.8145481232673,,,0.9,hold,152.9982515150501,1149.8145481232673,49185.63656123992
65,236746,1145.4425447525516,,,0.9,hold,153.56960136659683,1145.4425447525516,48784.36312373992
66,236884,1246.162628666047,,,0.9,hold,153.2019898199266,1246.162628666047,49490.07097404234
67,236778,1255.4632898146106,,,0.9,hold,152.6522579808389,1255.4632898146106,50441.31744581653
68,1170,1243.2796409360824,,,0.9,hold,152.25257024457377,1243.2796409360824,51646.35991053427
69,236763,1218.2212913267074,,,0.9,hold,152.31131289082188,1218.2212913267074,51749.88712827621
70,236884,1185.0924087032195,,,0.9,hold,153.46409299296718,1185.0924087032195,51677.497763356856
71,236778,1203.354470037645,,,0.9,hold,156.0170062895744,1203.354470037645,51820.84743573589
72,2952,1226.8590117423764,,,0.9,hold,157.52930192024476,1226.8590117423764,53800.41554309476
73,834,1203.0633495699974,,,0.9,hold,157.7082651199833,1203.0633495699974,54370.16944934476
74,609,1188.1776113202495,,,0.9,hold,156.7538182658534,1188.1776113202495,54230.72350680443
75,236778,1186.3174428632183,,,0.9,hold,156.926816017397,1186.3174428632183,53615.40193422379
76,236763,1220.8273640294228,,,0.9,hold,156.5835870312106,1220.8273640294228,53612.6849483367
77,236884,1152.282009001701,,,0.9,hold,156.86997333649666,1152.282009001701,52591.79369329637
78,236778,1140.4969826975178,,,0.9,hold,157.17370100944274,1140.4969826975178,51837.60871345766
79,578,1138.99806164157,,,0.9,hold,156.24481730307303,1138.99806164157,50930.42864793347
80,496,1131.5680158061366,,,0.9,hold,143.92121678013956,1131.5680158061366,51779.33136970766
81,236884,1164.747829314201,,,0.9,hold,130.6933934611659,1164.747829314201,50535.144499747985
82,236778,1150.7833143664946,,,0.9,hold,128.1243484250961,1150.7833143664946,49942.324187247985
83,2104,1165.9158620526714,,,0.9,hold,130.3713025739116,1165.9158620526714,51738.704385080644
84,107,1161.5906470514112,,,0.9,hold,126.57024863458449,1161.5906470514112,50142.64213709677
85,2094,1133.162566154234,,,0.9,hold,117.10349015266665,1133.162566154234,47343.846333165326
86,2820,1125.6573190996723,,,0.9,hold,117.51631373743857,1125.6573190996723,47571.87166078629
87,600,1114.025880875126,,,0.9,hold,116.20739266180223,1114.025880875126,47266.58600050403
88,609,1065.2334944202055,,,0.9,hold,110.93342036585653,1065.2334944202055,46749.54095262097
89,236746,1077.8928020846458,,,0.9,hold,112.00307070824408,1077.8928020846458,46693.98487903226
90,236884,1206.937753492786,,,0.9,hold,111.08387879402407,1206.937753492786,46706.42893145161
91,236778,1219.25117886451,,,0.9,hold,114.09461802821005,1219.25117886451,47545.76512096774
92,236795,1200.2555123606037,,,0.9,hold,114.56604742234752,1200.2555123606037,48221.85950100807
93,563,1200.4950714111328,,,0.9,hold,113.82577083956811,1200.4950714111328,47694.26310483871
94,614,1177.2204023791899,,,0.9,hold,110.71571940760458,1177.2204023791899,48166.3455141129
95,1581,1163.0153419740739,,,0.9,hold,108.76893787999308,1163.0153419740739,47459.446383568546
96,1548,1194.1211454329953,,,0.9,hold,109.59669913015058,1194.1211454329953,47605.65379284274
97,236764,1095.7162106421686,,,0.9,hold,110.21813324959048,1095.7162106421686,47154.5172001008
98,834,1078.5006187192855,,,0.9,hold,109.12234201738912,1078.5006187192855,46459.76556199597
99,609,1069.5752154934792,,,0.9,hold,106.72144034601027,1069.5752154934792,45899.05890877016
100,236746,1055.9822353239983,,,0.9,hold,105.59754414712229,1055.9822353239983,45391.66431451613
