step,token_id,fisher_value,running_mean,running_std,temperature,action,fisher_early,fisher_mid,fisher_late
0,108,0.0,,,0.9,hold,0.0,0.0,0.0
1,1018,3045.31591796875,,,0.9,hold,73.10348510742188,3045.31591796875,207151.90625
2,14476,2381.0181884765625,,,0.9,hold,110.60577392578125,2381.0181884765625,146937.82421875
3,684,2580.792236328125,,,0.9,hold,431.0026041666667,2580.792236328125,161449.02864583334
4,38912,3151.7470092773438,2001.7815856933594,1180.589593592112,0.9,hold,473.8163299560547,3151.7470092773438,188349.224609375
5,53121,3282.752978515625,2231.7746704101564,1151.7902182570956,0.9,hold,451.4529663085938,3282.752978515625,194590.4203125
6,108,3417.828898111979,2406.9377217610677,1122.019486695007,0.9,hold,445.1810760498047,3417.828898111979,180713.31640625
7,74581,3733.7813546316966,2551.3507469540555,1097.3657736770847,0.765,down,395.9781799316406,3733.7813546316966,170738.38058035713
8,236764,3930.745330810547,2699.15457291376,1098.4566367700736,0.765,down,458.7356300354004,3930.745330810547,177467.7822265625
9,573,3755.1220974392363,2835.9979904578477,1105.598710078616,0.9,hold,455.7779269748264,3755.1220974392363,171584.23958333334
10,506,4142.399194335938,2927.9104011559866,1084.5020415470085,0.765,down,427.3210968017578,4142.399194335938,176201.5953125
11,24273,4582.156139026989,3038.318473263255,1091.3852933408784,0.765,down,405.0626595237038,4582.156139026989,174751.4247159091
12,529,4697.725646972656,3166.9716120768994,1128.68491397698,0.765,down,426.8441352844238,4697.725646972656,175122.41796875
13,38912,4694.8521071213945,3284.721922453496,1158.583909285929,0.765,down,409.79898658165564,4694.8521071213945,174086.90745192306
14,236764,4791.945469447544,3385.4455070726317,1174.0208851844855,0.765,down,411.0048032488142,4791.945469447544,176523.74888392858
15,600,4676.460091145834,3479.212171230959,1187.2351600383258,0.765,down,408.4536834716797,4676.460091145834,170151.01822916666
16,506,4595.657363891602,3554.040166225639,1185.5042386805642,0.9,hold,392.1124048233032,4595.657363891602,172452.50439453125
17,6281,5069.05757410386,3615.3117660883427,1175.9319116248835,0.765,down,384.2909536922679,5069.05757410386,169975.8143382353
18,5989,4939.419080946181,3696.075422089205,1190.3276085277703,0.765,down,403.29988861083984,4939.419080946181,171611.34635416666
19,529,4822.485235916941,3761.514562029046,1191.3808175386177,0.9,hold,395.1222566303454,4822.485235916941,173453.92105263157
20,236743,4677.802301025391,3814.563095723441,1184.0133577774627,0.9,hold,391.18207092285155,4677.802301025391,169901.765625
21,236778,4820.065435500372,3855.669724547344,1170.0111863506504,0.9,hold,389.9462454659598,4820.065435500372,169540.21726190476
22,563,4938.185863148083,3899.5058932270263,1160.627443438234,0.9,hold,385.25339438698506,4938.185863148083,169678.11505681818
23,18546,5154.8713538128395,3944.6658919192464,1154.7102529096205,0.765,down,377.0169730808424,5154.8713538128395,171795.25475543478
24,236761,5049.644037882487,3995.0911194981454,1155.976409833612,0.9,hold,381.15466054280597,5049.644037882487,174563.48177083334
25,138,4983.081010742188,4037.273236233519,1151.318437715477,0.9,hold,388.578623046875,4983.081010742188,173498.528125
26,2094,5770.1658606896035,4073.6504583300066,1143.5185261769298,0.765,down,378.31220186673676,5770.1658606896035,168037.078125
27,2820,6620.245004159433,4136.484362121103,1166.9851301436602,0.765,down,372.8518450701678,6620.245004159433,166443.09288194444
28,692,6486.267713274275,4225.190099336757,1235.180857861138,0.765,down,372.4502923148019,6486.267713274275,165272.2006138393
29,740,6461.602433829472,4303.15829292081,1281.9030691842136,0.765,down,368.18453505943563,6461.602433829472,164206.29552801725
30,3821,6308.420935058593,4375.106430951098,1318.5670752401777,0.765,down,361.50441589355466,6308.420935058593,164955.27421875
31,625,6226.7204077935985,4437.471414954566,1341.3487170289757,0.765,down,371.13524898405996,6226.7204077935985,166288.84501008064
32,618,6365.193583826865,4493.385445980786,1356.4323107379705,0.765,down,390.8921646610383,6365.193583826865,168114.47706653227
33,496,6415.785829605595,4550.106904703394,1373.7205579337547,0.765,down,395.2697291220388,6415.785829605595,172300.09929435485
34,10742,6494.688488375756,4604.979814259342,1389.5931722939226,0.765,down,366.3882584110383,6494.688488375756,169556.04964717742
35,510,6768.296697801159,4658.971490662667,1405.3156494067223,0.765,down,364.4358678017893,6768.296697801159,167774.73412298388
36,236786,6917.24224656628,4717.563857527625,1428.3594423858433,0.765,down,375.25079148815524,6917.24224656628,168320.0451108871
37,236809,6879.27886766003,4777.0146247989405,1453.378148062002,0.765,down,373.1998802923387,6879.27886766003,169873.35257056452
38,236764,6799.364789409022,4832.3373680321265,1473.0795655853371,0.765,down,378.36165003622733,6799.364789409022,171539.7673891129
39,1298,6700.850337859123,4882.773968580252,1486.9396910578294,0.765,down,367.7183099562122,6700.850337859123,167785.1892641129
40,510,6806.109205676663,4928.225877812224,1495.4210342854656,0.765,down,363.941890593498,6806.109205676663,171377.03931451612
41,532,6727.262778005293,4974.027910199161,1505.2088236248628,0.765,down,368.1874773579259,6727.262778005293,174420.1164314516
42,3752,6552.270574754284,5015.771597527879,1511.010728626581,0.765,down,368.0872925789125,6552.270574754284,174136.7368951613
43,659,6469.499933058216,5051.504131881981,1511.1859644970507,0.9,hold,353.19823037424396,6469.499933058216,174210.27469758064
44,25630,6376.747830298639,5083.731309181441,1508.7877728922363,0.9,hold,353.81487594112275,6376.747830298639,176569.8931451613
45,532,6283.126665669103,5112.465009650712,1504.054686462707,0.9,hold,357.0058096608808,6283.126665669103,177484.0554435484
46,3752,6276.242963237147,5137.914176085895,1497.3801675487423,0.9,hold,385.52875592631676,6276.242963237147,180062.1625504032
47,193600,6242.728795205393,5162.1339375146445,1490.4447516991195,0.9,hold,389.8519990982548,6242.728795205393,179540.92918346773
48,236743,5954.4186499810985,5184.646330383202,1482.8910367525627,0.9,hold,394.72611901067916,5954.4186499810985,179861.76360887097
49,236771,6045.981866651966,5200.355969558669,1471.7115973915459,0.9,hold,395.1148105744393,6045.981866651966,177098.19732862903
50,236764,6215.339170394405,5217.268487500535,1461.722256542874,0.9,hold,410.5335486627394,6215.339170394405,174816.18170362903
51,532,6250.117707283266,5236.838500890612,1453.921071536059,0.9,hold,422.38172469600556,6250.117707283266,175683.22353830645
