step,token_id,fisher_value,running_mean,running_std,temperature,action,fisher_early,fisher_mid,fisher_late
0,108,0.0,,,0.9,hold,0.0,0.0,0.0
1,1018,2017.3541259765625,,,0.9,hold,154.38156127929688,2017.3541259765625,111769.890625
2,164983,2540.6100463867188,,,0.9,hold,152.22692108154297,2540.6100463867188,89543.078125
3,529,5710.6114501953125,,,0.9,hold,389.3788197835286,5710.6114501953125,97312.3359375
4,4109,8467.796966552734,,,0.9,hold,358.3979606628418,8467.796966552734,109069.544921875
5,5289,9055.550854492187,,,0.9,hold,372.0841583251953,9055.550854492187,127232.3203125
6,564,7968.963806152344,,,0.9,hold,372.4143244425456,7968.963806152344,137936.39192708334
7,53121,7767.8778076171875,,,0.9,hold,344.1605704171317,7767.8778076171875,142374.05691964287
8,108,7212.707046508789,,,0.9,hold,446.882625579834,7212.707046508789,143387.9130859375
9,14447,7237.025078667535,,,0.9,hold,409.5218048095703,7237.025078667535,147994.5234375
10,5289,7093.772375488281,,,0.9,hold,441.8815689086914,7093.772375488281,162275.46171875
11,564,7735.5309947620735,,,0.9,hold,439.8017092618075,7735.5309947620735,162127.37428977274
12,236764,8765.8591410319,,,0.9,hold,417.90776443481445,8765.8591410319,163804.20638020834
13,992,8685.501586914062,,,0.9,hold,473.98654292179987,8685.501586914062,160554.71754807694
14,3224,8581.5051007952,,,0.9,hold,455.9552688598633,8581.5051007952,155783.77232142858
15,618,8091.170735677083,,,0.9,hold,448.9101267496745,8091.170735677083,152147.98854166668
16,506,7724.789505004883,,,0.9,hold,433.280330657959,7724.789505004883,151896.8779296875
17,8098,7333.090073529412,,,0.9,hold,418.1666879092946,7333.090073529412,152071.5193014706
18,5289,6991.885036892361,,,0.9,hold,416.73229726155597,6991.885036892361,155839.25694444444
19,236764,6944.4043996710525,,,0.9,hold,424.9546581067537,6944.4043996710525,155969.41858552632
20,691,7248.52177734375,,,0.9,hold,474.54412002563475,7248.52177734375,156175.59296875
21,496,6951.902082170759,,,0.9,hold,459.42963736397877,6951.902082170759,155580.61458333334
22,3996,6890.33564342152,,,0.9,hold,444.31520704789597,6890.33564342152,157207.39630681818
23,12160,7288.5052384086275,,,0.9,hold,462.5032341998556,7288.5052384086275,154874.28023097827
24,607,7087.216466267903,,,0.9,hold,457.4713484446208,7087.216466267903,156116.42350260416
25,14546,6933.585756835938,,,0.9,hold,485.9118890380859,6933.585756835938,156030.7903125
26,528,6769.971844012921,,,0.9,hold,512.4314569326548,6769.971844012921,156561.97986778847
27,496,6772.300776728877,,,0.9,hold,508.5163218180339,6772.300776728877,156250.5517939815
28,8376,6680.354173932757,,,0.9,hold,505.11015810285295,6680.354173932757,157572.064453125
29,529,6753.133044012661,,,0.9,hold,501.2110779860924,6753.133044012661,171034.4889547414
30,1440,6815.218387858073,,,0.9,hold,491.690961710612,6815.218387858073,174700.45494791667
31,236772,6662.184653005293,,,0.9,hold,485.3304915889617,6662.184653005293,179030.16103830645
32,6061,6806.0984753024195,,,0.9,hold,491.3554972987021,6806.0984753024195,179255.84803427418
33,532,7381.561279296875,,,0.9,hold,510.0432370093561,7381.561279296875,184391.62474798388
34,2822,7138.30790858115,,,0.9,hold,512.0462828605406,7138.30790858115,186181.86038306452
35,236772,6659.61568327873,,,0.9,hold,521.0475842875819,6659.61568327873,187292.1491935484
36,6061,6443.318193989416,,,0.9,hold,517.6172943115234,6443.318193989416,187459.16885080645
37,5872,6912.8046717489915,,,0.9,hold,528.9642112485824,6912.8046717489915,193266.1023185484
38,236761,6818.739470451109,,,0.9,hold,532.6615384009576,6818.739470451109,192862.7212701613
39,5715,6816.324951171875,,,0.9,hold,532.7762018019154,6816.324951171875,192019.81829637097
40,236789,6643.858445690525,,,0.9,hold,542.2718097317603,6643.858445690525,193008.5390625
41,236751,6890.5325573336695,,,0.9,hold,528.0079330936555,6890.5325573336695,194600.1257560484
42,496,7572.657809349798,,,0.9,hold,534.9588824856665,7572.657809349798,203900.9382560484
43,25890,8846.971569430443,,,0.9,hold,544.2916619085496,8846.971569430443,203014.9438004032
44,529,10296.8353547127,,,0.9,hold,548.2996791716545,10296.8353547127,208806.82157258064
45,506,10344.296103200604,,,0.9,hold,561.7825794835245,10344.296103200604,207986.7976310484
46,2307,10579.710437405494,,,0.9,hold,559.4216726979902,10579.710437405494,209739.08946572582
47,9454,10791.67380843624,,,0.9,hold,578.4031175182712,10791.67380843624,207238.59803427418
48,236787,11031.033128307712,,,0.9,hold,583.895984772713,11031.033128307712,208482.65851814515
49,108,12096.515455676663,,,0.9,hold,592.8915685838268,12096.515455676663,208529.74168346773
50,1018,12603.920792118195,,,0.9,hold,577.826406663464,12603.920792118195,211957.6413810484
51,236770,12381.913452148438,,,0.9,hold,535.3767993065619,12381.913452148438,211069.95791330645
52,236761,12422.64929592994,,,0.9,hold,537.1723379319714,12422.64929592994,211606.0375504032
53,8099,12360.831456338206,,,0.9,hold,537.2387210476783,12360.831456338206,214820.45791330645
54,236772,12230.092702557964,,,0.9,hold,525.5459956507528,12230.092702557964,221113.20262096773
55,10960,13668.985579952117,,,0.9,hold,522.6181657852665,13668.985579952117,220392.75554435485
56,91776,14739.530202557964,,,0.9,hold,507.3273096392232,14739.530202557964,223905.83014112903
57,568,15190.396161479335,,,0.9,hold,481.3469777261057,15190.396161479335,223170.2358870968
58,14713,15489.21154391381,,,0.9,hold,497.5244118475145,15489.21154391381,225220.87852822582
59,4271,16170.942107169858,,,0.9,hold,496.2653392668693,16170.942107169858,230785.63760080645
60,558,17463.900650516633,,,0.9,hold,513.7236177998204,17463.900650516633,223379.66179435485
61,6166,19110.196580456148,,,0.9,hold,553.3602484426191,19110.196580456148,230028.46925403227
62,1473,21285.36515561996,,,0.9,hold,632.0570878059633,21285.36515561996,229938.00453629033
63,1018,21423.091686617943,,,0.9,hold,706.2594725085843,21423.091686617943,230341.77721774194
64,108,20797.414893365676,,,0.9,hold,684.9081881123204,20797.414893365676,224368.67376512097
65,236829,20841.194268995714,,,0.9,hold,657.3329969836819,20841.194268995714,225382.0568296371
66,5213,20878.046280399445,,,0.9,hold,643.641968019547,20878.046280399445,226605.90612399194
67,236792,20918.801273469002,,,0.9,hold,636.534900788338,20918.801273469002,229995.68132560485
68,168772,21806.41304262223,,,0.9,hold,619.9554394137475,21806.41304262223,230244.7982610887
69,1929,22497.486922725555,,,0.9,hold,654.1380191926033,22497.486922725555,233363.64453125
70,53121,22463.557432113153,,,0.9,hold,626.2901128953503,22463.557432113153,233995.8181703629
71,138,23060.29866667717,,,0.9,hold,640.1623643444431,23060.29866667717,235494.63772681452
72,39403,23259.42136702999,,,0.9,hold,634.9541168212891,23259.42136702999,225817.6218497984
73,236743,22275.67859674269,,,0.9,hold,632.5779079314201,22275.67859674269,220022.5220514113
