step,token_id,fisher_value,running_mean,running_std,temperature,action,fisher_early,fisher_mid,fisher_late
0,108,0.0,,,0.9,hold,0.0,0.0,0.0
1,1018,3045.31591796875,,,0.9,hold,73.10348510742188,3045.31591796875,207151.90625
2,14476,2381.0181884765625,,,0.9,hold,110.60577392578125,2381.0181884765625,146937.82421875
3,684,2580.792236328125,,,0.9,hold,431.0026041666667,2580.792236328125,161449.02864583334
4,38912,3151.7470092773438,,,0.9,hold,473.8163299560547,3151.7470092773438,188349.224609375
5,53121,3282.752978515625,,,0.9,hold,451.4529663085938,3282.752978515625,194590.4203125
6,108,3417.828898111979,,,0.9,hold,445.1810760498047,3417.828898111979,180713.31640625
7,74581,3733.7813546316966,,,0.9,hold,395.9781799316406,3733.7813546316966,170738.38058035713
8,236764,3930.745330810547,,,0.9,hold,458.7356300354004,3930.745330810547,177467.7822265625
9,573,3755.1220974392363,,,0.9,hold,455.7779269748264,3755.1220974392363,171584.23958333334
10,506,4142.399194335938,,,0.9,hold,427.3210968017578,4142.399194335938,176201.5953125
11,24273,4582.156139026989,,,0.9,hold,405.0626595237038,4582.156139026989,174751.4247159091
12,529,4697.725646972656,,,0.9,hold,426.8441352844238,4697.725646972656,175122.41796875
13,38912,4694.8521071213945,,,0.9,hold,409.79898658165564,4694.8521071213945,174086.90745192306
14,236764,4791.945469447544,,,0.9,hold,411.0048032488142,4791.945469447544,176523.74888392858
15,600,4676.460091145834,,,0.9,hold,408.4536834716797,4676.460091145834,170151.01822916666
16,506,4595.657363891602,,,0.9,hold,392.1124048233032,4595.657363891602,172452.50439453125
17,6281,5069.05757410386,,,0.9,hold,384.2909536922679,5069.05757410386,169975.8143382353
18,5989,4939.419080946181,,,0.9,hold,403.29988861083984,4939.419080946181,171611.34635416666
19,529,4822.485235916941,,,0.9,hold,395.1222566303454,4822.485235916941,173453.92105263157
20,236743,4677.802301025391,,,0.9,hold,391.18207092285155,4677.802301025391,169901.765625
21,236778,4820.065435500372,,,0.9,hold,389.9462454659598,4820.065435500372,169540.21726190476
22,563,4938.185863148083,,,0.9,hold,385.25339438698506,4938.185863148083,169678.11505681818
23,18546,5154.8713538128395,,,0.9,hold,377.0169730808424,5154.8713538128395,171795.25475543478
24,236761,5049.644037882487,,,0.9,hold,381.15466054280597,5049.644037882487,174563.48177083334
25,138,4983.081010742188,,,0.9,hold,388.578623046875,4983.081010742188,173498.528125
26,2094,5770.1658606896035,,,0.9,hold,378.31220186673676,5770.1658606896035,168037.078125
27,2820,6620.245004159433,,,0.9,hold,372.8518450701678,6620.245004159433,166443.09288194444
28,692,6486.267713274275,,,0.9,hold,372.4502923148019,6486.267713274275,165272.2006138393
29,740,6461.602433829472,,,0.9,hold,368.18453505943563,6461.602433829472,164206.29552801725
30,3821,6308.420935058593,,,0.9,hold,361.50441589355466,6308.420935058593,164955.27421875
31,625,6226.7204077935985,,,0.9,hold,371.13524898405996,6226.7204077935985,166288.84501008064
32,618,6365.193583826865,,,0.9,hold,390.8921646610383,6365.193583826865,168114.47706653227
33,496,6415.785829605595,,,0.9,hold,395.2697291220388,6415.785829605595,172300.09929435485
34,10742,6494.688488375756,,,0.9,hold,366.3882584110383,6494.688488375756,169556.04964717742
35,510,6768.296697801159,,,0.9,hold,364.4358678017893,6768.296697801159,167774.73412298388
36,236786,6917.24224656628,,,0.9,hold,375.25079148815524,6917.24224656628,168320.0451108871
37,236809,6879.27886766003,,,0.9,hold,373.1998802923387,6879.27886766003,169873.35257056452
38,236764,6799.364789409022,,,0.9,hold,378.36165003622733,6799.364789409022,171539.7673891129
39,1298,6700.850337859123,,,0.9,hold,367.7183099562122,6700.850337859123,167785.1892641129
40,510,6806.109205676663,,,0.9,hold,363.941890593498,6806.109205676663,171377.03931451612
41,532,6727.262778005293,,,0.9,hold,368.1874773579259,6727.262778005293,174420.1164314516
42,3752,6552.270574754284,,,0.9,hold,368.0872925789125,6552.270574754284,174136.7368951613
43,659,6469.499933058216,,,0.9,hold,353.19823037424396,6469.499933058216,174210.27469758064
44,25630,6376.747830298639,,,0.9,hold,353.81487594112275,6376.747830298639,176569.8931451613
45,532,6283.126665669103,,,0.9,hold,357.0058096608808,6283.126665669103,177484.0554435484
46,3752,6276.242963237147,,,0.9,hold,385.52875592631676,6276.242963237147,180062.1625504032
47,193600,6242.728795205393,,,0.9,hold,389.8519990982548,6242.728795205393,179540.92918346773
48,236743,5954.4186499810985,,,0.9,hold,394.72611901067916,5954.4186499810985,179861.76360887097
49,236771,6045.981866651966,,,0.9,hold,395.1148105744393,6045.981866651966,177098.19732862903
50,236764,6215.339170394405,,,0.9,hold,410.5335486627394,6215.339170394405,174816.18170362903
51,532,6250.117707283266,,,0.9,hold,422.38172469600556,6250.117707283266,175683.22353830645
52,506,6155.090127268145,,,0.9,hold,413.5320941555885,6155.090127268145,173997.21219758064
53,10742,6025.243526335686,,,0.9,hold,408.3195589127079,6025.243526335686,172669.04485887097
54,510,6062.95947265625,,,0.9,hold,427.10365492297757,6062.95947265625,172486.27620967742
55,236786,6250.11283234627,,,0.9,hold,427.6415774437689,6250.11283234627,173983.41683467742
56,236809,6220.567178049395,,,0.9,hold,417.84441695674775,6220.567178049395,173725.47076612903
57,563,5494.430876701109,,,0.9,hold,420.84073417417466,5494.430876701109,180051.02217741936
58,528,4602.057755008821,,,0.9,hold,422.95089377126385,4602.057755008821,181237.26789314515
59,1061,4649.8123070501515,,,0.9,hold,416.6300324470766,4649.8123070501515,183091.84803427418
60,33055,4496.301486107611,,,0.9,hold,413.6698598554057,4496.301486107611,182055.1466733871
61,1183,4747.198309129284,,,0.9,hold,436.40553185247603,4747.198309129284,184069.8054435484
62,568,4687.266944146925,,,0.9,hold,421.98455662881173,4687.266944146925,182704.67086693548
63,236747,4566.341966198337,,,0.9,hold,453.42903432538435,4566.341966198337,179606.95967741936
64,236761,5327.693402690272,,,0.9,hold,450.50696539109754,5327.693402690272,181984.34475806452
65,236744,5573.20945296749,,,0.9,hold,449.7143013246598,5573.20945296749,189254.01134072582
66,1126,5314.00242171749,,,0.9,hold,457.1304370510963,5314.00242171749,190813.86517137097
67,510,5141.640274540071,,,0.9,hold,440.7929165747858,5141.640274540071,190277.74269153227
