step,token,entropy,fisher_trace,temperature,top_p,action
0,To,0.37158872,,0.6000,0.9200,hold
1, prove,0.06831439,,0.6000,0.9200,hold
2, that,0.02657700,,0.6000,0.9200,hold
3, the,0.23346723,,0.6000,0.9200,hold
4, square,0.00515087,,0.6000,0.9200,hold
5, root,0.00026891,,0.6000,0.9200,hold
6, of,0.00026670,,0.6000,0.9200,hold
7, ,0.05584051,8000020.70018241,0.6000,0.9200,hold
8,2,0.00001403,5692362.00578908,0.6000,0.9200,hold
9, (\,0.67508658,7000030.91676522,0.6000,0.9200,hold
10,(\,0.20976091,7016423.09310061,0.6000,0.9200,hold
11,sqrt,0.00216307,7142889.00008714,0.6000,0.9200,hold
12,{,0.00196332,6000082.66526103,0.6000,0.9200,hold
13,2,0.00008132,6967780.36938295,0.6000,0.9200,hold
14,}\,0.00013760,6482804.66697040,0.6000,0.9200,hold
15,)),0.00170227,5133390.93540393,0.5200,0.8800,focus_down
