mode,regime,run_id,step,token,entropy,fisher_trace
baseline,factual,factual_r1,0,Mer,0.71478402,
baseline,factual,factual_r1,1,cury,0.00002809,
baseline,factual,factual_r1,2,",",0.11068349,
baseline,factual,factual_r1,3, Venus,0.00072180,
baseline,factual,factual_r1,4,",",0.00003444,
baseline,factual,factual_r1,5, Earth,0.00039731,
baseline,factual,factual_r1,6,",",0.00010972,
baseline,factual,factual_r1,7, Mars,0.00180221,
baseline,factual,factual_r1,8,",",0.00122318,
baseline,factual,factual_r1,9, Jupiter,0.00056922,
baseline,factual,factual_r1,10,",",0.00006897,
baseline,factual,factual_r1,11, Saturn,0.00009706,
baseline,factual,factual_r1,12,",",0.00007345,
baseline,factual,factual_r1,13, Uran,0.00057853,
baseline,factual,factual_r1,14,us,0.00000625,
baseline,factual,factual_r1,15,",",0.00059823,
baseline,factual,factual_r1,16, Neptune,0.00674689,
baseline,factual,factual_r1,17,.,0.36099777,
