step,token,entropy,fisher_trace,temperature,top_p,action
0,In,1.25733370,,0.6000,0.9200,hold
1, the,0.42940480,,0.6000,0.9200,hold
2, quiet,1.30684278,,0.6000,0.9200,hold
3, embrace,2.13956054,,0.6000,0.9200,hold
4, of,0.00132902,,0.6000,0.9200,hold
5, dawn,1.66123207,,0.6000,0.9200,hold
6,'s,0.67944601,,0.6000,0.9200,hold
7, first,1.05424322,,0.6000,0.9200,hold
8, blush,1.60788187,,0.6000,0.9200,hold
9,",",0.23193352,,0.6000,0.9200,hold
10, a,1.96605666,,0.6000,0.9200,hold
11, lone,1.21757578,,0.6000,0.9200,hold
12, figure,0.63218522,,0.6000,0.9200,hold
13, stands,1.67245104,,0.6000,0.9200,hold
14, at,2.27288909,,0.6000,0.9200,hold
15, the,0.02239889,,0.6000,0.9200,hold
16, edge,0.77189959,,0.6000,0.9200,hold
17, of,0.00532520,,0.6000,0.9200,hold
18, an,1.17670703,,0.6000,0.9200,hold
19, empty,2.33115052,,0.6000,0.9200,hold
20, me,2.18338449,,0.6000,0.9200,hold
21,adow,0.00003903,,0.6000,0.9200,hold
22,.,0.51016269,,0.6000,0.9200,hold
23, The,0.28945895,,0.6000,0.9200,hold
24, sky,1.58963957,,0.6000,0.9200,hold
25, is,1.25133154,,0.6000,0.9200,hold
26, a,0.33834373,,0.6000,0.9200,hold
27, canvas,1.91132545,,0.6000,0.9200,hold
28, painted,1.34422848,,0.6000,0.9200,hold
29, with,0.88692704,,0.6000,0.9200,hold
30, strokes,1.71059533,,0.6000,0.9200,hold
31, of,0.00560157,369.72996968,0.5200,0.8800,focus_down
