mode,regime,run_id,step,token,entropy,fisher_trace
baseline,creative,creative_r0,0,In,1.25733370,
baseline,creative,creative_r0,1, the,0.42940480,
baseline,creative,creative_r0,2, quiet,1.30684278,
baseline,creative,creative_r0,3, embrace,2.13956054,
baseline,creative,creative_r0,4, of,0.00132902,
baseline,creative,creative_r0,5, dawn,1.66123207,
baseline,creative,creative_r0,6,'s,0.67944601,
baseline,creative,creative_r0,7, first,1.05424322,
baseline,creative,creative_r0,8, blush,1.60788187,
baseline,creative,creative_r0,9,",",0.23193352,
baseline,creative,creative_r0,10, a,1.96605666,
baseline,creative,creative_r0,11, lone,1.21757578,
baseline,creative,creative_r0,12, figure,0.63218522,
baseline,creative,creative_r0,13, stands,1.67245104,
baseline,creative,creative_r0,14, at,2.27288909,
baseline,creative,creative_r0,15, the,0.02239889,
baseline,creative,creative_r0,16, edge,0.77189959,
baseline,creative,creative_r0,17, of,0.00532520,
baseline,creative,creative_r0,18, an,1.17670703,
baseline,creative,creative_r0,19, empty,2.33115052,
baseline,creative,creative_r0,20, me,2.18338449,
baseline,creative,creative_r0,21,adow,0.00003903,
baseline,creative,creative_r0,22,.,0.51016269,
baseline,creative,creative_r0,23, The,0.28945895,
baseline,creative,creative_r0,24, sky,1.58963957,
baseline,creative,creative_r0,25, is,1.25133154,
baseline,creative,creative_r0,26, a,0.33834373,
baseline,creative,creative_r0,27, canvas,1.91132545,
baseline,creative,creative_r0,28, painted,1.34422848,
baseline,creative,creative_r0,29, with,0.88692704,
baseline,creative,creative_r0,30, strokes,1.71059533,
baseline,creative,creative_r0,31, of,0.00560157,369.72996968
