step,token,entropy,fisher_trace,temperature,top_p,action
0,Mer,0.71478402,,0.6000,0.9200,hold
1,cury,0.00002809,,0.6000,0.9200,hold
2,",",0.11068349,,0.6000,0.9200,hold
3, Venus,0.00072180,,0.6000,0.9200,hold
4,",",0.00003444,,0.6000,0.9200,hold
5, Earth,0.00039731,,0.6000,0.9200,hold
6,",",0.00010972,,0.6000,0.9200,hold
7, Mars,0.00180221,,0.6000,0.9200,hold
8,",",0.00122318,,0.6000,0.9200,hold
9, Jupiter,0.00056922,,0.6000,0.9200,hold
10,",",0.00006897,,0.6000,0.9200,hold
11, Saturn,0.00009706,,0.6000,0.9200,hold
12,",",0.00007345,,0.6000,0.9200,hold
13, Uran,0.00057853,,0.6000,0.9200,hold
14,us,0.00000625,,0.6000,0.9200,hold
15,",",0.00059823,,0.6000,0.9200,hold
16, Neptune,0.00674689,,0.6000,0.9200,hold
17,.,0.36099777,,0.6000,0.9200,hold
