mode,regime,run_id,trace_csv,chunk_csv,text_path
baseline,factual,factual_r0,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/factual_r0_baseline_trace.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/factual_r0_baseline_chunks.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/factual_r0_baseline_text.txt
baseline,factual,factual_r1,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/factual_r1_baseline_trace.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/factual_r1_baseline_chunks.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/factual_r1_baseline_text.txt
baseline,factual,factual_r2,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/factual_r2_baseline_trace.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/factual_r2_baseline_chunks.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/factual_r2_baseline_text.txt
baseline,factual,factual_r3,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/factual_r3_baseline_trace.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/factual_r3_baseline_chunks.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/factual_r3_baseline_text.txt
adaptive,factual,factual_r0,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/factual_r0_adaptive_trace.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/factual_r0_adaptive_chunks.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/factual_r0_adaptive_text.txt
adaptive,factual,factual_r1,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/factual_r1_adaptive_trace.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/factual_r1_adaptive_chunks.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/factual_r1_adaptive_text.txt
adaptive,factual,factual_r2,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/factual_r2_adaptive_trace.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/factual_r2_adaptive_chunks.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/factual_r2_adaptive_text.txt
adaptive,factual,factual_r3,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/factual_r3_adaptive_trace.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/factual_r3_adaptive_chunks.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/factual_r3_adaptive_text.txt
baseline,mathematical,mathematical_r0,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/mathematical_r0_baseline_trace.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/mathematical_r0_baseline_chunks.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/mathematical_r0_baseline_text.txt
baseline,mathematical,mathematical_r1,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/mathematical_r1_baseline_trace.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/mathematical_r1_baseline_chunks.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/mathematical_r1_baseline_text.txt
baseline,mathematical,mathematical_r2,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/mathematical_r2_baseline_trace.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/mathematical_r2_baseline_chunks.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/mathematical_r2_baseline_text.txt
baseline,mathematical,mathematical_r3,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/mathematical_r3_baseline_trace.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/mathematical_r3_baseline_chunks.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/mathematical_r3_baseline_text.txt
adaptive,mathematical,mathematical_r0,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/mathematical_r0_adaptive_trace.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/mathematical_r0_adaptive_chunks.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/mathematical_r0_adaptive_text.txt
adaptive,mathematical,mathematical_r1,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/mathematical_r1_adaptive_trace.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/mathematical_r1_adaptive_chunks.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/mathematical_r1_adaptive_text.txt
adaptive,mathematical,mathematical_r2,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/mathematical_r2_adaptive_trace.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/mathematical_r2_adaptive_chunks.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/mathematical_r2_adaptive_text.txt
adaptive,mathematical,mathematical_r3,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/mathematical_r3_adaptive_trace.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/mathematical_r3_adaptive_chunks.csv,results/llm_entropy/fisher_runs/chunk_ab_20260414_090543/mathematical_r3_adaptive_text.txt
