file,regime,control,n_points,fisher_trace,kl_vs_prev
factual_p0_seed99_shuffled,factual,shuffled,32,172.9004008065478,0.0
factual_p0_seed99_shuffled,factual,shuffled,48,7059039.567488356,2.6181041603802053
factual_p0_seed99_shuffled,factual,shuffled,64,708121.4917534332,3.1250379182889394
factual_p0_seed99_shuffled,factual,shuffled,80,2555.972894512243,0.8064591236762002
factual_p0_seed99_shuffled,factual,shuffled,96,2431.596129786385,1.5550058221768879
factual_p0_seed99_shuffled,factual,shuffled,112,4413.815373057817,0.9714960622776853
factual_p0_seed99_shuffled,factual,shuffled,128,31587.73532481812,2.076210723402218
factual_p0_seed99_shuffled,factual,shuffled,160,25723.901981967894,3.6172399793358565
factual_p0_seed99_shuffled,factual,shuffled,192,4540.130435192007,2.3767200403852784
factual_p0_seed99_shuffled,factual,shuffled,224,678.8566863683618,0.9816623940863084
factual_p0_seed99_shuffled,factual,shuffled,256,446.3613792022536,1.449941697756272
factual_p0_seed99_shuffled,factual,shuffled,320,135.65777098595322,0.535179203197585
factual_p0_seed99_shuffled,factual,shuffled,384,231.94764131573626,0.6287705024277951
factual_p0_seed99_shuffled,factual,shuffled,448,166.24047904274624,0.5111011718410998
factual_p0_seed99_shuffled,factual,shuffled,512,124.39226944503433,0.2728972369205453
factual_p0_seed99_shuffled,factual,shuffled,768,118.20542843134287,0.22773595776557792
factual_p0_seed99_shuffled,factual,shuffled,1024,69.83770531602568,0.24445999289747528
factual_p0_seed99_shuffled,factual,shuffled,1280,62.667847477418114,0.19435862871996204
factual_p0_seed99_shuffled,factual,shuffled,1536,57.5244113239046,0.09382874721734334
factual_p0_seed99_shuffled,factual,shuffled,1792,61.4444632049682,0.09847141370819526
factual_p0_seed99_shuffled,factual,shuffled,2048,57.438273388377844,0.11499608205894339
factual_p0_seed99_shuffled,factual,shuffled,2304,55.45208568540307,0.0727219897266136
factual_p0_seed99_shuffled,factual,shuffled,2560,54.91828152733774,0.06198329606557048
factual_p0_seed99_shuffled,factual,shuffled,2816,56.348515513154794,0.055449408735122385
factual_p0_seed99_shuffled,factual,shuffled,3072,54.1815061432912,0.049405399283294814
factual_p0_seed99_shuffled,factual,shuffled,3328,55.09576913737142,0.06548639255934864
factual_p0_seed99_shuffled,factual,shuffled,3584,53.47202241792312,0.04221679807014977
factual_p0_seed99_shuffled,factual,shuffled,3840,53.44433234389549,0.04245575642859082
factual_p0_seed99_shuffled,factual,shuffled,4096,52.67352136682426,0.036268541208998174
factual_p0_seed99_shuffled,factual,shuffled,4352,52.57691520847927,0.026747845422605988
factual_p0_seed99_shuffled,factual,shuffled,4608,51.17532249705313,0.02070352751501629
factual_p0_seed99_shuffled,factual,shuffled,4864,52.013771724892734,0.018549937158834823
factual_p0_seed99_shuffled,factual,shuffled,5120,51.65172951077328,0.020513131253244696
factual_p0_seed99_shuffled,factual,shuffled,5376,51.58087022607077,0.01410935840656383
factual_p0_seed99_shuffled,factual,shuffled,5632,51.23878022232446,0.01880732456907666
factual_p0_seed99_shuffled,factual,shuffled,5888,51.49077352437139,0.021356783138763442
factual_p0_seed99_shuffled,factual,shuffled,6144,51.61454657094168,0.012400049239343357
factual_p0_seed99_shuffled,factual,shuffled,6400,50.91863900209365,0.016818299776137982
factual_p0_seed99_shuffled,factual,shuffled,6656,50.58631162308156,0.012936508149196614
factual_p0_seed99_shuffled,factual,shuffled,6912,50.68858853635596,0.018061417687973518
factual_p0_seed99_shuffled,factual,shuffled,7168,51.52273105137609,0.019962897105898166
factual_p0_seed99_shuffled,factual,shuffled,7424,50.78538030393166,0.011795935532054321
factual_p0_seed99_shuffled,factual,shuffled,7680,51.12471656790241,0.01662419415690033
factual_p0_seed99_shuffled,factual,shuffled,7936,51.14603048848279,0.022346808928355357
factual_p0_seed99_shuffled,factual,shuffled,8192,50.023370399365206,0.012933786379668622
factual_p0_seed99_shuffled,factual,shuffled,8448,50.00888793826192,0.010857649153285243
factual_p0_seed99_shuffled,factual,shuffled,8704,50.83215815429721,0.016771016015813916
factual_p0_seed99_shuffled,factual,shuffled,8960,50.4283143195953,0.014400309744797616
factual_p0_seed99_shuffled,factual,shuffled,9216,49.938482192874815,0.006100661539202594
factual_p0_seed99_shuffled,factual,shuffled,9472,49.927230286118395,0.009460619285566121
factual_p0_seed99_shuffled,factual,shuffled,9728,49.91491799842881,0.010658384403962023
factual_p0_seed99_shuffled,factual,shuffled,9984,49.905646090680364,0.01085561359877169
factual_p0_seed99_shuffled,factual,shuffled,10000,49.83052571815438,0.008319674645974088
