file,regime,control,n_points,fisher_trace,kl_vs_prev
mathematical_p0_seed42_none,mathematical,none,32,41444.32757187496,0.0
mathematical_p0_seed42_none,mathematical,none,48,9166.163268187433,1.8152957359920623
mathematical_p0_seed42_none,mathematical,none,64,1813.5552902835996,1.6050254072322863
mathematical_p0_seed42_none,mathematical,none,80,5682.408204292654,2.690092013308978
mathematical_p0_seed42_none,mathematical,none,96,19645.024548712518,2.255600954174463
mathematical_p0_seed42_none,mathematical,none,112,55852.27974048066,2.2818991880344703
mathematical_p0_seed42_none,mathematical,none,128,8665.562856784356,1.891785398219947
mathematical_p0_seed42_none,mathematical,none,160,8887.060048794257,2.2367373518266427
mathematical_p0_seed42_none,mathematical,none,192,683.6023115132667,1.610504339985141
mathematical_p0_seed42_none,mathematical,none,224,297120.34839042905,2.3785103517529516
mathematical_p0_seed42_none,mathematical,none,256,513.6283938909213,1.0045367038265813
mathematical_p0_seed42_none,mathematical,none,320,1098.530672427843,1.049511055479437
mathematical_p0_seed42_none,mathematical,none,384,782.6854240734144,1.1312667087784223
mathematical_p0_seed42_none,mathematical,none,448,570.9499620778143,0.6483361954222963
mathematical_p0_seed42_none,mathematical,none,512,225.83349968532377,0.5951257129375247
mathematical_p0_seed42_none,mathematical,none,768,5588.556391449323,0.9566443737308212
mathematical_p0_seed42_none,mathematical,none,1024,2182.4556029390396,0.4509873976589857
mathematical_p0_seed42_none,mathematical,none,1280,2284.926623827161,0.1947286720914705
mathematical_p0_seed42_none,mathematical,none,1536,65309.378586559105,0.9458697964962254
mathematical_p0_seed42_none,mathematical,none,1792,1336.4554960640182,0.2854960359970873
mathematical_p0_seed42_none,mathematical,none,2048,5646.593318638065,0.44800440798728414
mathematical_p0_seed42_none,mathematical,none,2304,530.2690892321646,0.17599520879317182
mathematical_p0_seed42_none,mathematical,none,2560,949.0626144485553,0.1508450298258898
mathematical_p0_seed42_none,mathematical,none,2816,512.284058994421,0.11672036544213313
mathematical_p0_seed42_none,mathematical,none,3072,251.50286384282742,0.09187527920859305
mathematical_p0_seed42_none,mathematical,none,3328,1345.2743220154225,0.20060100323641142
mathematical_p0_seed42_none,mathematical,none,3584,518.8627008595986,0.10750021059799283
mathematical_p0_seed42_none,mathematical,none,3840,2354.0650959148275,0.1371823680086836
mathematical_p0_seed42_none,mathematical,none,4096,1475.6390178269428,0.040143320934532344
mathematical_p0_seed42_none,mathematical,none,4352,890.3010643772498,0.08036189045025921
mathematical_p0_seed42_none,mathematical,none,4608,6429.9191879783675,0.06499842968032735
mathematical_p0_seed42_none,mathematical,none,4864,696.771474087433,0.04434085005262547
mathematical_p0_seed42_none,mathematical,none,5120,2026.1427155919382,0.12569954369724423
mathematical_p0_seed42_none,mathematical,none,5376,1642.2532601120574,0.03514311461013796
mathematical_p0_seed42_none,mathematical,none,5632,224.74608930024874,0.11670085849413685
mathematical_p0_seed42_none,mathematical,none,5888,903.8082965857006,0.1949147566180794
mathematical_p0_seed42_none,mathematical,none,6144,149.10748980454082,0.12368728912694095
mathematical_p0_seed42_none,mathematical,none,6400,2183.454966887607,0.1908303195738626
mathematical_p0_seed42_none,mathematical,none,6656,722.7763462544261,0.07574440852439143
mathematical_p0_seed42_none,mathematical,none,6912,424.35465909855486,0.0659847868784481
mathematical_p0_seed42_none,mathematical,none,7168,4185.739182089676,0.15595280568119213
mathematical_p0_seed42_none,mathematical,none,7424,241.6421250911236,0.15541984334450257
mathematical_p0_seed42_none,mathematical,none,7680,4049.8032557523234,0.22327967617812375
mathematical_p0_seed42_none,mathematical,none,7936,7352.091724291537,0.018354826729501728
mathematical_p0_seed42_none,mathematical,none,8192,369.23909976984123,0.12776120446865682
mathematical_p0_seed42_none,mathematical,none,8448,3120.7673632188853,0.179647751269125
mathematical_p0_seed42_none,mathematical,none,8704,1566.8452076809679,0.10466280079677041
mathematical_p0_seed42_none,mathematical,none,8960,4395.160933030961,0.16528544087964153
mathematical_p0_seed42_none,mathematical,none,9216,5872.8285520467925,0.019655300087392098
mathematical_p0_seed42_none,mathematical,none,9472,230.44720380187832,0.18818228280789256
mathematical_p0_seed42_none,mathematical,none,9728,2551.320663137088,0.27181963301938744
mathematical_p0_seed42_none,mathematical,none,9984,188.07706390931125,0.1856559541546329
mathematical_p0_seed42_none,mathematical,none,10000,2527.79877839424,0.3047323822157301
