file,regime,control,n_points,fisher_trace,kl_vs_prev
philosophical_p0_seed99_none,philosophical,none,32,779836.1582653972,0.0
philosophical_p0_seed99_none,philosophical,none,48,10982099.833721772,1.5873236242335966
philosophical_p0_seed99_none,philosophical,none,64,24543.507255590433,2.0993814439652865
philosophical_p0_seed99_none,philosophical,none,80,11058.744093192636,2.0255569439473793
philosophical_p0_seed99_none,philosophical,none,96,2077.8877363122147,1.8056254451358824
philosophical_p0_seed99_none,philosophical,none,112,2482.8714927247174,1.8672028287119826
philosophical_p0_seed99_none,philosophical,none,128,21114.56175752168,2.0651820094194
philosophical_p0_seed99_none,philosophical,none,160,2419.0006084256493,1.5942025501362933
philosophical_p0_seed99_none,philosophical,none,192,1634.7718487162224,1.3057055108551894
philosophical_p0_seed99_none,philosophical,none,224,3993.849053203043,1.9815814715106248
philosophical_p0_seed99_none,philosophical,none,256,5942.958341108743,1.1729835623392604
philosophical_p0_seed99_none,philosophical,none,320,236.75270485849722,1.0025486468734104
philosophical_p0_seed99_none,philosophical,none,384,446.02050020220145,0.952082326833237
philosophical_p0_seed99_none,philosophical,none,448,180.96893922790025,0.5611475179992589
philosophical_p0_seed99_none,philosophical,none,512,330.08841427462664,0.4601538052171172
philosophical_p0_seed99_none,philosophical,none,768,26697.383323215112,1.2741090415082899
philosophical_p0_seed99_none,philosophical,none,1024,12462.986394394437,0.8127702548443205
philosophical_p0_seed99_none,philosophical,none,1280,1244.4426790631314,0.28056718159189936
philosophical_p0_seed99_none,philosophical,none,1536,10834.75433185004,0.17749352772902777
philosophical_p0_seed99_none,philosophical,none,1792,1671.9433444132771,0.2695374953812841
philosophical_p0_seed99_none,philosophical,none,2048,625.8699452999283,0.08165292698328462
philosophical_p0_seed99_none,philosophical,none,2304,2395.553494078836,0.08601865405449817
philosophical_p0_seed99_none,philosophical,none,2560,624.100219497027,0.050597555948853165
philosophical_p0_seed99_none,philosophical,none,2816,988.7091599786942,0.03275684005983662
philosophical_p0_seed99_none,philosophical,none,3072,231.17582704493793,0.06251388438525687
philosophical_p0_seed99_none,philosophical,none,3328,257.24117826769367,0.3320000084591691
philosophical_p0_seed99_none,philosophical,none,3584,211.29681260129541,0.0731820226098463
philosophical_p0_seed99_none,philosophical,none,3840,266.43171193953776,0.13811315068157168
philosophical_p0_seed99_none,philosophical,none,4096,224.09978563039493,0.06469755023752195
philosophical_p0_seed99_none,philosophical,none,4352,218.0993945545365,0.04237568898748873
philosophical_p0_seed99_none,philosophical,none,4608,141.90918960446325,0.060167804548992856
philosophical_p0_seed99_none,philosophical,none,4864,113.20320405387682,0.06598256058147166
philosophical_p0_seed99_none,philosophical,none,5120,116.08459257312954,0.049949080663782806
philosophical_p0_seed99_none,philosophical,none,5376,104.51955182787606,0.030617746732113666
philosophical_p0_seed99_none,philosophical,none,5632,82.15175261482473,0.03884622644954354
philosophical_p0_seed99_none,philosophical,none,5888,105.12388789804325,0.03022491979531031
philosophical_p0_seed99_none,philosophical,none,6144,83.1754427234147,0.024622227625366838
philosophical_p0_seed99_none,philosophical,none,6400,100.93572000264929,0.02555512516060857
philosophical_p0_seed99_none,philosophical,none,6656,118.31148483049562,0.025295976400409006
philosophical_p0_seed99_none,philosophical,none,6912,73.56510436919733,0.026189032800998355
philosophical_p0_seed99_none,philosophical,none,7168,102.32514214212057,0.024783091902581877
philosophical_p0_seed99_none,philosophical,none,7424,80.22635449963617,0.01738918281702087
philosophical_p0_seed99_none,philosophical,none,7680,100.08145512085778,0.02519805978607481
philosophical_p0_seed99_none,philosophical,none,7936,75.89380469732001,0.012089666081436563
philosophical_p0_seed99_none,philosophical,none,8192,72.54159444857335,0.027061031781400218
philosophical_p0_seed99_none,philosophical,none,8448,74.63882256376077,0.028332871096489885
philosophical_p0_seed99_none,philosophical,none,8704,67.35877981106091,0.021336592547869664
philosophical_p0_seed99_none,philosophical,none,8960,79.66801352689131,0.022524895381722334
philosophical_p0_seed99_none,philosophical,none,9216,78.22457354537485,0.012191724692083211
philosophical_p0_seed99_none,philosophical,none,9472,71.40973977903859,0.014900294979626428
philosophical_p0_seed99_none,philosophical,none,9728,90.43209414110166,0.022786444959931772
philosophical_p0_seed99_none,philosophical,none,9984,72.93069651170866,0.010953254530796357
philosophical_p0_seed99_none,philosophical,none,10000,71.35190626058485,0.015960794634379685
