file,regime,control,n_points,fisher_trace,kl_vs_prev
philosophical_p0_seed99_shuffled,philosophical,shuffled,32,622.1395057461717,0.0
philosophical_p0_seed99_shuffled,philosophical,shuffled,48,8637.404880167893,1.8757935504575076
philosophical_p0_seed99_shuffled,philosophical,shuffled,64,109769.30829119714,2.1926011565972106
philosophical_p0_seed99_shuffled,philosophical,shuffled,80,11842.44638782718,1.7072180636866587
philosophical_p0_seed99_shuffled,philosophical,shuffled,96,89074.89603149498,3.155686305036986
philosophical_p0_seed99_shuffled,philosophical,shuffled,112,10109.129848964465,2.0381700220191514
philosophical_p0_seed99_shuffled,philosophical,shuffled,128,11607.131259803897,1.829299856447818
philosophical_p0_seed99_shuffled,philosophical,shuffled,160,509988.63910681556,1.525740564435212
philosophical_p0_seed99_shuffled,philosophical,shuffled,192,1180.4102553685211,1.3495416906557216
philosophical_p0_seed99_shuffled,philosophical,shuffled,224,2034.9875458388117,0.967239448042771
philosophical_p0_seed99_shuffled,philosophical,shuffled,256,639.7122900921117,0.8074021782911217
philosophical_p0_seed99_shuffled,philosophical,shuffled,320,129.11829088476924,0.4807479874491448
philosophical_p0_seed99_shuffled,philosophical,shuffled,384,425.923632186423,0.4284637894819742
philosophical_p0_seed99_shuffled,philosophical,shuffled,448,78.3584628478203,0.4845315769354861
philosophical_p0_seed99_shuffled,philosophical,shuffled,512,81.38042544302417,0.34883996021024205
philosophical_p0_seed99_shuffled,philosophical,shuffled,768,64.55354797909416,0.2521794948748079
philosophical_p0_seed99_shuffled,philosophical,shuffled,1024,67.49921264436695,0.2236889556603836
philosophical_p0_seed99_shuffled,philosophical,shuffled,1280,55.938465347638186,0.1592918866450393
philosophical_p0_seed99_shuffled,philosophical,shuffled,1536,56.846460617040066,0.09784365079771744
philosophical_p0_seed99_shuffled,philosophical,shuffled,1792,54.113628575111704,0.056944774212079774
philosophical_p0_seed99_shuffled,philosophical,shuffled,2048,54.266944912396475,0.054640080886940966
philosophical_p0_seed99_shuffled,philosophical,shuffled,2304,54.20603042873321,0.057321025528643814
philosophical_p0_seed99_shuffled,philosophical,shuffled,2560,52.62278368347501,0.04801741226813911
philosophical_p0_seed99_shuffled,philosophical,shuffled,2816,52.38947597057461,0.03960351448659646
philosophical_p0_seed99_shuffled,philosophical,shuffled,3072,53.835389982698075,0.0446165411240489
philosophical_p0_seed99_shuffled,philosophical,shuffled,3328,54.43574198230989,0.048327296292906385
philosophical_p0_seed99_shuffled,philosophical,shuffled,3584,51.3160798204014,0.04413974885590858
philosophical_p0_seed99_shuffled,philosophical,shuffled,3840,51.49713209427992,0.03452356562171712
philosophical_p0_seed99_shuffled,philosophical,shuffled,4096,51.33874005440758,0.028183613663229867
philosophical_p0_seed99_shuffled,philosophical,shuffled,4352,51.30530341117201,0.028211982053934888
philosophical_p0_seed99_shuffled,philosophical,shuffled,4608,50.52162052144861,0.02401134942601967
philosophical_p0_seed99_shuffled,philosophical,shuffled,4864,51.71027649594159,0.03511507014671024
philosophical_p0_seed99_shuffled,philosophical,shuffled,5120,51.00837416927756,0.036964142136916664
philosophical_p0_seed99_shuffled,philosophical,shuffled,5376,51.42576258065958,0.017548521003818787
philosophical_p0_seed99_shuffled,philosophical,shuffled,5632,50.97735043468791,0.023922892567825007
philosophical_p0_seed99_shuffled,philosophical,shuffled,5888,50.76852734307661,0.01704132556122836
philosophical_p0_seed99_shuffled,philosophical,shuffled,6144,50.414713549235465,0.022289130869771967
philosophical_p0_seed99_shuffled,philosophical,shuffled,6400,50.28470909634985,0.01828626637299499
philosophical_p0_seed99_shuffled,philosophical,shuffled,6656,50.329815468469924,0.015456904070945647
philosophical_p0_seed99_shuffled,philosophical,shuffled,6912,50.619003463480674,0.017250737666666828
philosophical_p0_seed99_shuffled,philosophical,shuffled,7168,50.23106182582153,0.021238886861285316
philosophical_p0_seed99_shuffled,philosophical,shuffled,7424,50.05936635042044,0.013282567283356963
philosophical_p0_seed99_shuffled,philosophical,shuffled,7680,49.86465696909589,0.011711388200743541
philosophical_p0_seed99_shuffled,philosophical,shuffled,7936,49.95334041400955,0.009725313475317535
philosophical_p0_seed99_shuffled,philosophical,shuffled,8192,49.743516540949685,0.012017557553764126
philosophical_p0_seed99_shuffled,philosophical,shuffled,8448,49.8656733205721,0.012899727866471537
philosophical_p0_seed99_shuffled,philosophical,shuffled,8704,49.88401015524259,0.010718288992206945
philosophical_p0_seed99_shuffled,philosophical,shuffled,8960,50.08347114472871,0.011697954667349065
philosophical_p0_seed99_shuffled,philosophical,shuffled,9216,50.043477890160474,0.013702233951236226
philosophical_p0_seed99_shuffled,philosophical,shuffled,9472,50.34417655423851,0.012809584643876326
philosophical_p0_seed99_shuffled,philosophical,shuffled,9728,49.68168972490074,0.011710905089926924
philosophical_p0_seed99_shuffled,philosophical,shuffled,9984,50.03066062129569,0.009850125079006991
philosophical_p0_seed99_shuffled,philosophical,shuffled,10000,49.717242184101046,0.010437843763972688
