data_source,file,q_label,topology,n_points,ricci_ambient,log_det_fisher,fisher_speed_dn
measured,creative_p0_seed42_none,creative,none,32,,615.526873309449,
measured,creative_p0_seed42_none,creative,none,40,,515.5435671752056,0.4315021665201953
measured,creative_p0_seed42_none,creative,none,10000,,159.2788873401951,0.00042478841963659777
measured,creative_p0_seed7_none,creative,none,32,,729.0327290878788,
measured,creative_p0_seed7_none,creative,none,40,,629.0513772387475,0.4639149651119512
measured,creative_p0_seed7_none,creative,none,10000,,103.73394679671225,0.000410777448702789
measured,creative_p0_seed99_none,creative,none,32,,729.4393958520251,
measured,creative_p0_seed99_none,creative,none,40,,526.7222261524205,0.4659265305464483
measured,creative_p0_seed99_none,creative,none,10000,,108.00018271996612,0.0004380764438183763
measured,factual_p0_seed42_none,factual,none,32,,610.9667503987802,
measured,factual_p0_seed42_none,factual,none,40,,599.1708335518871,0.37477593311433344
measured,factual_p0_seed42_none,factual,none,10000,,138.7364787052986,0.0003997142757529789
measured,factual_p0_seed7_none,factual,none,32,,723.8808632799863,
measured,factual_p0_seed7_none,factual,none,40,,606.3897946984238,0.41845469806117086
measured,factual_p0_seed7_none,factual,none,10000,,107.84092226095568,0.000418187916634999
measured,factual_p0_seed99_none,factual,none,32,,606.4281891978726,
measured,factual_p0_seed99_none,factual,none,40,,630.5249716623717,0.5625848298225454
measured,factual_p0_seed99_none,factual,none,10000,,120.51489118965989,0.0003954417253539443
measured,mathematical_p0_seed42_none,mathematical,none,32,,628.89425387058,
measured,mathematical_p0_seed42_none,mathematical,none,40,,607.7087949161812,0.5068451666851622
measured,mathematical_p0_seed42_none,mathematical,none,10000,,161.65314508952895,0.00041665529984401267
measured,mathematical_p0_seed7_none,mathematical,none,32,,628.89425387058,
measured,mathematical_p0_seed7_none,mathematical,none,40,,618.4625334085476,0.49599743373416905
measured,mathematical_p0_seed7_none,mathematical,none,10000,,173.5219427189989,0.0004281747321795152
measured,mathematical_p0_seed99_none,mathematical,none,32,,612.19813015322,
measured,mathematical_p0_seed99_none,mathematical,none,40,,517.0673090315631,0.43380712238396135
measured,mathematical_p0_seed99_none,mathematical,none,10000,,169.94981031195357,0.0004245441759460779
measured,philosophical_p0_seed42_none,philosophical,none,32,,625.422877651067,
measured,philosophical_p0_seed42_none,philosophical,none,40,,496.03454752114317,0.43914613297094396
measured,philosophical_p0_seed42_none,philosophical,none,10000,,113.14001020777924,0.00040755512714777043
measured,philosophical_p0_seed7_none,philosophical,none,32,,731.1075589837503,
measured,philosophical_p0_seed7_none,philosophical,none,40,,620.1326451514823,0.46254813298098263
measured,philosophical_p0_seed7_none,philosophical,none,10000,,624.2006897100778,0.00047120677828313195
measured,philosophical_p0_seed99_none,philosophical,none,32,,628.1964451375618,
measured,philosophical_p0_seed99_none,philosophical,none,40,,729.908764853825,0.37638185258521384
measured,philosophical_p0_seed99_none,philosophical,none,10000,,103.51817308687467,0.00044312934254475206
