n_questions,baseline_correct,adaptive_correct,baseline_accuracy,adaptive_accuracy,adaptive_minus_baseline_accuracy,adaptive_down_total,adaptive_up_total,adaptive_hold_total,seed
50.0,2.0,2.0,0.04,0.04,0.0,112.0,89.0,2199.0,100
50.0,1.0,1.0,0.02,0.02,0.0,105.0,95.0,2200.0,101
50.0,1.0,1.0,0.02,0.02,0.0,91.0,88.0,2221.0,102
50.0,2.0,2.0,0.04,0.04,0.0,106.0,98.0,2196.0,103
50.0,1.0,1.0,0.02,0.02,0.0,101.0,108.0,2191.0,104
50.0,2.0,2.0,0.04,0.04,0.0,93.0,96.0,2211.0,105
50.0,1.0,1.0,0.02,0.02,0.0,93.0,81.0,2226.0,106
50.0,2.0,2.0,0.04,0.04,0.0,128.0,90.0,2182.0,107
50.0,1.0,1.0,0.02,0.02,0.0,141.0,77.0,2182.0,108
50.0,2.0,2.0,0.04,0.04,0.0,97.0,82.0,2221.0,109
50.0,1.0,1.0,0.02,0.02,0.0,100.0,98.0,2202.0,110
50.0,3.0,3.0,0.06,0.06,0.0,105.0,104.0,2191.0,111
