source_csv,regime,control,max_len,n_star_trace_max,fisher_at_n_star,llm_seed
results\llm_entropy\runs\factual_p0_seed42_none.csv,factual,none,10000,192.0,2208437.445219324,42
results\llm_entropy\runs\factual_p0_seed42_shuffled.csv,factual,shuffled,10000,96.0,342263.42017869186,42
results\llm_entropy\runs\factual_p0_seed42_random_uniform.csv,factual,random_uniform,10000,32.0,713648.4129607604,42
results\llm_entropy\runs\factual_p0_seed99_none.csv,factual,none,10000,48.0,26278.068072671296,99
results\llm_entropy\runs\factual_p0_seed99_shuffled.csv,factual,shuffled,10000,48.0,7059039.567488356,99
results\llm_entropy\runs\factual_p0_seed99_random_uniform.csv,factual,random_uniform,10000,160.0,842440.0932237495,99
results\llm_entropy\runs\factual_p0_seed7_none.csv,factual,none,10000,64.0,47138.41632255241,7
results\llm_entropy\runs\factual_p0_seed7_shuffled.csv,factual,shuffled,10000,64.0,568788.5610676145,7
results\llm_entropy\runs\factual_p0_seed7_random_uniform.csv,factual,random_uniform,10000,320.0,17164149.733738765,7
results\llm_entropy\runs\creative_p0_seed42_none.csv,creative,none,10000,192.0,261496.184557577,42
results\llm_entropy\runs\creative_p0_seed42_shuffled.csv,creative,shuffled,10000,64.0,549997.5959119169,42
results\llm_entropy\runs\creative_p0_seed42_random_uniform.csv,creative,random_uniform,10000,80.0,1751339.1647453282,42
results\llm_entropy\runs\creative_p0_seed99_none.csv,creative,none,10000,112.0,80163.87509043445,99
results\llm_entropy\runs\creative_p0_seed99_shuffled.csv,creative,shuffled,10000,96.0,2842117.669860685,99
results\llm_entropy\runs\creative_p0_seed99_random_uniform.csv,creative,random_uniform,10000,128.0,47516.96665803052,99
results\llm_entropy\runs\creative_p0_seed7_none.csv,creative,none,10000,48.0,1147867.733721678,7
results\llm_entropy\runs\creative_p0_seed7_shuffled.csv,creative,shuffled,10000,48.0,3342969.81197434,7
results\llm_entropy\runs\creative_p0_seed7_random_uniform.csv,creative,random_uniform,10000,32.0,10585480.867897592,7
results\llm_entropy\runs\mathematical_p0_seed42_none.csv,mathematical,none,10000,224.0,297120.34839042905,42
results\llm_entropy\runs\mathematical_p0_seed42_shuffled.csv,mathematical,shuffled,10000,96.0,53802.039340056304,42
results\llm_entropy\runs\mathematical_p0_seed42_random_uniform.csv,mathematical,random_uniform,10000,64.0,2024884.605592848,42
results\llm_entropy\runs\mathematical_p0_seed99_none.csv,mathematical,none,10000,64.0,163694.37824381774,99
results\llm_entropy\runs\mathematical_p0_seed99_shuffled.csv,mathematical,shuffled,10000,80.0,1623407.572225562,99
results\llm_entropy\runs\mathematical_p0_seed99_random_uniform.csv,mathematical,random_uniform,10000,48.0,74601.19226867193,99
results\llm_entropy\runs\mathematical_p0_seed7_none.csv,mathematical,none,10000,256.0,74655.9317671604,7
results\llm_entropy\runs\mathematical_p0_seed7_shuffled.csv,mathematical,shuffled,10000,112.0,140127.58780912324,7
results\llm_entropy\runs\mathematical_p0_seed7_random_uniform.csv,mathematical,random_uniform,10000,96.0,2584618.2669515177,7
results\llm_entropy\runs\philosophical_p0_seed42_none.csv,philosophical,none,10000,112.0,70296.80851368385,42
results\llm_entropy\runs\philosophical_p0_seed42_shuffled.csv,philosophical,shuffled,10000,32.0,141301.45347673382,42
results\llm_entropy\runs\philosophical_p0_seed42_random_uniform.csv,philosophical,random_uniform,10000,64.0,2024884.605592848,42
results\llm_entropy\runs\philosophical_p0_seed99_none.csv,philosophical,none,10000,48.0,10982099.833721772,99
results\llm_entropy\runs\philosophical_p0_seed99_shuffled.csv,philosophical,shuffled,10000,160.0,509988.6391068156,99
results\llm_entropy\runs\philosophical_p0_seed99_random_uniform.csv,philosophical,random_uniform,10000,64.0,544196.9278690498,99
results\llm_entropy\runs\philosophical_p0_seed7_none.csv,philosophical,none,10000,64.0,1440070.3119290231,7
results\llm_entropy\runs\philosophical_p0_seed7_shuffled.csv,philosophical,shuffled,10000,48.0,300533.176039427,7
results\llm_entropy\runs\philosophical_p0_seed7_random_uniform.csv,philosophical,random_uniform,10000,48.0,1168489.192382508,7
