source_csv,regime,control,max_len,n_star_trace_max,fisher_at_n_star
results\llm_entropy\runs\creative_p0_seed42_none.csv,creative,none,10000,64.0,407877.50170404004
results\llm_entropy\runs\creative_p0_seed7_none.csv,creative,none,10000,64.0,232120.85601490745
results\llm_entropy\runs\creative_p0_seed99_none.csv,creative,none,10000,80.0,64834.740468567295
results\llm_entropy\runs\factual_p0_seed42_none.csv,factual,none,10000,192.0,2208437.445219324
results\llm_entropy\runs\factual_p0_seed7_none.csv,factual,none,10000,64.0,47138.41632255241
results\llm_entropy\runs\factual_p0_seed99_none.csv,factual,none,10000,48.0,26278.068072671296
results\llm_entropy\runs\mathematical_p0_seed42_none.csv,mathematical,none,10000,224.0,297120.34839042905
results\llm_entropy\runs\mathematical_p0_seed7_none.csv,mathematical,none,10000,256.0,74655.9317671604
results\llm_entropy\runs\mathematical_p0_seed99_none.csv,mathematical,none,10000,64.0,163694.37824381774
results\llm_entropy\runs\philosophical_p0_seed42_none.csv,philosophical,none,10000,112.0,70296.80851368385
results\llm_entropy\runs\philosophical_p0_seed7_none.csv,philosophical,none,10000,64.0,1440070.3119290231
results\llm_entropy\runs\philosophical_p0_seed99_none.csv,philosophical,none,10000,48.0,10982099.833721772
