step,fisher_trace,action_300_440,action_mean_plusminus_sigma
15,,hold,hold
31,395.05841417654176,hold,hold
47,441.6494237531982,up,up
63,382.6270818690652,hold,hold
79,356.46847455230295,hold,hold
95,326.8428621015456,hold,down
111,366.06530732489284,hold,hold
127,376.6278432891286,hold,hold
143,394.9447175860835,hold,hold
159,350.8335457161648,hold,hold
175,364.9142898027495,hold,hold
191,383.3539986039052,hold,hold
207,354.58894246254215,hold,hold
223,378.0951112622365,hold,hold
239,417.69912835838153,hold,up
255,384.27340669900644,hold,hold
271,380.57168959136766,hold,hold
287,324.21666967554563,hold,down
303,372.8206540557991,hold,hold
319,397.45516186869554,hold,hold
335,339.2439142102762,hold,down
351,395.0673872568766,hold,hold
367,407.64658690096127,hold,up
383,429.92961556186293,hold,up
399,353.037537253486,hold,hold
415,347.71608800027246,hold,hold
431,355.89490504762045,hold,hold
447,322.6513802282086,hold,down
463,338.46870260006585,hold,down
479,364.16353916205,hold,hold
495,355.0344303498022,hold,hold
511,331.55404299091816,hold,down
