step,fisher_trace,action_mean_plusminus_sigma
15,,hold
31,363.8247144213853,hold
47,351.10895146959473,down
63,413.159572636413,up
79,384.687751335231,hold
95,417.14861921942753,up
111,367.79307290040003,hold
127,363.43787821406477,hold
143,368.4130025208939,hold
159,415.3345606669405,up
175,439.1237755427029,up
191,371.68369727592085,hold
207,360.3796961118871,hold
223,363.84555494648646,hold
239,400.86627233890613,hold
255,354.2478175692978,hold
271,381.2609495212968,hold
287,469.15121452273036,up
303,411.5684489742191,up
319,366.0840146337997,hold
335,341.93398669132335,down
351,378.0705198715618,hold
367,381.22032041706416,hold
383,348.8814319072198,down
399,365.0980048374945,hold
415,397.61792204877736,hold
431,325.88276496403125,down
447,408.08342806521017,up
463,404.48333953925084,hold
479,373.6957332221828,hold
495,387.31450108715626,hold
511,336.1067232033632,down
