step,entropy,fisher_w32,log_fisher_w32,fisher_w64,log_fisher_w64,fisher_w128,log_fisher_w128
0,2.12582511,,,,,,
1,0.00592334,,,,,,
2,0.98834218,,,,,,
3,1.23682915,,,,,,
4,6.7e-06,,,,,,
5,0.01094237,,,,,,
6,2.21367363,,,,,,
7,0.01260619,,,,,,
8,1.75970281,,,,,,
9,0.07924374,,,,,,
10,0.01287934,,,,,,
11,0.55130756,,,,,,
12,0.00110017,,,,,,
13,0.02024022,,,,,,
14,0.90358982,,,,,,
15,0.04397063,,,,,,
16,1.98909833,,,,,,
17,0.0004662,,,,,,
18,0.0240395,,,,,,
19,2.33451201,,,,,,
20,4.938e-05,,,,,,
21,0.01272323,,,,,,
22,2.3533806,,,,,,
23,0.00426509,,,,,,
24,0.02296251,,,,,,
25,2.56981992,,,,,,
26,7.098e-05,,,,,,
27,0.19156708,,,,,,
28,1.90134115,,,,,,
29,0.47315731,,,,,,
30,0.00094034,,,,,,
31,0.07032989,395.05841417654176,5.979033637958607,,,,
32,2.29937634,394.1772411512583,5.976800658783182,,,,
33,0.1445179,414.96547991581065,6.028195335845216,,,,
34,0.10026823,412.87776848560236,6.023151589072917,,,,
35,1.99541545,412.0990067965058,6.021263628238751,,,,
36,0.2470687,396.44889271314423,5.9825471367094485,,,,
37,0.00036165,381.30239253796924,5.94359274153035,,,,
38,0.27359373,381.23684773774846,5.943420829589508,,,,
39,2.36350384,395.6369482120579,5.980496993294367,,,,
40,0.00381097,398.90704793460463,5.9887284271799555,,,,
41,0.00050933,426.01016634668997,6.054463210648206,,,,
42,0.32685247,443.0018888929209,6.093574033902684,,,,
43,2.34369506,439.8778345281818,6.086497039561156,,,,
44,0.33249022,410.5120290233889,6.017405231808797,,,,
45,0.00231561,455.5981379170597,6.121611144464279,,,,
46,0.24218795,454.3313778154564,6.118826838871229,,,,
47,2.35466764,441.6494237531982,6.090516408431314,,,,
48,0.00479788,425.3466639451942,6.052904516309425,,,,
49,0.46906069,413.63009657420696,6.024972087892566,,,,
50,1.57863422,386.56721946629256,5.957305771317564,,,,
51,0.17236222,398.12998672372254,5.986778551770678,,,,
52,9.7e-06,396.5736829336576,5.982861857186205,,,,
53,0.11013926,399.92665178053454,5.991281159744884,,,,
54,2.37721507,398.80079418333264,5.98846202951833,,,,
55,0.00024072,413.13075106011115,6.023764131380732,,,,
56,0.37771515,396.8726016666795,5.983615326584109,,,,
57,2.34911538,396.46285060277495,5.982582343375889,,,,
58,0.12139484,349.4041631336619,5.856229312722452,,,,
59,0.23506672,347.0047793539634,5.849338553206369,,,,
60,2.46443301,364.90258979841036,5.899630440699788,,,,
61,0.0002686,429.2455247836291,6.062029074059007,,,,
62,0.79424277,396.9611390057526,5.9838383892605975,,,,
63,2.44695839,382.6270818690652,5.947060838267606,290.3556554965302,5.671106569832357,,
64,2.974e-05,430.4643991757797,6.064864623992449,304.61399782602183,5.719045394185284,,
65,0.52113762,430.3003838123883,6.064483531808805,279.2498831511783,5.632107019511186,,
66,2.45471359,386.73775021699464,5.957746815304482,291.05873444613525,5.673525083389887,,
67,0.01662835,426.98164024373204,6.056741015216945,300.12861527427015,5.704211100363977,,
68,0.00134918,439.129913134067,6.0847952989869745,302.84807145553714,5.713231265421001,,
69,0.00160092,420.7692826838394,6.042084661334722,289.2467296660173,5.667280059755824,,
70,1.6409426,378.8453217575235,5.937127999766161,305.34987014257956,5.721458234395039,,
71,0.82104196,419.41757150917266,6.038867014369317,261.16909103671924,5.565168055931284,,
72,0.75387872,398.26642844158494,5.987121199518958,249.8269497741821,5.5207684772773185,,
73,0.1176098,398.1177816235323,5.986747895232157,249.8405327875132,5.5208228454874115,,
74,1.15340209,412.6822186913359,6.022677850517364,268.78082421121394,5.593896267604334,,
75,1.73578583,404.77678919602766,6.003335777386696,256.58464120369086,5.5474585953772575,,
76,0.00588075,402.5900014693332,5.997918677997482,239.64197664508322,5.479146045575477,,
77,0.93958792,390.93162010151735,5.968532660040411,240.1174702829336,5.48112826310798,,
78,0.58941347,378.9881239438208,5.937504869350889,240.0657748253092,5.480912947566046,,
79,1.00237646,356.46847455230295,5.876245805515827,239.5775760098677,5.478877272587203,,
80,0.14621267,368.31669512448843,5.908943152655752,237.17105024627836,5.468781611809518,,
81,0.58643246,373.0569245248735,5.9217310206669085,227.63376390897076,5.4277380388287195,,
82,0.01602374,378.6882776581335,5.936713380264766,201.87591462145315,5.307653224599243,,
83,0.17035509,385.7668612474867,5.955233200586089,228.62668039280675,5.432090456679893,,
84,0.46666625,370.0678113901499,5.913686262873069,225.5164161773991,5.41839295530587,,
85,0.30436594,371.7427626177142,5.918202116738417,222.04117248019617,5.402862826298904,,
86,1.08343391,367.6313628954598,5.9070807048385126,210.30904864395436,5.348578109096151,,
87,0.33593664,411.32014600658533,6.019371855331717,227.40059741929423,5.426713208486662,,
88,1.9655302,366.27079851529936,5.903372946473997,222.6404097658455,5.405557957702133,,
89,0.18825178,382.5498112827671,5.946858870363838,222.34702161155877,5.404239321821157,,
90,0.79059731,341.98128954001,5.834756026618677,213.9261888945145,5.365631043818251,,
91,0.14621914,324.3384625203967,5.781787607946999,211.37984132909463,5.353656710937976,,
92,0.10722923,324.24241161245254,5.7814914200312675,211.22328902909902,5.352915815776957,,
93,1.41814842,309.5495749038524,5.735118256692944,211.5480662630878,5.354452236321122,,
