step,entropy,fisher_w32,fisher_w64,fisher_w128
0,2.12582511,,,
1,0.00592334,,,
2,0.98834218,,,
3,1.23682915,,,
4,6.7e-06,,,
5,0.01094237,,,
6,2.21367363,,,
7,0.01260619,,,
8,1.75970281,,,
9,0.07924374,,,
10,0.01287934,,,
11,0.55130756,,,
12,0.00110017,,,
13,0.02024022,,,
14,0.90358982,,,
15,0.04397063,,,
16,1.98909833,,,
17,0.0004662,,,
18,0.0240395,,,
19,2.33451201,,,
20,4.938e-05,,,
21,0.01272323,,,
22,2.3533806,,,
23,0.00426509,,,
24,0.02296251,,,
25,2.56981992,,,
26,7.098e-05,,,
27,0.19156708,,,
28,1.90134115,,,
29,0.47315731,,,
30,0.00094034,,,
31,0.07032989,16357092.445561895,,
32,2.29937634,16304436.639500026,,
33,0.1445179,17416488.899935782,,
34,0.10026823,17393684.23212289,,
35,1.99541545,17152655.960055936,,
36,0.2470687,16556784.275740962,,
37,0.00036165,15889120.40339658,,
38,0.27359373,15771599.414634269,,
39,2.36350384,16339717.667969922,,
40,0.00381097,16550976.867644113,,
41,0.00050933,17637558.227448106,,
42,0.32685247,18741973.176733516,,
43,2.34369506,18260299.68061251,,
44,0.33249022,17072807.96401381,,
45,0.00231561,19201694.076969985,,
46,0.24218795,18799710.7416753,,
47,2.35466764,18667914.282934126,,
48,0.00479788,17586245.140689522,,
49,0.46906069,17468154.2189292,,
50,1.57863422,16337215.791858455,,
51,0.17236222,16638636.042492902,,
52,9.7e-06,16445999.552288162,,
53,0.11013926,16550128.411014877,,
54,2.37721507,16657009.504355568,,
55,0.00024072,17300672.27507085,,
56,0.37771515,16457621.83731778,,
57,2.34911538,16461865.33966435,,
58,0.12139484,14334667.683495687,,
59,0.23506672,13962536.79127957,,
60,2.46443301,14691763.0539913,,
61,0.0002686,17875038.047071267,,
62,0.79424277,16370554.193604952,,
63,2.44695839,15646915.119175179,23079835.666491203,
64,2.974e-05,17849981.486896247,24756743.62467268,
65,0.52113762,17889527.36984142,22007784.129041344,
66,2.45471359,16084325.872209223,23062565.423468225,
67,0.01662835,17998579.164063647,23929442.372747313,
68,0.00134918,17760533.20459654,24317503.649911612,
69,0.00160092,17356217.05848656,23053666.42542529,
70,1.6409426,15265553.838350654,24377782.847584378,
71,0.82104196,17511447.4613566,19596071.259472854,
72,0.75387872,16558662.922258735,18498654.66917355,
73,0.1176098,16687035.617716437,18996652.94828343,
74,1.15340209,17226125.159844805,21190133.847850583,
75,1.73578583,16841602.109913286,19845895.459953412,
76,0.00588075,16580683.93167578,18655172.228143945,
77,0.93958792,16290682.890297662,18492109.486858703,
78,0.58941347,15368286.985443722,18391470.424849823,
79,1.00237646,14862348.49722156,17892759.22259628,
80,0.14621267,15412837.836217707,18142565.794032987,
81,0.58643246,15376039.319083255,17008278.244424857,
82,0.01602374,15535319.654515581,14768682.65634289,
83,0.17035509,15863887.958634168,17438971.526140362,
84,0.46666625,15164045.39526226,16624161.052905867,
85,0.30436594,15290492.65602111,15708953.883582667,
86,1.08343391,15195005.80665285,14789699.315401856,
87,0.33593664,17114191.833754364,16845025.822851427,
88,1.9655302,15000038.112911994,16767176.901444659,
89,0.18825178,15858695.819750289,16760254.399183154,
90,0.79059731,14119178.34359341,16261404.402820127,
91,0.14621914,13218793.858291222,16123924.45370343,
92,0.10722923,12911599.919514086,15742246.173340494,
93,1.41814842,12128768.67334205,15526467.231144406,
94,0.14462986,13900742.525661536,20571505.231090426,
95,0.81041935,13192674.478625301,20902765.741992667,
96,0.2831416,13826035.59380799,23957712.20462852,
97,0.0123314,13360124.332965257,19349251.121251225,
98,0.28140501,13389521.074423674,18659277.52773261,
99,0.00157081,13677457.47763684,18235514.281181388,
100,0.11136599,13041038.511750693,18505053.541629236,
101,0.00482537,13589797.299674135,18355399.368693758,
102,1.4281165,13632363.154679766,17933939.709587835,
103,0.8405488,12861033.16802598,18166523.37190551,
104,0.41763617,14872248.278803162,15006120.749552457,
105,1.0288716,14251275.98663851,15477739.917366285,
106,0.93587236,14205406.108775679,15431344.64921977,
107,0.7000355,16056676.66082973,15645129.92886432,
108,0.52100865,15772986.31748941,15717903.843592418,
109,0.08792258,15019113.338733148,17167659.81289169,
110,0.22840162,16290317.244896285,17054208.106337015,
111,0.33937608,14819153.232684802,17002691.65228165,
112,1.13835267,15940697.949537983,19431474.619642954,
113,0.07672084,13903264.760500826,15414638.957697148,
114,0.27038103,14709716.415894317,15857188.685183728,
115,0.00186259,14071723.555927055,15793695.290123206,
116,0.13007063,14384870.741070295,13107992.191915382,
117,0.834268,14267021.641098358,14718327.027398096,
118,0.15412798,16766509.784179837,15345690.84066022,
119,0.39110927,16296350.924743935,17492108.655642398,
120,0.60949657,15399068.063930858,16133051.106305456,
121,1.54409109,15045239.103692453,15908120.737485182,
122,0.19952989,17419392.444684353,14952426.513226086,
123,0.49842524,15961973.615644464,16739448.837314323,
124,0.00131841,16234211.581482612,16777823.63183232,
125,0.71996565,14076929.97440369,17206393.63315649,
126,0.22490985,14696481.095352644,19139387.048109196,
127,0.00375993,15453632.107150622,18428615.457671713,13188401.578581214
128,0.57830654,15263550.189697605,19650837.19356274,11033801.212105298
129,0.00044501,15725614.976255048,17338998.31905722,10966799.732818872
130,0.24284057,15024315.875267735,13186579.198198909,11054847.529714715
