step,token_id,token_text,entropy,fisher_trace,fisher_mean,fisher_std,temp_before,temp_after,action
0,576, The,3.03428030,,,,0.7000,0.7000,hold
1,1973, order,1.71003246,,,,0.7000,0.7000,hold
2,1265, should,1.36364090,,,,0.7000,0.7000,hold
3,8708, reflect,0.79919237,,,,0.7000,0.7000,hold
4,279, the,1.10433042,,,,0.7000,0.7000,hold
5,9812, EU,3.50616360,,,,0.7000,0.7000,hold
6,594,'s,0.83363634,,,,0.7000,0.7000,hold
7,4462, member,2.68890142,,,,0.7000,0.7000,hold
8,5302, states,0.56359327,,,,0.7000,0.7000,hold
9,6,',0.79874068,,,,0.7000,0.7000,hold
10,83298, alphabetical,2.18473196,,,,0.7000,0.7000,hold
11,1973, order,0.21908008,,,,0.7000,0.7000,hold
12,382,".

",1.32795858,,,,0.7000,0.7000,hold
13,50170,Germany,2.81162500,,,,0.7000,0.7000,hold
14,198,"
",0.95393622,,,,0.7000,0.7000,hold
15,49000,France,1.36713147,,,,0.7000,0.7000,hold
16,198,"
",0.00229797,,,,0.7000,0.7000,hold
17,70503,Italy,0.24784870,,,,0.7000,0.7000,hold
18,198,"
",0.00300639,,,,0.7000,0.7000,hold
19,74320,Spain,1.05044961,,,,0.7000,0.7000,hold
20,198,"
",0.01627169,,,,0.7000,0.7000,hold
21,7084,Port,1.08690047,,,,0.7000,0.7000,hold
22,44184,ugal,0.00002578,,,,0.7000,0.7000,hold
23,198,"
",0.09947947,,,,0.7000,0.7000,hold
24,96871,Sweden,2.38023591,,,,0.7000,0.7000,hold
25,198,"
",0.05273880,,,,0.7000,0.7000,hold
26,32663,Nor,1.58753943,,,,0.7000,0.7000,hold
27,3117,way,0.00002427,,,,0.7000,0.7000,hold
28,198,"
",0.10883083,,,,0.7000,0.7000,hold
29,23619,Den,0.60073429,,,,0.7000,0.7000,hold
30,3987,mark,0.00001694,,,,0.7000,0.7000,hold
31,198,"
",0.37552822,384.10804654,,,0.7000,0.7000,hold
32,77279,Lux,1.13532770,412.80218364,,,0.7000,0.7000,hold
33,55018,embourg,0.00000609,393.32552359,,,0.7000,0.7000,hold
34,198,"
",0.35653526,418.08698960,,,0.7000,0.7000,hold
35,34,C,1.93803322,411.50997683,,,0.7000,0.7000,hold
36,25751,zech,0.69989276,399.49320842,,,0.7000,0.7000,hold
37,5429, Republic,0.05015259,411.55452851,,,0.7000,0.7000,hold
38,198,"
",0.07246578,399.63331753,,,0.7000,0.7000,hold
39,89375,Hung,1.53200889,398.81512419,,,0.7000,0.7000,hold
40,658,ary,0.00031964,415.67964988,,,0.7000,0.7000,hold
41,198,"
",0.05986050,428.61177293,,,0.7000,0.7000,hold
42,14658,Pol,1.36951947,443.74068668,,,0.7000,0.7000,hold
43,437,and,0.00012479,395.90128095,,,0.7000,0.7000,hold
44,198,"
",0.08068030,398.43886538,,,0.7000,0.7000,hold
45,32,A,2.08710098,396.46645736,,,0.7000,0.7000,hold
46,84812,ustria,0.00020419,419.36870938,,,0.7000,0.7000,hold
47,198,"
",0.12401453,407.96333963,,,0.7000,0.7000,hold
48,21666,Bel,2.31328464,380.60787799,,,0.7000,0.7000,hold
49,89239,gium,0.20213793,374.81597745,,,0.7000,0.7000,hold
50,198,"
",0.37986112,438.15322743,,,0.7000,0.7000,hold
51,45,N,2.01952124,437.18712781,,,0.7000,0.7000,hold
52,23612,etherlands,0.00007558,437.83958310,,,0.7000,0.7000,hold
53,198,"
",0.31343588,432.48078935,,,0.7000,0.7000,hold
54,9134,Fin,1.39822733,408.78689431,,,0.7000,0.7000,hold
