step,token_id,token_text,entropy,fisher_trace,fisher_mean,fisher_std,temp_before,temp_after,action
0,576, The,3.03428030,,,,0.7000,0.7000,hold
1,1973, order,1.71003246,,,,0.7000,0.7000,hold
2,1265, should,1.36364090,,,,0.7000,0.7000,hold
3,8708, reflect,0.79919237,,,,0.7000,0.7000,hold
4,279, the,1.10433042,,,,0.7000,0.7000,hold
5,9812, EU,3.50616360,,,,0.7000,0.7000,hold
6,594,'s,0.83363634,,,,0.7000,0.7000,hold
7,4462, member,2.68890142,,,,0.7000,0.7000,hold
8,5302, states,0.56359327,,,,0.7000,0.7000,hold
9,6,',0.79874068,,,,0.7000,0.7000,hold
10,83298, alphabetical,2.18473196,,,,0.7000,0.7000,hold
11,1973, order,0.21908008,,,,0.7000,0.7000,hold
12,382,".

",1.32795858,,,,0.7000,0.7000,hold
13,50170,Germany,2.81162500,,,,0.7000,0.7000,hold
14,198,"
",0.95393622,,,,0.7000,0.7000,hold
15,49000,France,1.36713147,,,,0.7000,0.7000,hold
16,198,"
",0.00229797,,,,0.7000,0.7000,hold
17,70503,Italy,0.24784870,,,,0.7000,0.7000,hold
18,198,"
",0.00300639,,,,0.7000,0.7000,hold
19,74320,Spain,1.05044961,,,,0.7000,0.7000,hold
20,198,"
",0.01627169,,,,0.7000,0.7000,hold
21,7084,Port,1.08690047,,,,0.7000,0.7000,hold
22,44184,ugal,0.00002578,,,,0.7000,0.7000,hold
23,198,"
",0.09947947,,,,0.7000,0.7000,hold
24,96871,Sweden,2.38023591,,,,0.7000,0.7000,hold
25,198,"
",0.05273880,,,,0.7000,0.7000,hold
26,32663,Nor,1.58753943,,,,0.7000,0.7000,hold
27,3117,way,0.00002427,,,,0.7000,0.7000,hold
28,198,"
",0.10883083,,,,0.7000,0.7000,hold
29,23619,Den,0.60073429,,,,0.7000,0.7000,hold
30,3987,mark,0.00001694,,,,0.7000,0.7000,hold
31,198,"
",0.37552822,384.10804654,,,0.7000,0.7000,hold
32,77279,Lux,1.13532770,412.80218364,,,0.7000,0.7000,hold
33,55018,embourg,0.00000609,393.32552359,,,0.7000,0.7000,hold
34,198,"
",0.35653526,418.08698960,,,0.7000,0.7000,hold
35,34,C,1.93803322,411.50997683,,,0.7000,0.7000,hold
36,25751,zech,0.69989276,399.49320842,,,0.7000,0.7000,hold
37,5429, Republic,0.05015259,411.55452851,,,0.7000,0.7000,hold
38,198,"
",0.07246578,399.63331753,403.81420898,10.82895279,0.7000,0.7000,hold
39,89375,Hung,1.53200889,398.81512419,403.25875854,10.32980537,0.7000,0.7000,hold
40,658,ary,0.00031964,415.67964988,404.50085449,10.48424816,0.7000,1.0000,up
41,198,"
",0.54571170,442.30541953,407.93762207,14.76622009,1.0000,1.0000,up
42,14658,Pol,2.05234003,443.28202491,410.88302612,17.18423843,1.0000,1.0000,up
43,437,and,0.00411250,406.65205685,410.55755615,16.54853249,1.0000,1.0000,hold
44,198,"
",0.72982204,413.19010481,410.74557495,15.96096992,1.0000,1.0000,hold
45,32,A,2.75997639,396.97602676,409.82760620,15.79767323,1.0000,1.0000,hold
46,84812,ustria,0.00521800,420.52900517,410.49645996,15.51382256,1.0000,1.0000,hold
47,198,"
",0.82567036,409.96008829,410.46490479,15.05114746,1.0000,1.0000,hold
48,21666,Bel,2.95392156,449.86969781,412.65402222,17.18785858,1.0000,1.0000,up
49,89239,gium,0.36903983,447.96630619,414.51260376,18.49456596,1.0000,1.0000,up
50,198,"
",1.80523324,471.61583936,417.36773682,21.90510559,1.0000,1.0000,up
