step,token_id,token_text,entropy,fisher_trace,fisher_mean,fisher_std,temp_before,temp_after,action
0,2014, To,0.22415033,,,,0.7000,0.7000,hold
1,12118, prove,0.03189256,,,,0.7000,0.7000,hold
2,429, that,0.00698751,,,,0.7000,0.7000,hold
3,279, the,0.28158760,,,,0.7000,0.7000,hold
4,9334, square,0.00012379,,,,0.7000,0.7000,hold
5,3704, root,0.00001222,,,,0.7000,0.7000,hold
6,315, of,0.00000783,,,,0.7000,0.7000,hold
7,220, ,0.00240835,,,,0.7000,0.7000,hold
8,17,2,0.00000450,,,,0.7000,0.7000,hold
9,374, is,0.13203773,,,,0.7000,0.7000,hold
10,60654, irrational,0.00016939,,,,0.7000,0.7000,hold
11,11,",",0.00219989,,,,0.7000,0.7000,hold
12,582, we,0.00443652,,,,0.7000,0.7000,hold
13,686, will,0.43963417,,,,0.7000,0.7000,hold
14,990, use,0.26120484,,,,0.7000,0.7000,hold
15,264, a,0.21611878,,,,0.7000,0.7000,hold
16,11064, proof,0.14537233,,,,0.7000,0.7000,hold
17,553, by,0.00153084,,,,0.7000,0.7000,hold
18,49759, contradiction,0.03372084,,,,0.7000,0.7000,hold
19,13,.,0.02122822,,,,0.7000,0.7000,hold
20,6771, Let,0.52733898,,,,0.7000,0.7000,hold
21,594,'s,0.06365403,,,,0.7000,0.7000,hold
22,10354, proceed,1.03792286,,,,0.7000,0.7000,hold
23,3019, step,0.02872692,,,,0.7000,0.7000,hold
24,553, by,0.40657535,,,,0.7000,0.7000,hold
25,3019, step,0.00000869,,,,0.7000,0.7000,hold
26,382,".

",0.12770846,,,,0.7000,0.7000,hold
27,14374,###,0.73126149,,,,0.7000,0.7000,hold
28,14822, Step,0.00980095,,,,0.7000,0.7000,hold
29,220, ,0.00369100,,,,0.7000,0.7000,hold
30,16,1,0.00001550,,,,0.7000,0.7000,hold
31,25,:,0.00004218,379.90335898,,,0.7000,0.7000,hold
32,62197, Assume,0.22668687,377.34614477,,,0.7000,0.7000,hold
33,279, the,0.29233447,369.90971374,,,0.7000,0.7000,hold
34,9334, square,0.88694465,373.72038470,,,0.7000,0.7000,hold
35,3704, root,0.00002768,336.30757657,,,0.7000,0.7000,hold
36,315, of,0.00004479,339.43663739,,,0.7000,0.7000,hold
37,220, ,0.00012414,352.23782908,,,0.7000,0.7000,hold
38,17,2,0.00000429,356.86969494,,,0.7000,0.7000,hold
39,374, is,0.00010135,382.55204709,,,0.7000,0.7000,hold
40,24438, rational,0.00771349,338.64889282,,,0.7000,0.7000,hold
41,624,".
",0.69864476,353.06578278,,,0.7000,0.7000,hold
42,1359,By,1.22848332,356.01651268,,,0.7000,0.7000,hold
43,7271, definition,0.01345571,355.12997206,,,0.7000,0.7000,hold
44,11,",",0.00236186,373.43585235,,,0.7000,0.7000,hold
45,421, if,0.60676527,370.00659587,,,0.7000,0.7000,hold
46,264, a,0.63370615,385.05297964,,,0.7000,0.7000,hold
47,1372, number,0.00284868,368.38247996,,,0.7000,0.7000,hold
48,374, is,0.51448154,372.87806354,,,0.7000,0.7000,hold
49,24438, rational,0.00580044,371.18598602,,,0.7000,0.7000,hold
50,11,",",0.00003032,427.52871815,,,0.7000,0.7000,hold
51,432, it,0.00674116,428.85967203,,,0.7000,0.7000,hold
52,646, can,0.00070099,429.30591814,,,0.7000,0.7000,hold
53,387, be,0.00000633,419.25646890,,,0.7000,0.7000,hold
54,13302, expressed,0.00534266,427.26679385,,,0.7000,0.7000,hold
55,438, as,0.00289152,412.02378558,,,0.7000,0.7000,hold
56,264, a,0.45126915,422.50556845,,,0.7000,0.7000,hold
57,19419, fraction,0.41857034,429.24179438,,,0.7000,0.7000,hold
58,1124, \,0.95657891,433.18023985,,,0.7000,0.7000,hold
59,11520,(\,0.00000528,431.16601182,,,0.7000,0.7000,hold
60,37018,frac,0.00001060,368.98515505,,,0.7000,0.7000,hold
61,90,{,0.00007547,380.28314571,,,0.7000,0.7000,hold
62,64,a,0.69324189,373.48408281,,,0.7000,0.7000,hold
63,15170,}{,0.00000426,354.69529105,,,0.7000,0.7000,hold
64,65,b,0.00000451,394.49739609,,,0.7000,0.7000,hold
65,11035,}\,0.00000812,390.34117960,,,0.7000,0.7000,hold
66,701,"),",0.67341000,392.75861061,,,0.7000,0.7000,hold
67,1380, where,0.00002909,378.21442119,,,0.7000,0.7000,hold
68,17767, \(,0.00123637,391.92009796,,,0.7000,0.7000,hold
69,64,a,0.00000472,407.94590262,,,0.7000,0.7000,hold
70,57758,\),0.00001238,436.45928280,,,0.7000,0.7000,hold
71,323, and,0.00000986,406.24597135,,,0.7000,0.7000,hold
72,17767, \(,0.00000864,378.99131938,,,0.7000,0.7000,hold
73,65,b,0.00000447,350.85867332,,,0.7000,0.7000,hold
74,57758,\),0.00000485,342.83009352,,,0.7000,0.7000,hold
75,525, are,0.00000906,345.11829079,,,0.7000,0.7000,hold
76,25780, integers,0.00178177,344.76936501,,,0.7000,0.7000,hold
77,448, with,0.62072974,342.18331355,,,0.7000,0.7000,hold
78,902, no,0.05417281,340.40726051,,,0.7000,0.7000,hold
79,4185, common,0.00014217,339.73067874,,,0.7000,0.7000,hold
80,9363, factors,0.00336720,380.00853606,,,0.7000,0.7000,hold
81,1008, other,0.08285601,367.99029628,,,0.7000,0.7000,hold
82,1091, than,0.00000472,377.71667225,,,0.7000,0.7000,hold
83,220, ,0.00003543,364.94729318,,,0.7000,0.7000,hold
84,16,1,0.00000421,333.80804179,,,0.7000,0.7000,hold
85,11,",",0.36495411,366.18439679,,,0.7000,0.7000,hold
86,323, and,0.00443682,365.53527980,,,0.7000,0.7000,hold
87,17767, \(,0.00391525,351.32257292,,,0.7000,0.7000,hold
88,65,b,0.00002714,334.74919510,,,0.7000,0.7000,hold
89,1124, \,0.00042025,351.32137168,,,0.7000,0.7000,hold
90,811,ne,0.00000433,360.26880440,,,0.7000,0.7000,hold
91,80,q,0.00000946,365.39473596,,,0.7000,0.7000,hold
92,220, ,0.00000678,349.25653836,,,0.7000,0.7000,hold
93,15,0,0.00001361,347.57843958,,,0.7000,0.7000,hold
94,59,\,0.00003104,366.03321518,,,0.7000,0.7000,hold
95,3593,").

",0.03803745,369.07515787,,,0.7000,0.7000,hold
96,4416,So,0.93396705,381.45562153,,,0.7000,0.7000,hold
97,11,",",0.00019332,370.24343748,,,0.7000,0.7000,hold
98,582, we,0.45625827,383.37251850,,,0.7000,0.7000,hold
