step,token_id,token_text,entropy,fisher_trace,fisher_mean,fisher_std,temp_before,temp_after,action
0,2014, To,0.22415033,,,,0.7000,0.7000,hold
1,12118, prove,0.03189256,,,,0.7000,0.7000,hold
2,429, that,0.00698751,,,,0.7000,0.7000,hold
3,279, the,0.28158760,,,,0.7000,0.7000,hold
4,9334, square,0.00012379,,,,0.7000,0.7000,hold
5,3704, root,0.00001222,,,,0.7000,0.7000,hold
6,315, of,0.00000783,,,,0.7000,0.7000,hold
7,220, ,0.00240835,,,,0.7000,0.7000,hold
8,17,2,0.00000450,,,,0.7000,0.7000,hold
9,374, is,0.13203773,,,,0.7000,0.7000,hold
10,60654, irrational,0.00016939,,,,0.7000,0.7000,hold
11,11,",",0.00219989,,,,0.7000,0.7000,hold
12,582, we,0.00443652,,,,0.7000,0.7000,hold
13,686, will,0.43963417,,,,0.7000,0.7000,hold
14,990, use,0.26120484,,,,0.7000,0.7000,hold
15,264, a,0.21611878,,,,0.7000,0.7000,hold
16,11064, proof,0.14537233,,,,0.7000,0.7000,hold
17,553, by,0.00153084,,,,0.7000,0.7000,hold
18,49759, contradiction,0.03372084,,,,0.7000,0.7000,hold
19,13,.,0.02122822,,,,0.7000,0.7000,hold
20,6771, Let,0.52733898,,,,0.7000,0.7000,hold
21,594,'s,0.06365403,,,,0.7000,0.7000,hold
22,10354, proceed,1.03792286,,,,0.7000,0.7000,hold
23,3019, step,0.02872692,,,,0.7000,0.7000,hold
24,553, by,0.40657535,,,,0.7000,0.7000,hold
25,3019, step,0.00000869,,,,0.7000,0.7000,hold
26,382,".

",0.12770846,,,,0.7000,0.7000,hold
27,14374,###,0.73126149,,,,0.7000,0.7000,hold
28,14822, Step,0.00980095,,,,0.7000,0.7000,hold
29,220, ,0.00369100,,,,0.7000,0.7000,hold
30,16,1,0.00001550,,,,0.7000,0.7000,hold
31,25,:,0.00004218,379.90335898,,,0.7000,0.7000,hold
32,62197, Assume,0.22668687,377.34614477,,,0.7000,0.7000,hold
33,279, the,0.29233447,369.90971374,,,0.7000,0.7000,hold
34,9334, square,0.88694465,373.72038470,,,0.7000,0.7000,hold
35,3704, root,0.00002768,336.30757657,,,0.7000,0.7000,hold
36,315, of,0.00004479,339.43663739,,,0.7000,0.7000,hold
37,220, ,0.00012414,352.23782908,,,0.7000,0.7000,hold
38,17,2,0.00000429,356.86969494,360.71643066,15.94368744,0.7000,0.7000,hold
39,374, is,0.00010135,382.55204709,363.14257812,16.52414513,0.7000,1.0000,up
40,24438, rational,0.06233776,324.42861411,359.27117920,19.50979424,1.0000,0.4000,down
41,198,"
",0.45444673,354.84469794,358.86877441,18.64533424,0.4000,0.4000,hold
42,5615,Ass,1.40156960,398.01790132,362.13122559,20.87475777,0.4000,1.0000,up
43,3885,ume,0.00091584,371.40648670,362.84469604,20.20753860,1.0000,1.0000,hold
44,429, that,0.57364869,369.32936561,363.30789185,19.54395676,1.0000,1.0000,hold
45,1124, \,1.03195524,378.90026236,364.34735107,19.27769279,1.0000,1.0000,hold
46,11520,(\,0.00041029,397.01848541,366.38934326,20.27179337,1.0000,1.0000,up
47,26888,sqrt,0.00045625,397.13994168,368.19818115,20.95528603,1.0000,1.0000,up
48,90,{,0.00012017,402.47440715,370.10244751,21.82594872,1.0000,1.0000,up
49,17,2,0.00002495,427.84584824,373.14157104,24.85061836,1.0000,1.0000,up
50,11035,}\,0.17902519,441.73538676,376.57125854,28.46345901,1.0000,1.0000,up
51,8,),0.00015897,412.76480885,378.29476929,28.82703972,1.0000,1.0000,up
52,374, is,0.04327257,427.73375249,380.54199219,29.98793602,1.0000,1.0000,up
53,24438, rational,0.36503744,409.92496594,381.81954956,29.93464088,1.0000,1.0000,hold
54,13,.,0.00746207,395.93667475,382.40771484,29.43983459,1.0000,1.0000,hold
55,3216, By,0.76251471,380.18046116,382.31863403,28.84833145,1.0000,1.0000,hold
56,7271, definition,0.11618365,390.97017250,382.65139771,28.33699989,1.0000,1.0000,hold
57,11,",",0.40738377,379.74358012,382.54367065,27.81271172,1.0000,1.0000,hold
58,264, a,0.67321354,352.56875809,381.47317505,27.87226868,1.0000,0.4000,down
59,24438, rational,0.04570905,376.37595344,381.29739380,27.40328407,0.4000,0.4000,hold
60,1372, number,0.00000420,390.83027648,381.61514282,26.99697876,0.4000,0.4000,hold
61,646, can,0.00057308,393.38244180,381.99475098,26.63923264,0.4000,0.4000,hold
62,387, be,0.00000420,392.73111698,382.33023071,26.28615189,0.4000,0.4000,hold
63,13302, expressed,0.00002948,394.31705413,382.69345093,25.96623993,0.4000,0.4000,hold
64,438, as,0.00235382,397.17705238,383.11944580,25.69831276,0.4000,0.4000,hold
65,264, a,0.59428722,394.46036324,383.44348145,25.39890480,0.4000,0.4000,hold
66,19419, fraction,0.01106287,430.97843953,384.76388550,26.23370361,0.4000,1.0000,up
67,1124, \,0.83855450,378.67355566,384.59930420,25.89560509,1.0000,1.0000,hold
68,11520,(\,0.00005422,371.11336163,384.24438477,25.64362717,1.0000,1.0000,hold
69,37018,frac,0.00037262,369.66976924,383.87066650,25.41734123,1.0000,1.0000,hold
70,90,{,0.00165143,366.59981683,383.43890381,25.24204445,1.0000,1.0000,hold
71,64,a,0.70154959,376.91026911,383.27966309,24.95264626,1.0000,1.0000,hold
72,15170,}{,0.00003038,317.89103555,381.72280884,26.59300613,1.0000,0.4000,down
73,65,b,0.00000420,349.03884907,380.96270752,26.73961067,0.4000,0.4000,down
74,11035,}\,0.00000420,369.51389041,380.70251465,26.48901558,0.4000,0.4000,hold
75,701,"),",0.47855037,355.86139195,380.15048218,26.44775009,0.4000,0.4000,hold
76,1380, where,0.00000420,353.34852919,379.56784058,26.44908524,0.4000,0.4000,hold
77,17767, \(,0.00000513,383.42345246,379.64990234,26.17211342,0.4000,0.4000,hold
78,64,a,0.00000420,368.09053626,379.40905762,25.95062256,0.4000,0.4000,hold
79,57758,\),0.00000420,382.95701470,379.48147583,25.68935394,0.4000,0.4000,hold
80,323, and,0.00000420,398.68515312,379.86553955,25.57287979,0.4000,0.4000,hold
81,17767, \(,0.00000420,415.15360705,380.55743408,25.78928185,0.4000,1.0000,up
82,65,b,0.00005106,386.69748798,380.67550659,25.55401993,1.0000,1.0000,hold
83,57758,\),0.00014531,396.90701113,380.98178101,25.40795517,1.0000,1.0000,hold
84,525, are,0.00031756,416.71828539,381.64358521,25.62852478,1.0000,1.0000,up
