step,token_id,token_text,entropy,fisher_trace,fisher_mean,fisher_std,temp_before,temp_after,action
0,2014, To,0.62613636,,,,0.7000,0.7000,hold
1,12118, prove,0.03855378,,,,0.7000,0.7000,hold
2,429, that,0.00025365,,,,0.7000,0.7000,hold
3,1124, \,0.17144787,,,,0.7000,0.7000,hold
4,11520,(\,0.00000834,,,,0.7000,0.7000,hold
5,26888,sqrt,0.00000564,,,,0.7000,0.7000,hold
6,90,{,0.00001781,,,,0.7000,0.7000,hold
7,17,2,0.00000429,,,,0.7000,0.7000,hold
8,11035,}\,0.00000632,,,,0.7000,0.7000,hold
9,8,),0.00000471,,,,0.7000,0.7000,hold
10,374, is,0.00000494,,,,0.7000,0.7000,hold
11,60654, irrational,0.00007801,,,,0.7000,0.7000,hold
12,11,",",0.00156825,,,,0.7000,0.7000,hold
13,582, we,0.00046387,,,,0.7000,0.7000,hold
14,1184, need,0.43447882,,,,0.7000,0.7000,hold
15,311, to,0.00024663,,,,0.7000,0.7000,hold
16,1473, show,0.10909528,,,,0.7000,0.7000,hold
17,429, that,0.00005711,,,,0.7000,0.7000,hold
18,1052, there,0.57596022,,,,0.7000,0.7000,hold
19,374, is,0.26389527,,,,0.7000,0.7000,hold
20,902, no,0.00072275,,,,0.7000,0.7000,hold
21,7546, integer,0.55594271,,,,0.7000,0.7000,hold
22,17767, \(,0.01772546,,,,0.7000,0.7000,hold
23,64,a,0.52719122,,,,0.7000,0.7000,hold
24,57758,\),0.00139177,,,,0.7000,0.7000,hold
25,323, and,0.14354652,,,,0.7000,0.7000,hold
26,902, no,1.09586453,,,,0.7000,0.7000,hold
27,7546, integer,0.76306474,,,,0.7000,0.7000,hold
28,17767, \(,0.00001385,,,,0.7000,0.7000,hold
29,65,b,0.00009301,,,,0.7000,0.7000,hold
30,57758,\),0.68545789,,,,0.7000,0.7000,hold
31,320, (,0.14366612,410.38060215,,,0.7000,0.7000,hold
32,2870,where,0.48665306,364.52366117,,,0.7000,0.7000,hold
33,17767, \(,0.00002313,399.41349036,,,0.7000,0.7000,hold
34,65,b,0.00027763,395.10722683,,,0.7000,0.7000,hold
35,1124, \,0.00338318,405.89855764,,,0.7000,0.7000,hold
36,811,ne,0.00002544,392.56649051,,,0.7000,0.7000,hold
37,80,q,0.00009385,411.31771236,,,0.7000,0.7000,hold
38,220, ,0.00001712,403.23817416,397.80572510,14.05667019,0.7000,0.7000,hold
39,15,0,0.00016375,396.31772780,397.64035034,13.26100349,0.7000,0.7000,hold
40,59,\,0.00062051,394.16886526,397.29321289,12.62352753,0.7000,0.7000,hold
41,593,)),0.00006918,390.19120136,396.64758301,12.20800114,0.7000,0.7000,hold
42,1741, such,0.00065803,394.04970209,396.43112183,11.71030521,0.7000,0.7000,hold
43,429, that,0.00000424,384.39663905,395.50540161,11.69899082,0.7000,0.7000,hold
44,1124, \,0.91358441,372.57979721,393.86785889,12.72596836,0.7000,0.4000,down
45,11520,(\,0.00000427,355.76813809,391.32785034,15.53945446,0.4000,0.4000,down
46,26888,sqrt,0.00963997,357.29549014,389.20086670,17.15359688,0.4000,0.4000,down
47,90,{,0.00000420,349.67557426,386.87582397,19.06380081,0.4000,0.4000,down
