row_index,file,q_label,topology,n_points
0,creative_p0_seed42_none,creative,none,32
1,creative_p0_seed42_none,creative,none,48
2,creative_p0_seed42_none,creative,none,64
3,creative_p0_seed42_none,creative,none,80
4,creative_p0_seed42_none,creative,none,96
5,creative_p0_seed42_none,creative,none,112
6,creative_p0_seed42_none,creative,none,128
7,creative_p0_seed42_none,creative,none,160
8,creative_p0_seed42_none,creative,none,192
9,creative_p0_seed42_none,creative,none,224
10,creative_p0_seed42_none,creative,none,256
11,creative_p0_seed42_none,creative,none,320
12,creative_p0_seed42_none,creative,none,384
13,creative_p0_seed42_none,creative,none,448
14,creative_p0_seed42_none,creative,none,512
15,creative_p0_seed42_none,creative,none,768
16,creative_p0_seed42_none,creative,none,1024
17,creative_p0_seed42_none,creative,none,1280
18,creative_p0_seed42_none,creative,none,1536
19,creative_p0_seed42_none,creative,none,1792
20,creative_p0_seed42_none,creative,none,2048
21,creative_p0_seed42_none,creative,none,2304
22,creative_p0_seed42_none,creative,none,2560
23,creative_p0_seed42_none,creative,none,2816
24,creative_p0_seed42_none,creative,none,3072
25,creative_p0_seed42_none,creative,none,3328
26,creative_p0_seed42_none,creative,none,3584
27,creative_p0_seed42_none,creative,none,3840
28,creative_p0_seed42_none,creative,none,4096
29,creative_p0_seed42_none,creative,none,4352
30,creative_p0_seed42_none,creative,none,4608
31,creative_p0_seed42_none,creative,none,4864
32,creative_p0_seed42_none,creative,none,5120
33,creative_p0_seed42_none,creative,none,5376
34,creative_p0_seed42_none,creative,none,5632
35,creative_p0_seed42_none,creative,none,5888
36,creative_p0_seed42_none,creative,none,6144
37,creative_p0_seed42_none,creative,none,6400
38,creative_p0_seed42_none,creative,none,6656
39,creative_p0_seed42_none,creative,none,6912
40,creative_p0_seed42_none,creative,none,7168
41,creative_p0_seed42_none,creative,none,7424
42,creative_p0_seed42_none,creative,none,7680
43,creative_p0_seed42_none,creative,none,7936
44,creative_p0_seed42_none,creative,none,8192
45,creative_p0_seed42_none,creative,none,8448
46,creative_p0_seed42_none,creative,none,8704
47,creative_p0_seed42_none,creative,none,8960
48,creative_p0_seed42_none,creative,none,9216
49,creative_p0_seed42_none,creative,none,9472
50,creative_p0_seed42_none,creative,none,9728
51,creative_p0_seed42_none,creative,none,9984
52,creative_p0_seed42_none,creative,none,10000
53,creative_p0_seed7_none,creative,none,32
54,creative_p0_seed7_none,creative,none,48
55,creative_p0_seed7_none,creative,none,64
56,creative_p0_seed7_none,creative,none,80
57,creative_p0_seed7_none,creative,none,96
58,creative_p0_seed7_none,creative,none,112
59,creative_p0_seed7_none,creative,none,128
60,creative_p0_seed7_none,creative,none,160
61,creative_p0_seed7_none,creative,none,192
62,creative_p0_seed7_none,creative,none,224
63,creative_p0_seed7_none,creative,none,256
64,creative_p0_seed7_none,creative,none,320
65,creative_p0_seed7_none,creative,none,384
66,creative_p0_seed7_none,creative,none,448
67,creative_p0_seed7_none,creative,none,512
68,creative_p0_seed7_none,creative,none,768
69,creative_p0_seed7_none,creative,none,1024
70,creative_p0_seed7_none,creative,none,1280
71,creative_p0_seed7_none,creative,none,1536
72,creative_p0_seed7_none,creative,none,1792
73,creative_p0_seed7_none,creative,none,2048
74,creative_p0_seed7_none,creative,none,2304
75,creative_p0_seed7_none,creative,none,2560
76,creative_p0_seed7_none,creative,none,2816
77,creative_p0_seed7_none,creative,none,3072
78,creative_p0_seed7_none,creative,none,3328
