row_index,file,q_label,topology,n_points
0,creative_p0_seed42_none,creative,none,32
1,creative_p0_seed42_none,creative,none,40
2,creative_p0_seed42_none,creative,none,10000
3,creative_p0_seed7_none,creative,none,32
4,creative_p0_seed7_none,creative,none,40
5,creative_p0_seed7_none,creative,none,10000
6,creative_p0_seed99_none,creative,none,32
7,creative_p0_seed99_none,creative,none,40
8,creative_p0_seed99_none,creative,none,10000
9,factual_p0_seed42_none,factual,none,32
10,factual_p0_seed42_none,factual,none,40
11,factual_p0_seed42_none,factual,none,10000
12,factual_p0_seed7_none,factual,none,32
13,factual_p0_seed7_none,factual,none,40
14,factual_p0_seed7_none,factual,none,10000
15,factual_p0_seed99_none,factual,none,32
16,factual_p0_seed99_none,factual,none,40
17,factual_p0_seed99_none,factual,none,10000
18,mathematical_p0_seed42_none,mathematical,none,32
19,mathematical_p0_seed42_none,mathematical,none,40
20,mathematical_p0_seed42_none,mathematical,none,10000
21,mathematical_p0_seed7_none,mathematical,none,32
22,mathematical_p0_seed7_none,mathematical,none,40
23,mathematical_p0_seed7_none,mathematical,none,10000
24,mathematical_p0_seed99_none,mathematical,none,32
25,mathematical_p0_seed99_none,mathematical,none,40
26,mathematical_p0_seed99_none,mathematical,none,10000
27,philosophical_p0_seed42_none,philosophical,none,32
28,philosophical_p0_seed42_none,philosophical,none,40
29,philosophical_p0_seed42_none,philosophical,none,10000
30,philosophical_p0_seed7_none,philosophical,none,32
31,philosophical_p0_seed7_none,philosophical,none,40
32,philosophical_p0_seed7_none,philosophical,none,10000
33,philosophical_p0_seed99_none,philosophical,none,32
34,philosophical_p0_seed99_none,philosophical,none,40
35,philosophical_p0_seed99_none,philosophical,none,10000
