step,entropy
0,0.00129881
1,0.01137343
2,0.00528896
3,0.00482675
4,0.00079973
5,0.00109556
6,0.00101464
7,0.02250722
8,0.01536546
9,0.00245548
10,0.00422513
11,0.00105465
12,0.21417183
13,0.00176983
14,0.00229891
15,0.00393046
16,0.00109301
17,0.00143473
18,0.00126997
19,0.01188103
20,0.00104027
21,0.00121501
22,0.00111460
23,0.00117122
24,0.00474548
25,0.00053382
26,0.00143001
27,0.01465104
28,0.01202068
29,0.00197252
30,0.00199205
31,0.00289182
32,0.00214614
33,0.00265972
34,0.00076465
35,0.00173034
36,0.02237671
37,0.00143215
38,0.00107702
39,0.00172367
40,0.00191599
41,0.36293831
42,0.00161502
43,0.00101567
44,0.00373377
45,0.00183726
46,0.00145618
47,0.00294442
48,0.00120393
49,0.00291761
50,0.00390608
51,0.00144729
52,0.00172338
53,0.00241620
54,0.00236463
55,0.00072769
56,0.00180414
57,0.01250535
58,0.00362536
59,0.00455284
60,0.00109775
61,0.00279883
62,0.00119893
63,0.01128953
64,0.00509094
65,0.00137997
66,0.00228291
67,0.00078553
68,0.01257644
69,0.00248196
70,0.00160955
71,0.01170763
72,0.00060052
73,0.00357713
74,0.00144301
75,0.01149711
76,0.00106353
77,0.00192431
78,0.00212348
79,0.00085595
80,0.00167172
81,0.00210018
82,0.00100863
83,0.01168356
84,0.00192523
85,0.00378862
86,0.02009845
87,0.01208855
88,0.00374126
89,0.00290758
90,0.00205473
91,0.00142020
92,0.00139481
93,0.00122068
94,0.01161551
95,0.00261695
96,0.00496713
97,0.00154316
98,0.00106662
99,0.01804842
100,0.00155965
101,0.00172724
102,0.01207533
103,0.00413464
104,0.00119978
105,0.00310557
106,0.57681583
107,0.00482367
108,0.00220907
109,0.00096630
110,0.00169323
111,0.00109334
112,0.01526104
113,0.00123364
114,0.00162744
115,0.00151873
116,0.00076345
117,0.00114914
118,0.00113872
119,0.00373932
120,1.11670311
121,0.00100564
122,0.00254880
123,0.00208142
124,1.57722205
125,0.00150049
126,0.00264282
127,0.00105853
128,0.00117126
129,0.00174238
130,0.00214585
131,0.00147163
132,0.00230602
133,0.00184048
134,1.05620882
135,1.65654783
136,0.00148168
137,0.00154212
138,0.00315078
139,0.00276774
140,0.00181650
141,0.00133144
142,0.04829425
143,0.00258442
144,0.00185060
145,0.00216090
146,0.01113888
147,0.00163377
148,0.00206509
149,0.01255604
150,0.00480722
151,0.00115573
152,0.00226461
153,0.00153711
154,0.00225124
155,0.01281130
156,0.02198168
157,0.00167128
158,0.00369275
159,0.02033645
160,0.00121512
161,0.00118983
162,0.00114789
163,0.00122891
164,0.00394595
165,0.00216225
166,0.00116333
167,0.00185423
168,0.00128167
169,0.00451350
170,0.00383531
171,0.00205303
172,0.06466890
173,0.00221976
174,0.00205211
175,0.00103775
176,0.00071399
177,0.00055618
178,0.00200512
179,0.01149660
180,0.00414099
