step,entropy,in_repeat_run
0,2.22322336,0
1,2.21582975,0
2,0.00875808,0
3,1.49333575,0
4,1.59282846,0
5,1.62725907,0
6,1.94820756,0
7,2.26841541,0
8,1.70682170,0
9,2.17294465,0
10,2.32668951,0
11,2.17291436,0
12,1.38566034,0
13,1.57215656,0
14,1.49468107,0
15,1.58902310,0
16,2.23330380,0
17,1.48484979,0
18,0.18763765,0
19,2.41981953,0
20,0.00260197,0
21,0.73212413,0
22,1.19415272,0
23,0.24334928,0
24,1.43021043,0
25,1.52477301,0
26,1.02274914,0
27,1.10909308,0
28,2.23890097,0
29,2.13658667,0
30,0.00001919,0
31,1.27517515,0
32,0.92766697,0
33,2.26259096,0
34,1.24080398,0
35,1.87138010,0
36,0.00665350,0
37,1.67582450,0
38,2.18069625,0
39,1.44726577,0
40,0.00123713,0
41,0.65471023,0
42,2.26602166,0
43,0.37663765,0
44,0.14231587,0
45,0.75647465,0
46,0.68541660,0
47,1.40457537,0
48,0.35352957,0
49,1.31730779,0
50,0.46646834,0
51,2.23458015,0
52,2.04360153,0
53,0.64911866,0
54,0.36411806,0
55,2.08410377,0
56,1.18214702,0
57,2.15258656,0
58,2.29353138,0
59,0.36259500,0
60,0.34364003,0
61,0.71925660,0
62,1.96715931,0
63,0.00056506,0
64,2.00586107,0
65,0.38719410,0
66,1.96703750,0
67,0.01166980,0
68,0.39577418,0
69,0.90034432,0
70,0.18715857,0
71,0.09610530,0
72,2.48141473,0
73,0.04947684,0
74,1.54434149,0
75,1.98899010,0
76,1.17016831,0
77,0.74497726,0
78,0.01075580,0
79,1.72192284,0
80,0.57736545,0
81,1.13719495,0
82,1.27486476,0
83,2.27222766,0
84,1.62326027,0
85,0.90673700,0
86,0.47758378,0
87,1.09031714,0
88,0.06645094,0
89,0.98903269,0
90,0.89965168,0
91,0.03087653,0
92,1.48413953,0
93,0.09513716,0
94,0.10779877,0
95,1.58877551,0
96,0.28122178,0
97,2.22766426,0
98,0.00271279,0
99,0.76621293,0
100,1.75688410,0
101,1.70628664,0
102,0.57842329,0
103,1.12207899,0
104,0.54620148,0
105,0.07264664,0
106,2.00175094,0
107,2.00078594,0
108,0.19192900,0
109,0.00034415,0
110,1.61816532,0
111,0.10428884,0
112,1.96361905,0
113,0.00071029,0
114,0.44813242,0
115,1.51917801,0
116,0.98988253,0
117,0.00556403,0
118,0.01622495,0
119,0.34058183,0
120,0.19446033,0
