step,entropy
0,1.63158854
1,2.30393004
2,2.02843774
3,1.42336448
4,0.89693498
5,0.42333827
6,1.46682881
7,0.15859131
8,0.13284606
9,1.59367761
10,0.40764468
11,2.10552915
12,1.66194161
13,1.30140760
14,2.32315497
15,0.32711096
16,0.76921700
17,1.26003220
18,2.39539794
19,0.19539344
20,1.49364248
21,2.28169187
22,0.35937708
23,1.74712372
24,1.71385261
25,0.89413346
26,1.32904884
27,2.32085519
28,1.16124758
29,1.13242980
30,1.40009900
31,0.07937725
32,2.00879222
33,0.12724477
34,2.42873840
35,2.40850376
36,2.03104823
37,2.22188441
38,1.52743893
39,0.75858443
40,1.49824924
41,1.68445586
42,0.35148328
43,1.92249293
44,0.75385492
45,1.27184855
46,0.66147330
47,0.70027045
48,2.17503816
49,1.91117252
50,0.15538096
51,1.91343914
52,2.29526238
53,1.74671868
54,1.71787718
55,0.65529207
56,1.73449622
57,0.94060388
58,2.28997260
59,1.74809943
60,0.80079355
61,2.19267550
62,1.92085617
63,0.49893520
64,0.53294587
65,0.03219714
66,1.91066096
67,0.21332463
68,0.68339170
69,1.82724622
70,0.75858247
71,0.70931075
72,0.16450080
73,0.12498789
74,1.41888723
75,0.34379978
76,2.39155906
77,0.06428802
78,0.78378350
79,0.45632886
80,2.23119953
81,1.86291782
82,0.27652946
83,0.13801471
84,0.20618261
85,1.83519439
86,1.85430208
87,1.57007616
88,1.21370288
89,1.14894253
90,1.47780204
91,0.26925314
92,1.97152780
93,1.92944331
94,1.68936130
95,0.58456686
96,0.53276671
97,2.43233194
98,2.35385496
99,1.85623804
100,1.94854050
101,1.13675407
102,2.17633693
103,1.71334847
104,1.08629874
105,1.69090815
106,0.19764133
107,0.97911300
108,2.09379958
109,1.19065537
110,1.38036787
111,1.39128417
112,2.34002321
113,0.49839920
114,1.69097465
115,1.11456316
116,0.58424315
117,0.12022210
118,1.51454264
119,0.45563090
120,1.44538161
121,1.06683721
122,1.00637338
123,2.20346459
124,0.22323623
125,1.39261677
126,1.02851225
127,0.37567245
128,0.98081134
129,2.15087804
130,0.49149407
131,1.68651705
132,0.66607320
133,1.28857081
134,1.36726432
135,0.17746271
136,2.00513192
137,0.93931897
138,0.52054073
139,0.51552595
140,2.44464099
141,2.34016748
142,1.16424588
143,0.67181137
144,1.75713913
145,0.13114084
146,2.13148667
147,0.01411493
148,0.12261626
149,0.82927148
150,1.13187892
151,0.01302434
152,0.70875183
153,2.44113881
154,1.92016475
155,0.14532274
156,2.17550986
157,1.15573531
158,2.45493453
159,0.79662460
160,0.76807635
161,1.68520971
162,1.21112543
163,0.68591063
164,1.30176937
165,1.58098272
166,0.77538048
167,2.04537354
168,1.85801641
169,1.86881315
170,1.63828800
171,0.57107043
172,1.75172933
173,0.43343985
174,0.35218224
175,1.25007112
176,0.42777320
177,0.31625263
178,1.46945306
179,2.42060059
180,0.13783835
181,1.10236865
182,0.22415671
183,1.33686617
184,1.42591394
185,1.21727160
186,0.09700533
187,1.73900135
188,1.26027535
189,1.42256868
190,1.65797054
191,2.24823694
192,1.07833598
193,2.26546398
194,0.43620431
195,1.12597239
196,0.43895420
197,0.92397876
198,2.24189684
199,2.41965394
200,1.17232092
201,0.68630384
202,0.80079014
203,2.23738323
204,1.08817304
205,0.49250450
206,2.07196760
207,1.26552578
208,1.06007051
209,2.24153933
210,1.85149578
211,0.03531839
212,2.39834355
213,1.12811293
214,0.44645691
215,2.25860862
216,1.04110447
217,1.69883179
218,1.86304869
219,0.48292434
220,2.44052259
221,1.39668559
222,0.14140418
223,1.33185417
224,0.04566131
225,2.42992603
226,1.65273836
227,0.94136702
228,1.98307190
229,1.97040328
230,1.73816755
231,0.58361986
232,0.23120323
233,2.12443631
234,2.20441876
235,0.85738005
236,0.95915633
237,1.00046679
238,0.68668936
239,2.32839380
240,1.31906828
241,1.76038012
242,1.50186004
243,0.22233183
244,0.17914741
245,0.36627617
246,1.23300949
247,1.55792217
248,2.47095755
249,2.23498194
250,1.83383508
251,0.95146160
252,0.85519435
253,1.73000436
254,0.85788446
255,1.89970917
256,1.80778486
257,0.29764344
258,1.99480576
259,0.23173271
260,0.78838282
261,2.41955969
262,1.61604641
