step,entropy,in_repeat_run
0,2.12582511,0
1,0.00592334,0
2,0.98834218,0
3,1.23682915,0
4,0.00000670,0
5,0.01094237,0
6,2.21367363,0
7,0.01260619,0
8,1.75970281,0
9,0.07924374,0
10,0.01287934,0
11,0.55130756,0
12,0.00110017,0
13,0.02024022,0
14,0.90358982,0
15,0.04397063,0
16,1.98909833,0
17,0.00046620,0
18,0.02403950,0
19,2.33451201,0
20,0.00004938,0
21,0.01272323,0
22,2.35338060,0
23,0.00426509,0
24,0.02296251,0
25,2.56981992,0
26,0.00007098,0
27,0.19156708,0
28,1.90134115,0
29,0.47315731,0
30,0.00094034,0
31,0.07032989,0
32,2.29937634,0
33,0.14451790,0
34,0.10026823,0
35,1.99541545,0
36,0.24706870,0
37,0.00036165,0
38,0.27359373,0
39,2.36350384,0
40,0.00381097,0
41,0.00050933,0
42,0.32685247,0
43,2.34369506,0
44,0.33249022,0
45,0.00231561,0
46,0.24218795,0
47,2.35466764,0
48,0.00479788,0
49,0.46906069,0
50,1.57863422,0
51,0.17236222,0
52,0.00000970,0
53,0.11013926,0
54,2.37721507,0
55,0.00024072,0
56,0.37771515,0
57,2.34911538,0
58,0.12139484,0
59,0.23506672,0
60,2.46443301,0
61,0.00026860,0
62,0.79424277,0
63,2.44695839,0
64,0.00002974,0
65,0.52113762,0
66,2.45471359,0
67,0.01662835,0
68,0.00134918,0
69,0.00160092,0
70,1.64094260,0
71,0.82104196,0
72,0.75387872,0
73,0.11760980,0
74,1.15340209,0
75,1.73578583,0
76,0.00588075,0
77,0.93958792,0
78,0.58941347,0
79,1.00237646,0
80,0.14621267,0
81,0.58643246,0
82,0.01602374,0
83,0.17035509,0
84,0.46666625,0
85,0.30436594,0
86,1.08343391,0
87,0.33593664,0
88,1.96553020,0
89,0.18825178,0
90,0.79059731,0
91,0.14621914,0
92,0.10722923,0
93,1.41814842,0
94,0.14462986,0
95,0.81041935,0
96,0.28314160,0
97,0.01233140,0
98,0.28140501,0
99,0.00157081,0
100,0.11136599,0
101,0.00482537,0
102,1.42811650,0
103,0.84054880,0
104,0.41763617,0
105,1.02887160,0
106,0.93587236,0
107,0.70003550,0
108,0.52100865,0
109,0.08792258,0
110,0.22840162,0
111,0.33937608,0
112,1.13835267,0
113,0.07672084,0
114,0.27038103,0
115,0.00186259,0
116,0.13007063,0
117,0.83426800,0
118,0.15412798,0
119,0.39110927,0
120,0.60949657,0
121,1.54409109,0
122,0.19952989,0
123,0.49842524,0
124,0.00131841,0
125,0.71996565,0
126,0.22490985,0
127,0.00375993,0
128,0.57830654,0
129,0.00044501,0
130,0.24284057,0
131,0.00203592,0
132,0.91924531,0
133,0.02628093,0
134,0.73206015,0
135,0.23113809,0
136,0.00298849,0
137,0.39987585,0
138,0.00055668,0
139,0.04207164,0
140,0.00182339,0
141,0.83720836,0
142,0.02167129,0
143,0.04725722,0
144,0.51782374,0
145,0.68574465,0
146,0.20725610,0
147,0.01310125,0
148,0.33436593,0
149,0.08309173,0
150,0.16414609,0
151,0.00017367,0
152,0.00213211,0
153,0.56165779,0
154,0.00010416,0
155,0.00050458,0
156,0.70205036,0
157,1.14633821,0
158,0.99509081,0
159,0.00035566,0
160,1.06690370,0
161,0.28083323,0
162,0.49045172,0
163,0.77267669,0
164,0.27904390,0
165,0.04431568,0
166,0.13711468,0
167,1.02491778,0
168,0.01906802,0
169,0.30937559,0
170,0.00080439,0
171,0.03548593,0
172,1.04475459,0
173,0.16597938,0
174,0.27071390,0
175,0.13231241,0
176,0.39722058,0
