step,entropy
0,1.66733166
1,2.35440566
2,2.07287671
3,1.45454494
4,0.91658019
5,0.43260592
6,1.49896167
7,0.16205777
8,0.13574838
9,1.62859001
10,0.41656845
11,2.15165737
12,1.69834984
13,1.32991571
14,2.37405185
15,0.33427005
16,0.78606364
17,1.28763369
18,2.44787783
19,0.19966631
20,1.52636289
21,2.33168020
22,0.36724320
23,1.78539848
24,1.75139832
25,0.91371729
26,1.35816263
27,2.37170168
28,1.18668448
29,1.15723523
30,1.43076967
31,0.08110795
32,2.05280071
33,0.13002436
34,2.48194886
35,2.46127083
36,2.07554441
37,2.27056223
38,1.56089990
39,0.77519808
40,1.53107059
41,1.72135742
42,0.35917643
43,1.96461042
44,0.77036494
45,1.29970896
46,0.67595902
47,0.71560631
48,2.22268947
49,1.95304194
50,0.15877707
51,1.95535824
52,2.34554807
53,1.78498456
54,1.75551108
55,0.66964235
56,1.77249428
57,0.96120598
58,2.34014238
59,1.78639556
60,0.81833210
61,2.24071329
62,1.96293779
63,0.50985935
64,0.54461527
65,0.03289402
66,1.95251918
67,0.21799042
68,0.69835771
69,1.86727664
70,0.77519608
71,0.72484471
72,0.16809675
73,0.12771802
74,1.44996959
75,0.35132457
76,2.44395483
77,0.06568808
78,0.80094931
79,0.46631941
80,2.28008146
81,1.90372988
82,0.28258020
83,0.14103029
84,0.21069190
85,1.87539897
86,1.89492535
87,1.60447141
88,1.24028919
89,1.17410980
90,1.51017535
91,0.27514444
92,2.01471975
93,1.97171309
94,1.72637035
95,0.59736739
96,0.54443219
97,2.48562114
98,2.40542455
99,1.89690373
100,1.99122874
101,1.16165426
102,2.22401671
103,1.75088313
104,1.11009334
105,1.72795110
106,0.20196346
107,1.00055893
108,2.13967077
109,1.21673666
110,1.41060619
111,1.42176169
112,2.39128971
113,0.50931160
114,1.72801905
115,1.13897710
116,0.59703659
117,0.12284781
118,1.54772103
119,0.46560616
120,1.47704452
121,1.09020537
122,1.02841664
123,2.25173879
124,0.22811920
125,1.42312349
126,1.05104062
127,0.38389564
128,1.00229448
129,2.19799995
130,0.50225517
131,1.72346378
132,0.68065972
133,1.31679765
134,1.39721550
135,0.18134268
136,2.04906021
137,0.95989292
138,0.53193830
139,0.52681364
140,2.49819991
141,2.39143715
142,1.18974848
143,0.68652362
144,1.79563334
145,0.13400580
146,2.17818367
147,0.01441558
148,0.12529443
149,0.84743403
150,1.15667228
151,0.01330110
152,0.72427353
153,2.49462098
154,1.96223122
155,0.14849845
156,2.22317152
157,1.18105142
158,2.50871900
159,0.81407180
160,0.78489799
161,1.72212778
162,1.23765527
163,0.70093183
164,1.33028541
165,1.61561695
166,0.79236217
167,2.09018361
168,1.89872106
169,1.90975439
170,1.67417791
171,0.58357523
172,1.79010500
173,0.44292885
174,0.35989071
175,1.27745434
176,0.43713803
177,0.32317380
178,1.50164343
179,2.47363272
180,0.14085007
181,1.12651538
182,0.22905985
183,1.36615126
184,1.45715026
185,1.24393611
186,0.09912230
187,1.77709812
188,1.28788217
189,1.45373170
190,1.69429175
191,2.29749220
192,1.10195610
193,2.31509673
194,0.44575388
195,1.15063633
196,0.44856404
197,0.94421657
198,2.29101318
199,2.47266533
200,1.19800046
201,0.70133365
202,0.81832860
203,2.28640066
204,1.11200871
205,0.50328774
206,2.11736040
207,1.29324765
208,1.08329039
209,2.29064784
210,1.89205756
211,0.03608366
212,2.45088799
213,1.15282377
214,0.45623114
215,2.30809115
216,1.06390876
217,1.73604836
218,1.90386362
219,0.49349766
220,2.49399127
221,1.42728146
222,0.14449403
223,1.36102944
224,0.04665322
225,2.48316251
226,1.68894491
227,0.96198585
228,2.02651680
229,2.01357059
230,1.77624605
231,0.59639964
232,0.23626077
233,2.17097882
234,2.25271387
235,0.87615853
236,0.98016496
237,1.02238063
238,0.70172762
239,2.37940548
240,1.34796339
241,1.79894535
242,1.53476051
243,0.22719498
244,0.18306430
245,0.37429347
246,1.26001885
247,1.59205109
248,2.52509312
249,2.28394676
250,1.87400988
251,0.97230162
252,0.87392493
253,1.76790399
254,0.87667399
255,1.94132741
256,1.84738883
257,0.30415684
258,2.03850778
259,0.23680186
260,0.80564942
261,2.47256902
262,1.65144896
263,2.17178115
264,2.35005640
265,0.67113546
266,2.01768310
267,0.94409926
268,0.16438379
269,0.27084330
270,0.32012680
271,1.60112155
272,1.62708578
273,2.14906282
274,0.74826525
275,1.93369648
276,0.67646102
277,0.79534402
278,1.66301605
279,0.99534415
280,2.53077099
281,0.80270496
282,0.60207560
283,2.22943098
284,2.21399625
285,0.41313364
286,0.85599782
287,1.29356544
288,0.16805616
289,0.94028379
290,1.95311834
291,1.94846354
292,0.37725211
293,0.76958463
294,0.68060203
295,1.73606956
296,0.33443631
297,2.50017492
298,0.29417591
299,1.34075681
300,1.78350828
301,2.40457360
302,1.55733658
303,2.16929222
304,1.34637719
305,0.56020594
306,1.06748912
307,1.53915677
308,1.34644355
309,1.98439996
310,1.36813246
311,0.97216063
312,1.30640338
313,1.31757842
314,0.02530591
315,0.83231813
316,1.45284988
317,1.80665871
318,1.08413682
319,1.89223761
320,1.27638488
321,0.93704809
322,0.61470227
323,2.02258419
324,2.33803755
325,1.84944749
326,0.55914669
327,1.79008375
328,1.28074962
329,2.34498982
330,0.01527339
331,1.96012333
332,1.18259879
333,2.16983811
334,1.53624885
335,0.01928160
336,1.75409089
337,1.35216030
338,0.60670597
339,0.30912498
340,1.00993811
341,1.42232593
342,1.21292578
343,0.04321591
344,0.37504570
345,1.72635899
346,1.38387615
347,1.88364541
348,1.05119173
349,0.65145265
350,2.02396263
351,0.55319707
352,0.15360284
353,0.93464800
354,1.14433616
355,0.53027856
356,2.42318122
357,0.58688167
358,0.30928078
359,1.67752514
360,0.36295940
361,0.70979401
362,1.04921510
363,0.69465523
364,1.65785073
365,0.35512108
366,1.63347777
367,0.29371458
368,1.47098739
369,2.48194549
370,1.99547749
371,2.39969004
372,1.38462761
373,0.40199690
374,0.93880050
375,1.96863359
376,0.33462254
377,1.68406178
378,0.81768000
379,2.32677313
380,0.88873382
381,0.81782729
382,0.69030685
383,1.36901071
384,2.41567484
385,1.37029748
386,1.88003170
387,1.31991923
388,0.20993003
389,1.48758638
390,1.50709623
391,1.51191718
392,0.75692629
393,0.67665605
394,0.83487708
395,0.07831189
396,0.40862416
397,0.72776251
398,1.29899799
399,2.31149450
400,1.77729352
401,1.30848484
402,1.81737148
403,1.12703039
404,0.11993270
405,1.74071806
406,1.78863477
407,1.66170013
408,2.16165425
409,1.98220972
410,2.10206214
411,0.11666662
412,2.53541402
413,1.49179709
414,1.50334619
415,1.55495776
416,0.68484956
417,0.76828978
418,2.22357121
419,1.52228706
420,2.43551288
421,0.52843247
422,1.48459413
423,1.52147174
424,0.09385041
425,1.58753084
426,0.97460164
427,1.09033704
428,0.47057935
429,1.50763647
430,1.70753718
431,2.26195362
432,2.13463513
433,2.48555395
434,2.47445342
435,1.77649440
436,0.71188836
437,1.36971392
438,0.21174993
439,1.43586667
440,0.77493090
441,1.36035753
442,1.90203396
443,0.15375383
444,2.22148559
445,0.09611012
446,1.24232717
