step,entropy
0,0.00192950
1,0.02366502
2,0.00555921
3,0.02860910
4,0.00381297
5,0.00042423
6,0.00194996
7,0.00479356
8,0.00308371
9,0.00881595
10,0.00228473
11,0.00269554
12,0.01364496
13,0.00265310
14,0.00262955
15,0.00294108
16,0.00245498
17,0.00393339
18,0.00252884
19,0.02177103
20,0.00301479
21,0.00516345
22,0.00264279
23,0.00461406
24,0.00408448
25,0.00023607
26,0.00281001
27,0.00156509
28,0.00159689
29,0.00208453
30,0.00047824
31,0.01083632
32,0.01427230
33,0.00896123
34,0.00197567
35,0.02441227
36,0.02426537
37,0.00086110
38,0.00486449
39,0.00254449
40,0.00394271
41,0.00668700
42,0.00232350
43,0.00239945
44,0.00164507
45,0.00412632
46,0.00361038
47,0.00181291
48,0.00164395
49,0.00586054
50,0.00373824
51,0.00259488
52,0.01680023
53,0.03351608
54,0.00346192
55,0.00218362
56,2.14379430
57,0.00268531
58,0.00246430
59,0.01757185
60,0.00366148
61,0.00086980
62,0.01104478
63,0.01184016
64,0.00195836
65,0.01546395
66,0.00871750
67,0.00424614
68,0.00883527
69,0.00436185
70,0.01327466
71,0.01536150
72,0.00249449
73,0.00229643
74,0.02002002
75,0.00218731
76,0.01577212
77,0.00223053
78,0.00538813
79,0.00192229
80,0.00266401
81,0.00369306
82,0.00203206
83,0.00498883
84,0.00139526
85,0.00227258
86,0.00735220
87,0.01652526
88,0.00139470
89,0.00117133
90,0.00383321
91,0.00728232
92,0.02455096
93,0.00545140
94,0.00975248
95,0.00059815
96,0.01915429
97,0.00434586
98,0.00639237
99,0.00443311
100,0.00186120
101,0.00168697
102,0.00863588
103,0.00330344
104,0.00309643
105,0.00385276
106,0.00198966
107,0.00484403
108,0.00342298
109,0.01365166
110,0.00824496
111,0.01591767
112,0.00462145
113,0.01342367
114,0.00084412
115,0.00216137
116,0.00908381
117,0.00472271
118,0.00474677
119,0.00973574
120,0.00287037
121,0.00743569
122,0.00290168
123,0.01229657
124,0.00011609
125,0.00486440
126,0.00640618
127,0.00170900
128,0.00215381
129,0.00124216
130,0.00223912
131,0.01315910
132,0.00314457
133,0.00236687
134,0.00241921
135,0.00237983
136,0.00254406
137,0.01494033
138,0.01961216
139,0.00224212
140,0.00243454
141,0.00213796
142,0.00254766
143,0.00022702
144,0.00009772
145,0.00227191
146,0.00452265
147,0.00045651
148,0.00627755
149,0.02379508
150,0.00225143
151,0.00459708
152,0.00580223
153,0.00362168
154,0.01006098
155,0.00195389
156,0.00247425
157,0.00286131
158,0.00127003
159,0.02528828
160,0.00085602
161,0.00125845
162,0.01827100
163,0.00155921
164,0.00524995
165,0.00868390
166,0.01106754
167,0.00208135
168,0.00198576
169,0.00110517
170,0.00303558
171,0.00490703
172,2.39205838
173,0.01265621
174,0.00066594
175,0.00252353
176,0.01901840
177,0.01777393
178,0.00215088
179,0.00035928
180,0.00299461
181,0.01366150
182,0.00363610
183,0.01788899
184,0.00548098
185,0.00287019
186,0.00220521
187,0.00395496
188,0.00205834
189,0.03329971
190,0.00858940
191,0.00477193
192,0.00212001
193,0.00975593
194,0.00602635
195,0.00146754
196,0.00271996
197,0.01295557
198,0.00269728
199,0.00646285
200,0.00160049
201,0.00978542
202,0.02247536
203,0.00553568
204,0.00244942
205,0.00241811
206,0.00397501
207,0.00417139
208,0.00256485
209,0.02376674
210,0.00081869
211,0.01219901
212,0.00179495
213,0.00076159
214,0.01198722
215,0.02849314
216,0.00750164
217,0.00282660
218,0.00604940
219,0.01676002
220,0.00546640
221,0.00259707
222,0.00179486
223,0.01700315
224,0.00186309
225,0.00489046
226,0.00821522
227,0.00060945
228,0.00527807
229,0.00126776
230,0.00003863
231,0.00658160
232,0.00190895
233,0.00600248
234,0.01584057
235,0.00205634
236,0.00230442
237,0.00086764
238,0.00270945
239,0.01063759
240,0.00236288
241,0.00393703
242,0.00269585
243,0.00257154
244,0.00699661
245,0.00204978
246,0.01272626
247,0.00232058
248,0.00213623
249,0.02611625
250,0.00207891
251,0.00198422
252,0.00292918
253,0.00172971
254,0.00278660
255,0.00241247
256,0.00521354
257,0.01207648
258,0.00258136
259,0.01272262
260,0.00208731
261,0.00275213
262,0.01271311
263,0.00215166
264,0.00585266
265,0.00476712
266,0.00635685
267,0.00178195
268,0.00293802
269,0.00231008
270,0.01193890
271,0.00230870
272,0.00199357
273,0.00228097
274,0.01984563
275,0.01859199
276,0.00105489
277,0.00792237
278,0.00296136
279,0.00233472
280,0.00047275
281,0.01568920
282,0.00206512
283,0.00124857
284,0.00172677
285,0.00423894
286,0.00144340
287,0.00286526
288,0.00197920
289,0.00128019
290,0.00318640
291,0.00263660
292,0.00234276
293,0.00109203
294,0.00471671
295,0.00189260
296,0.00484865
297,0.00478402
298,0.02181133
299,0.01127706
300,0.00226999
301,0.00193783
302,0.01250438
303,0.00108340
304,0.01748413
305,0.00132483
306,0.00239399
307,0.00518582
308,0.00220033
309,0.01128126
310,0.01484643
311,0.00353586
312,0.00238528
313,0.01338845
314,0.00531515
315,0.01242700
316,0.02172145
317,0.00881516
318,0.00242467
319,0.00207252
320,0.00215516
321,0.00429593
322,0.00250747
323,0.01990453
324,0.00274948
325,0.00011763
326,0.00243232
327,0.00185139
328,0.00715489
329,0.00084351
330,0.00577504
331,0.01074240
332,0.00710733
333,0.01961066
334,0.00379060
335,0.00545057
336,0.00251198
337,0.00126828
338,0.00285677
339,0.00418860
340,0.00512870
341,0.00615153
342,0.01382377
343,0.00718202
344,0.00026345
345,0.00361508
346,0.01675270
347,0.00223357
348,0.01126539
349,0.00292450
350,0.00182459
351,0.00994628
352,0.00586363
353,0.00228720
354,0.00242065
355,0.00286283
356,0.01979336
357,0.00714131
358,0.00862529
359,0.01531246
360,0.00253032
361,0.00195832
362,0.00438528
363,0.02353303
364,0.00222796
365,0.00448695
366,0.00584927
367,0.00176305
368,0.01952490
369,0.01256951
370,0.01919808
371,0.00357031
372,0.00149970
373,0.00382076
374,0.00036461
375,0.00279941
376,0.00531634
377,0.02442072
378,0.01809827
379,0.02281364
380,0.00241385
381,0.00220934
382,0.00280295
383,0.00085720
384,0.00246923
385,0.00226599
386,0.00448594
387,0.00111282
388,0.00267904
389,0.00008275
390,0.00377690
391,0.01168110
392,0.00204257
393,0.00194803
394,0.00175130
395,0.00222535
396,0.00174912
397,0.00299858
398,0.00228032
399,0.01310295
400,0.00300590
401,0.01237314
402,0.01196391
403,0.00052137
404,0.00670633
405,0.02753265
406,0.00185255
407,0.00180169
408,0.00521154
409,0.00422913
410,0.00724826
411,0.00558856
412,0.00026849
413,0.00526922
414,0.00268696
415,0.00337834
416,0.00452116
417,0.00242231
418,0.00563770
419,0.01138302
420,0.00186776
421,0.00301709
422,0.00500867
423,0.00454094
424,0.00246448
425,0.01467107
426,0.00094166
427,0.00159220
428,0.00477758
429,0.00249748
430,0.02776984
431,0.00173054
432,0.02226055
433,0.03457629
434,0.00042672
435,0.00209302
436,0.01740353
437,0.00777984
438,0.01766045
439,0.00285754
440,0.00169837
441,0.00354947
442,0.02249961
443,0.00404446
444,0.02245986
445,0.01334274
446,0.00723778
447,0.00035507
448,0.00984832
449,0.00661329
450,0.00145246
451,0.00287796
452,0.00931306
453,0.00184284
454,0.00152711
455,0.00414473
456,0.01564555
457,0.02152333
458,0.00186231
459,0.01518400
460,0.00185417
461,0.00422699
462,0.00175665
463,0.00198668
464,0.00320402
465,0.00262742
466,0.00184616
467,0.01766897
468,0.00287734
469,0.00139983
470,0.00168217
471,0.00269684
472,0.00185556
473,0.00110708
474,0.00237526
475,0.00176609
476,0.00632623
477,0.00650548
478,0.00457732
479,0.01237810
480,0.00215625
481,0.00464401
482,0.00177999
483,0.01675351
484,0.01141562
485,0.00230015
486,0.00139500
487,0.01232147
488,0.00138828
489,0.00195623
490,0.00287120
491,0.00091066
492,0.00191334
493,0.00201310
494,0.00251128
495,0.00526660
496,0.00247783
497,0.00870762
498,0.00835733
499,0.00143876
500,0.01386763
501,0.02619487
502,0.00902699
503,0.00352733
504,0.00261512
505,0.02390613
506,0.00314418
507,0.01554034
508,0.01022361
509,0.00390888
510,0.01318294
511,0.00536027
512,0.00260411
513,0.00174436
514,0.00506821
515,0.01444910
516,0.00605844
517,0.00590913
518,0.01598489
519,0.00463862
520,0.02135286
521,0.00535423
522,0.00180814
523,0.00144262
524,0.00269679
525,0.00262146
526,0.00891281
527,0.00240707
528,0.00540268
529,0.00107304
530,0.00179947
531,0.00472719
532,0.03988364
533,0.00472243
534,0.00188907
535,0.00196259
536,0.00212067
537,0.01214453
538,0.02318533
539,0.00219784
540,0.00085317
541,0.00071663
542,0.01332713
543,0.00542582
544,0.00226002
545,0.00307208
546,0.02343997
547,0.00556367
548,0.01332372
549,0.00237083
550,0.00214959
551,0.00323925
552,0.00639318
553,0.00795689
554,0.01534976
555,0.00203252
556,0.00233503
557,0.02422350
558,0.00247826
559,0.00632672
560,0.02523494
561,0.02110564
562,0.01132577
563,0.00276626
564,0.00285011
565,0.01553016
566,0.00470878
567,0.00214110
568,0.02000831
569,0.01900539
570,0.01208287
571,0.00987002
572,0.00440694
573,0.01347031
574,0.00332452
575,0.02156740
576,0.00765820
577,0.01325696
578,0.00641911
579,0.01027091
580,0.00174634
581,0.01065687
582,0.00219832
583,0.00617054
584,0.00284727
585,0.00445071
586,0.00114966
587,0.00158855
588,0.00195187
589,0.00530876
590,0.00210031
591,0.00074572
592,0.00055953
593,0.00248257
594,0.01640404
595,0.00208251
596,0.00581819
597,0.00362077
598,0.00109082
599,0.00122450
600,0.00405284
601,0.01703458
602,0.00280094
603,0.00225342
604,0.00132625
605,0.00166532
606,0.00410306
607,0.00729582
608,0.02449828
609,0.01016488
610,0.00493691
611,0.01439592
612,0.00331948
613,0.02271387
614,0.00213525
615,0.00248413
616,0.00474338
617,0.00758335
618,0.00315757
619,0.00054699
620,0.00591323
621,0.00298893
622,0.01241746
623,0.00258822
624,0.01873570
625,0.00874472
626,0.00902865
627,0.00247645
628,0.00613727
629,0.00481750
630,0.01307220
631,0.00265881
632,0.01234615
633,0.00451569
634,0.00399972
635,0.00455139
636,0.00161020
637,0.01543029
638,0.00153308
639,0.00329828
640,0.00576764
641,0.00181514
642,0.00297566
643,0.00513080
644,0.00212550
645,0.02260672
646,0.00208243
647,0.00552465
648,0.00287730
649,0.00244376
650,0.00409864
651,0.00925349
652,0.00708886
653,0.00987123
654,0.00508343
655,0.00120772
656,0.00093120
657,0.00358572
658,0.01038120
659,0.00326913
660,0.00292297
661,0.00611791
662,0.00249185
663,0.00152142
664,0.00421484
665,0.01121193
666,0.00305059
667,0.00637159
668,0.02414149
669,0.00186276
670,0.00958218
671,0.02208006
672,0.00599261
673,0.00491475
674,0.00634760
675,0.00635507
676,0.00583840
677,0.00226728
678,0.00341956
679,0.00402464
680,0.01921508
681,0.02709353
682,0.00191035
683,0.01343973
684,0.00059554
685,0.00681157
686,0.00874585
687,0.00012530
688,0.00095517
689,0.00305379
690,0.00440771
691,0.02201072
692,0.00212058
693,0.00333204
694,0.00228339
695,0.00365054
696,0.00522727
697,0.00577965
698,0.01757192
699,0.00303623
700,0.02050475
701,0.01518715
702,0.00655125
703,0.00558072
704,0.01253341
705,0.03194918
706,0.00416066
707,0.02258862
708,0.00291241
709,0.02116290
710,0.02650499
711,0.00272049
712,0.00323052
713,0.00146114
714,0.00230727
715,0.00316753
716,0.01726610
717,0.00064308
718,0.00216346
719,0.00283864
720,0.00593998
721,0.00483360
722,0.00134561
723,0.01457854
724,0.00158307
725,0.00559500
726,0.00229630
727,0.00218633
728,0.00273877
729,0.00528587
730,0.01675719
731,0.00206447
732,0.00265738
733,0.00669184
734,0.00139443
735,0.00531668
736,0.00211885
737,0.01787393
738,0.00678455
739,0.00375549
740,0.00177111
741,0.00207010
742,0.01382516
743,0.00458587
744,0.00607488
745,0.00141986
746,0.00191245
747,0.00217060
748,0.01367037
749,0.00217450
750,0.00280376
751,0.00045878
752,0.00365672
753,0.01143093
754,0.02040948
755,0.00984749
756,0.00121804
757,0.00235046
758,0.00185992
759,0.00257469
760,0.00553757
761,0.00114125
762,0.01018377
763,0.00188776
764,0.00397583
765,0.00153789
766,0.00487532
767,0.00032906
768,0.00506190
769,0.00517751
770,0.00197971
771,0.00213290
772,0.00089957
773,0.00222340
774,0.00262062
775,0.00886273
776,0.00560307
777,0.00146622
778,0.00230601
779,0.00576544
780,0.00372502
781,0.01706386
782,0.00231501
783,0.01614996
784,0.00190272
785,0.00525733
786,0.00251674
787,0.01067103
788,0.00103180
789,0.01468688
790,0.00193877
791,0.00259833
792,0.00113723
793,0.00538277
794,0.00359979
795,0.00096974
796,0.00577485
797,0.00219697
798,0.00464179
799,0.00192540
800,0.00304321
801,0.01625345
802,0.02450083
803,0.02461590
804,0.00386687
805,0.00190026
806,0.00203138
807,0.00464861
808,0.00300139
809,0.00238967
810,0.01711664
811,0.00819999
812,0.00257984
813,0.02918342
814,0.00473048
815,0.00099414
816,0.02368831
817,0.01395171
818,0.00430330
819,2.31049268
820,0.00370501
821,0.00214628
822,0.02646776
823,0.00573913
824,0.00041935
825,0.01311417
826,0.00098912
827,0.00428437
828,0.00715185
829,0.00379376
830,0.01337538
831,0.00140348
832,0.01357185
833,0.00251511
834,0.02188569
835,0.00146426
836,0.00380182
837,0.00636200
