step,entropy
0,0.99868571
1,0.80181139
2,0.49854771
3,0.39930823
4,1.79147347
5,1.22954065
6,0.78533072
7,1.76001651
8,1.71710765
9,0.23074918
10,1.18048615
11,0.63596155
12,1.12544378
13,1.49411090
14,0.01770390
15,1.06870210
16,0.60707694
17,1.11124352
18,0.22857479
19,1.70130487
20,1.13134028
21,0.43921001
22,1.60166606
23,0.07862301
24,1.23362864
25,1.04413479
26,0.08249894
27,0.51962165
28,0.16052458
29,1.52405167
30,1.46866551
31,0.18582364
32,0.22725347
33,1.83181252
34,0.41795114
35,0.63189989
36,1.42394448
37,0.12636137
38,1.97201424
39,0.04788044
40,1.76701275
41,0.75102313
42,0.31222385
43,0.78553553
44,2.02442273
45,1.10076992
46,0.12335850
47,1.95929004
48,0.29874278
49,0.11380164
50,0.09452862
51,1.71955152
52,0.31842357
53,0.37245238
54,1.96464530
55,1.27272479
56,0.59393961
57,1.22037589
58,0.50586050
59,1.02853515
60,0.69632859
61,1.29564713
62,1.57903366
63,0.72522255
64,0.29947417
65,0.74027415
66,1.57767317
67,1.63786811
68,1.63468269
69,2.02802455
70,1.71632174
71,2.01554021
72,1.30431600
73,0.47725979
74,1.26561869
75,0.41168047
76,0.17755875
77,0.62703764
78,0.75491344
79,1.47515172
80,0.75554013
81,0.00655176
82,1.90809780
83,1.22651350
84,0.43857454
85,0.52499495
86,0.25832822
87,1.88646738
88,0.47904985
89,1.95742816
90,0.55001559
91,1.66319203
92,0.02175041
93,1.00566235
94,0.76831255
95,0.69625223
96,2.06461551
97,1.50007881
98,0.53225803
99,1.56578450
100,0.26962467
101,1.92679950
102,0.88728328
103,0.39675776
104,0.56772255
105,0.32285519
106,1.93643329
107,0.63654567
108,0.29726392
109,1.69159595
110,0.44377907
111,0.19592114
112,1.39088826
113,0.01541090
114,1.73221548
115,1.17096365
116,0.51361388
117,0.98551921
118,0.54606928
119,1.10884257
120,1.18955590
121,1.60582259
122,0.96989899
123,1.63694436
124,0.14409189
125,1.91725732
126,0.38603222
127,1.74086541
128,1.02929803
129,0.21791053
130,0.74872651
131,1.91098887
132,1.73698782
133,1.50309423
134,0.79043572
135,1.22523710
136,0.48303148
137,1.34812208
138,0.54300068
139,1.72511163
140,1.46601701
141,0.80342855
142,1.37234091
143,0.67658819
144,0.32390421
145,0.48940326
146,0.56536599
147,0.47157518
148,1.41161667
149,1.53918929
150,0.95127831
151,2.05553761
152,1.85415845
153,0.18114614
154,0.95816923
155,1.89048351
156,0.45835621
157,0.78741867
158,1.97053874
159,1.61493754
160,1.73201656
161,1.83015103
162,0.35620603
163,1.45514576
164,1.67057955
165,0.47128985
166,0.09022929
167,0.37114746
168,1.54281327
169,1.44477565
170,1.85562664
171,0.65955961
172,1.29381075
173,0.05575554
174,1.94585226
175,1.15386467
176,1.55734337
177,0.59060343
178,0.17054207
179,0.13072892
180,1.69525761
181,0.31619018
182,1.71469660
183,0.55200144
184,1.12635351
185,0.54503223
186,0.10422143
187,1.12844872
188,0.76395481
189,0.90543687
190,1.25180670
191,0.65270851
192,1.17324408
193,1.36878511
194,0.18633756
195,0.72852926
196,0.18717485
197,0.01442850
198,0.10660689
199,1.23236218
200,0.17543414
201,1.80729778
202,1.58035591
203,0.01835040
204,1.19288764
205,0.02133372
206,0.22722773
207,2.05648525
208,0.95103690
209,0.05662495
210,1.76945162
211,1.90893752
212,1.14115187
213,1.46902162
214,1.62338357
215,1.52880627
216,1.02906983
217,1.73276452
218,1.09733790
219,0.54001025
220,0.00846355
221,0.74620340
222,0.17185577
223,0.13167441
224,0.97642650
225,1.96372775
226,0.21956908
227,0.56965681
228,1.72734102
229,0.83618257
230,1.57902338
231,1.12856406
232,1.25674353
233,0.33532942
234,0.73307744
235,1.29383443
236,0.05570308
237,0.39189587
238,0.80427131
239,1.40378940
240,1.06042262
241,1.49563688
242,1.51255472
243,0.06462311
244,1.87640743
245,1.71514047
246,0.56407640
247,1.00826628
248,0.64124097
249,1.88666593
250,0.79662258
251,0.82416200
252,1.89763222
253,1.25000667
254,0.28689821
255,1.30270214
256,1.65319635
257,0.70302653
258,1.09666581
259,1.30441832
260,1.06214549
261,2.07911593
262,1.05460444
263,1.33881921
264,1.65141026
265,0.28422122
266,0.09137477
267,2.02473135
268,1.52378576
269,0.81839540
270,0.03676780
271,0.34626753
272,0.02028468
273,0.82500298
274,1.15461948
275,0.33416376
276,1.33150329
277,1.98571667
278,2.06106578
279,1.73376752
280,0.92369487
281,1.13912491
282,1.04735056
283,0.32393288
284,1.77798274
285,1.40627893
286,1.32750437
287,0.45849555
288,0.31871508
289,1.81671379
290,0.37334937
291,0.15340367
292,1.30184554
293,1.46569453
294,0.24892691
295,0.43046166
296,1.64136840
297,1.93440896
298,0.99154344
299,1.64811309
300,0.66465186
301,1.46338611
302,1.15954116
303,1.75466946
304,1.61460193
305,0.59126918
306,0.31100713
307,1.68068351
308,0.06823943
309,1.41303756
310,0.99034800
311,0.15669329
312,1.43285310
313,1.00483100
314,1.78981736
315,0.43415017
316,0.00478540
317,0.27153506
318,0.56104180
319,1.35727999
320,0.75463807
321,0.24606459
322,2.04259330
323,0.22521470
324,0.73898342
325,1.82415893
326,1.35805203
327,0.66547964
328,2.01923127
329,1.04275498
330,0.01687632
331,0.01282565
332,1.95818187
333,0.58511949
334,1.68985669
335,0.09064582
336,0.30572548
337,1.78290486
338,2.06864217
339,0.10804852
340,0.34884222
341,1.50433470
342,1.10186277
