step,entropy
0,0.00906161
1,0.00352666
2,0.00079029
3,0.00001255
4,0.03486000
5,0.00039068
6,0.00088337
7,0.00112251
8,0.01721514
9,0.00214487
10,0.00404222
11,0.02676544
12,0.00143012
13,0.00419474
14,0.03875407
15,0.00331255
16,0.00235960
17,0.02936725
18,0.02423156
19,0.00348870
20,0.00042375
21,0.00811044
22,0.00037383
23,0.00316979
24,0.00200148
25,0.00604625
26,0.01048674
27,0.01140169
28,0.00857510
29,0.00263981
30,0.00086300
31,0.00038875
32,0.00779310
33,0.00075251
34,0.00068807
35,0.00151157
36,0.00781339
37,0.00033743
38,0.00407694
39,0.00279535
40,0.00010229
41,0.00363510
42,0.00173539
43,0.00418697
44,0.00912077
45,0.00632653
46,0.00043501
47,0.00081600
48,0.01331459
49,0.00391721
50,0.03738440
51,0.02073044
52,0.00235540
53,0.00132742
54,0.00608897
55,0.00142931
56,0.00205077
57,0.01185049
58,0.03651843
59,0.00404431
60,0.00216142
61,0.01031244
62,0.00207825
63,0.00820249
64,0.04101908
65,0.00362418
66,0.00191292
67,0.00137382
68,0.00448133
69,0.00403138
70,0.03813560
71,0.00306305
72,0.00168019
73,0.00541510
74,0.00036904
75,0.00035453
76,0.00166783
77,0.01112771
78,0.00041005
79,0.00244564
80,0.00099203
81,0.00923476
82,0.00043285
83,0.00135765
84,0.00160217
85,0.00071911
86,0.00708693
87,0.00316582
88,0.00041963
89,0.00229974
90,0.00094609
91,0.00269457
92,0.00222872
93,0.00161741
94,0.00211394
95,0.00234307
96,0.00528843
97,0.00034016
98,0.00032246
99,0.00133661
100,0.00118147
101,0.00543981
102,0.02257866
103,0.00075440
104,0.00309073
105,0.00253052
106,0.00335132
107,0.00368860
108,0.00211095
109,0.00033885
110,0.00140410
111,0.00048293
112,0.00540736
113,0.00066068
114,0.00203675
115,0.00397605
116,0.00910014
117,0.00457878
118,0.02062267
119,0.00210879
120,0.00191310
121,0.00189788
122,0.00041926
123,0.00869874
124,0.00208821
125,0.00135605
126,0.00316835
127,0.00210812
128,0.00072686
129,0.01617259
130,0.00096998
131,0.02087435
132,0.00032609
133,0.00032657
134,0.00041976
135,0.00166064
136,0.00060269
137,0.00167781
138,0.00868856
139,0.00866608
140,0.00429313
141,0.00111721
142,0.00242856
143,0.00126055
144,0.00541550
145,0.00231322
146,0.00580101
147,0.01481610
148,0.02166510
149,0.00299902
150,0.00135554
151,0.00342629
152,0.00035840
153,0.00297973
154,0.00877510
155,0.00078588
156,0.00155688
157,0.00343627
158,0.00667021
159,0.00064117
160,0.00103555
161,0.00086150
162,0.01553539
163,0.00206851
164,0.00201414
165,0.00178339
166,0.00151248
167,0.03543322
168,0.00556639
169,0.00144549
170,0.00118264
171,0.00393030
172,0.00100584
173,0.00409848
174,0.01955269
175,0.00137637
176,0.00065596
177,0.00117678
178,0.00884638
179,0.00387759
180,0.00209245
181,0.00214461
182,0.02141271
183,0.00133551
184,0.00383129
185,0.00073280
186,0.01622561
187,0.00123645
188,0.00040196
189,0.01090691
190,0.00040285
191,0.00148098
192,0.00034734
193,0.00744985
194,0.00056352
195,0.00785862
196,0.02760088
197,0.00143900
198,0.00886447
199,0.00092405
200,0.00074847
201,0.00023803
202,0.00000212
203,0.00074162
204,0.00041094
205,0.00247992
206,0.00918362
207,0.00093002
208,0.04051548
209,0.00043883
210,0.01772549
211,0.03408279
212,0.03291130
213,0.01436525
214,0.18468303
215,0.00279283
216,0.00072724
217,0.02139372
218,0.14750594
219,0.18582499
220,0.00225167
221,0.00275726
222,0.03650110
223,0.00138056
224,0.00094372
225,0.02047481
226,0.00181841
227,0.00029543
228,0.00402159
229,0.00369988
230,0.00076845
231,0.00088355
232,0.00390613
233,0.00341095
234,0.00592630
235,0.00143393
236,0.00196077
237,0.01304148
238,0.00366410
239,0.01324621
240,0.00404025
241,0.00078743
242,0.00464838
243,0.00000065
244,0.01060324
245,0.00604963
246,0.00436693
247,0.00860875
248,0.00142865
249,0.00078406
250,0.00440047
251,0.00036849
252,0.00000553
253,0.00080391
254,0.00225095
255,0.00078115
256,0.00172311
257,0.00340633
258,0.19429223
259,0.00000185
260,0.02045107
261,0.00341399
262,0.00825849
263,0.00840563
264,0.00247541
265,0.00550506
266,0.00183632
267,0.00148624
268,0.00236333
269,0.00182228
270,0.00141791
271,0.00169392
272,0.01002705
273,0.00096600
274,0.00480410
275,0.00347431
276,0.01427184
277,0.00041255
278,0.00466601
279,0.00780266
280,0.00096575
281,0.00360232
282,0.00178317
283,0.02677204
284,0.00186603
285,0.02119009
286,0.00146505
287,0.03215129
288,0.00137807
289,0.00094807
290,0.00324845
291,0.00213301
292,0.00830942
293,0.00047505
294,0.00351628
295,0.00000520
296,0.00040587
297,0.00375606
298,0.00188813
299,0.00247514
300,0.00152602
301,0.00035231
302,0.00042156
303,0.00098639
304,0.00332658
305,0.26430712
306,0.04017156
307,0.00568367
308,0.00077522
309,0.00136039
310,0.00249251
311,0.00154545
312,0.00220073
313,0.00086441
314,0.00849224
