step,entropy,in_repeat_run
0,1.06880351,0
1,0.18297503,0
2,0.05293327,0
3,0.56699896,0
4,0.01189328,0
5,0.00037598,0
6,0.00016206,0
7,0.04308896,0
8,0.00001901,0
9,0.30890533,0
10,0.01331459,0
11,0.02049721,0
12,0.14085053,0
13,1.06536332,0
14,0.45103824,0
15,0.43376414,0
16,0.57491294,0
17,0.95567513,0
18,0.49994641,0
19,0.00311490,0
20,0.00572655,0
21,0.15035122,0
22,1.16699925,0
23,1.04692897,0
24,0.76662188,0
25,0.26091987,0
26,0.01602900,0
27,0.01180102,0
28,0.01120027,0
29,0.09721725,0
30,0.20788730,0
31,0.00003606,0
32,0.00872148,0
33,0.38572278,0
34,0.64783413,0
35,0.13492694,0
36,0.01384826,0
37,0.01945194,0
38,0.04302857,0
39,0.09115601,0
40,0.00006780,0
41,0.01018007,0
42,0.39099731,0
43,0.84703889,0
44,1.72867955,0
45,0.26420028,0
46,0.68447325,0
47,0.00171142,0
48,0.00479753,0
49,0.33209360,0
50,0.02661821,0
51,0.85505808,0
52,0.47410341,0
53,0.38096707,0
54,0.00059538,0
55,0.14272428,0
56,0.78950497,0
57,0.00067966,0
58,0.00014410,0
59,0.00002302,0
60,0.00060469,0
61,0.00000285,0
62,0.14145286,0
63,0.03151362,0
64,0.02858344,0
65,1.07037615,0
66,0.00310066,0
67,0.42888491,0
68,1.34461450,0
69,0.08148260,0
70,0.73634928,0
71,0.16285467,0
72,0.70281284,0
73,0.07206817,0
74,0.87444501,0
75,0.00058029,0
76,0.00307050,0
77,0.00004671,0
78,0.00016435,0
79,0.13581586,0
80,0.00015292,0
81,0.87117468,0
82,0.00001682,0
83,1.38814564,0
84,0.34324102,0
85,0.00044598,0
86,0.02071958,0
87,0.02277396,0
88,0.00007736,0
89,0.00000372,0
90,0.00007847,0
91,0.00005345,0
92,0.00001552,0
93,0.00003287,0
94,0.00001569,0
95,0.00005963,0
96,0.00001757,0
97,0.00000911,0
98,0.01971312,0
99,0.00009741,0
100,0.04847847,0
101,0.17878886,0
102,0.00845607,0
103,0.03097757,0
104,0.00137621,0
105,0.00041424,0
106,0.00000988,0
107,0.00001069,0
108,0.00002222,0
109,0.69270234,0
110,0.58150733,0
111,0.00565184,0
112,0.01848238,0
113,0.43798587,0
114,0.55794176,0
115,0.00021210,0
116,0.00000689,0
117,0.11785946,0
118,0.00562359,0
119,0.00021222,0
120,0.01308728,0
121,0.54793607,0
122,0.00801534,0
123,0.00001363,0
124,0.00208006,0
125,0.00000194,0
126,1.19153614,0
127,0.00069685,0
128,0.00008500,0
129,0.00004259,0
130,0.00012897,0
131,0.00002392,0
132,0.42868336,0
133,0.00393044,0
134,0.00001125,0
135,0.40237028,0
136,0.78050785,0
137,0.06338162,0
138,0.00012489,0
139,0.00552578,0
140,0.00039526,0
141,0.00077672,0
142,0.67759339,0
143,0.08530540,0
144,0.00004994,0
145,0.00002398,0
146,0.00033879,0
147,0.00107583,0
148,0.00092017,0
149,0.00147926,0
150,0.00000562,0
151,0.00009986,0
152,0.81277022,0
153,0.00816572,0
154,0.07370911,0
155,0.06683674,0
156,0.00000511,0
157,0.00000186,0
158,0.00109780,0
159,0.00000747,0
160,0.00031883,0
161,0.00025471,0
162,0.00002568,0
163,0.00020677,0
164,0.00024230,0
165,0.00011664,0
166,0.00000789,0
167,0.00000094,0
168,0.00000461,0
169,0.00000415,0
170,0.00000406,0
171,0.00000538,0
172,0.00000376,0
173,0.00000130,0
174,0.00000590,0
175,0.00047032,0
176,0.00003494,0
177,0.04445480,0
178,0.31809164,0
179,0.00092915,0
180,0.00001626,0
181,0.00003365,0
182,0.00006588,0
183,0.00001205,0
184,0.00000848,0
185,0.00012552,0
186,0.00001537,0
187,0.00000869,0
188,0.00015271,0
189,0.00006028,0
190,0.00003424,0
191,0.00004989,0
192,0.00000024,0
193,0.00000812,0
194,0.00001094,0
195,0.00000213,0
196,0.00000040,0
197,0.00011632,0
198,0.00001634,0
199,0.14802461,0
200,0.00060576,0
201,0.00002966,0
202,0.00004120,0
203,0.00003779,0
204,0.00000555,0
205,1.11801298,0
206,0.00061609,0
207,0.03210465,0
208,0.01980568,0
209,0.99365816,0
210,0.45928523,0
211,0.00022095,0
212,0.00459073,0
213,0.00174341,0
214,0.69559746,0
215,0.00359521,0
216,0.00113257,0
217,0.00005463,0
218,0.57153360,0
219,0.00027327,0
220,0.00017996,0
221,0.00000748,0
222,0.00000063,0
223,0.00126142,0
224,0.00060949,0
225,0.00008825,0
226,0.00003421,0
227,0.00127591,0
228,0.04216252,0
229,0.00000063,0
230,0.00000070,0
231,0.00000106,0
232,0.00002443,0
233,0.00000028,0
234,0.00000153,0
235,0.00013187,0
236,0.00003888,0
237,0.03129306,0
238,0.00213087,0
239,0.00004306,0
240,0.00002313,0
241,0.00013503,0
242,0.00001136,0
243,0.41075829,0
244,0.00042634,0
245,0.05093431,0
246,0.61284329,0
247,0.03887480,0
248,0.72328939,0
249,0.00173993,0
250,0.00147717,0
251,0.10872257,0
252,0.00070409,0
253,0.00000019,0
254,0.00000064,0
255,0.00000265,0
256,0.00000337,0
257,0.00000022,0
258,0.00000205,0
259,0.00037595,0
260,0.25199975,0
261,0.00001403,0
262,0.00361887,0
263,0.00020636,0
264,0.00004943,0
265,0.00020061,0
266,0.00000042,0
267,0.00056580,0
268,0.00241356,0
269,0.28708506,0
270,0.00445312,0
271,0.00096815,0
272,0.71240630,0
273,0.00421203,0
274,0.00888308,0
275,0.51797218,0
276,0.00002821,0
277,0.46448605,0
278,0.00019554,0
279,0.78701267,0
280,0.00000146,0
281,0.00000065,0
282,0.07049750,0
283,0.55050587,0
284,1.06473683,0
285,0.00006998,0
286,0.00047702,0
287,0.00052765,0
288,0.01005160,0
289,0.03102478,0
290,0.07708814,0
291,0.00002338,0
292,0.56337163,0
293,0.00012230,0
294,0.00049179,0
295,0.19186390,0
296,0.50568902,0
297,0.07202724,0
298,0.02849081,0
299,0.00003709,0
300,0.00070058,0
301,0.00449364,0
302,0.00021431,0
303,0.00124361,0
304,0.31178288,0
305,0.27384014,0
306,0.54768991,0
307,0.00005093,0
308,0.00001935,0
309,0.00357193,0
310,0.00000649,0
311,0.94131308,0
312,0.00056686,0
313,0.00005328,0
314,0.00026164,0
315,0.32381030,0
316,0.13709905,0
317,0.00685901,0
318,0.02635844,0
319,0.00015163,0
320,0.44827405,0
321,0.00012157,0
322,0.00000159,0
323,0.00016572,0
324,0.00003050,0
325,0.10677821,0
326,0.00000406,0
327,0.00155713,0
328,0.00007522,0
329,0.11403005,0
330,0.22038062,0
331,0.00000435,0
332,0.00130168,0
333,0.08059087,0
334,0.58615103,0
335,0.00004991,0
336,0.00001646,0
337,0.00000154,0
338,0.00000317,0
339,0.00009247,0
340,0.00000093,0
341,0.02096395,0
342,0.00847477,0
343,0.00002608,0
344,0.00023891,0
345,0.21210369,0
346,0.00002087,0
347,0.00162948,0
348,0.00002412,0
349,0.00004160,0
350,0.00011574,0
351,0.00238355,0
352,0.00002823,0
353,0.00007899,0
354,0.00000229,0
355,0.00009294,0
356,0.00001926,0
357,0.00385845,0
358,0.17802695,0
359,0.00007276,0
360,0.47019649,0
361,0.00000747,0
362,0.00000027,0
363,0.00000362,0
364,0.00116988,0
365,0.64174176,0
366,0.00091321,0
367,0.03190110,0
368,0.04909758,0
369,0.10294291,0
370,0.18741443,0
371,0.00165856,0
372,0.00490822,0
373,0.00021356,0
374,0.00000082,0
375,0.00000043,0
376,0.00000347,0
377,0.00021345,0
378,0.41813483,0
379,0.04356170,0
380,0.00241919,0
381,0.00092824,0
382,0.02429026,0
383,0.00552451,0
384,0.00000040,0
385,0.00000070,0
386,0.00000212,0
387,0.00002204,0
388,0.00000089,0
389,0.00000078,0
390,0.00072141,0
391,0.00015336,0
392,0.00000377,0
393,0.00000240,0
394,0.00000665,0
395,0.00000699,0
396,0.00000016,0
397,0.00000038,0
398,0.00000279,0
399,0.00015515,0
400,0.00000067,0
401,0.00000036,0
402,0.00000708,0
403,0.00000208,0
404,0.00058897,0
405,0.00002262,0
406,0.00787310,0
407,0.30303151,0
408,0.00060616,0
409,0.00000518,0
410,0.00000460,0
411,0.00004053,0
412,0.00002429,0
413,0.00002477,0
414,0.00000458,0
415,0.00000149,0
416,0.00000024,0
417,0.00000068,0
418,0.00000037,0
419,0.00000618,0
420,0.00000402,0
421,0.00000399,0
422,0.00000009,0
423,0.00000020,0
424,0.00013437,0
425,0.00063814,0
426,0.35563624,0
427,0.00002657,0
428,0.00006664,0
429,0.00000666,0
430,0.00003175,0
431,0.00000872,0
432,0.57891563,0
433,0.00004079,0
434,0.28471652,0
435,0.00350743,0
436,0.01405085,0
437,0.29000097,0
438,0.00136457,0
439,0.00006658,0
440,0.00000354,0
441,0.33104319,0
442,0.00033064,0
443,0.00073054,0
444,0.17654842,0
445,0.00000217,0
446,0.00000254,0
447,0.00000934,0
448,0.00000020,0
449,0.00000032,0
450,0.00000060,0
451,0.00000215,0
452,0.00000926,0
453,0.00000111,0
454,0.00000030,0
455,0.00000134,0
456,0.00002064,0
457,0.00004388,0
458,0.08773567,0
459,0.00737130,0
460,0.00016304,0
461,0.00000690,0
462,0.00065915,0
463,0.00000618,0
464,0.15413917,0
465,0.00006005,0
466,0.10981658,0
467,0.25532542,0
468,0.00046731,0
469,0.00010087,0
470,0.00190664,0
471,0.00525740,0
472,0.00001014,0
473,0.00002075,0
474,0.00000026,0
475,0.00000091,0
476,0.00000313,0
477,0.00000047,0
478,0.00000277,0
479,0.00000286,0
480,0.00000052,0
481,0.00000266,0
482,0.00002299,0
483,0.00234686,0
484,0.00000636,0
485,0.00001880,0
486,0.00003417,0
487,0.00005454,0
488,0.00002383,0
489,0.00000226,0
490,0.00003067,0
491,0.00002574,0
492,0.68651820,0
493,0.01183082,0
494,0.00008106,0
495,0.00004190,0
496,0.52113242,0
497,0.00009130,0
498,0.00086974,0
499,0.00038576,0
500,0.00000445,0
501,0.00010134,0
502,0.00028360,0
503,0.00006628,0
504,0.00000049,0
505,0.00000201,0
506,0.00008156,0
507,0.00065894,0
