step,entropy,in_repeat_run
0,2.34020499,0
1,2.05942492,0
2,2.14384474,0
3,1.23364228,0
4,2.00867624,0
5,1.64087453,0
6,2.27196189,0
7,0.74881719,0
8,1.51872954,0
9,0.11002920,0
10,1.21377196,0
11,1.44713181,0
12,0.02251877,0
13,1.43748654,0
14,2.14076416,0
15,1.89431574,0
16,0.21361306,0
17,0.72472350,0
18,0.02403506,0
19,1.10405713,0
20,0.08509710,0
21,0.13789000,0
22,0.00010513,0
23,0.00026391,0
24,1.21660012,0
25,1.72898290,0
26,0.25887070,0
27,0.90472084,0
28,1.02145867,0
29,0.41102804,0
30,0.74304586,0
31,1.42774187,0
32,1.04329020,0
33,1.32823989,0
34,0.56575597,0
35,0.55551664,0
36,0.25757253,0
37,1.39664886,0
38,0.83085998,0
39,1.74168989,0
40,1.02526467,0
41,0.00443925,0
42,0.87034466,0
43,1.08757181,0
44,0.00405790,0
45,1.21973079,0
46,0.72725970,0
47,0.87262977,0
48,0.41832032,0
49,1.55690341,0
50,0.00023800,0
51,1.06191368,0
52,0.01485265,0
53,0.29450558,0
54,0.00067273,0
55,0.14485081,0
56,0.18127727,0
57,0.70985191,0
58,2.29943890,0
59,0.00002229,0
60,1.18467218,0
61,0.56232576,0
62,0.02688781,0
63,0.00018259,0
64,0.48033738,0
65,0.95006140,0
66,1.05652655,0
67,0.60298277,0
68,0.00023776,0
69,1.02786925,0
70,0.13342004,0
71,0.38167842,0
72,1.67596575,0
73,1.07360624,0
74,1.40957353,0
75,1.03434892,0
76,0.00002843,0
77,0.22186530,0
78,0.56129709,0
79,0.13077961,0
80,0.90889430,0
81,1.24132085,0
82,0.78229097,0
83,0.00062215,0
84,0.70887507,0
85,1.76690363,0
86,0.00885525,0
87,0.13687102,0
88,1.10238754,0
89,0.37233835,0
90,0.00026006,0
91,0.00001089,0
92,0.00006231,0
93,0.10381941,0
94,1.15040041,0
95,0.00636013,0
96,0.12959246,0
97,0.00002959,0
98,0.06201172,0
99,0.00000002,0
100,0.34376709,0
101,0.17456621,0
102,0.00001143,0
103,0.49877538,0
104,0.00161543,0
105,0.00005750,0
106,0.03892484,0
107,0.10561613,0
108,0.44824317,0
109,1.40829756,0
110,1.14249777,0
111,1.10263565,0
112,0.90258278,0
113,1.02012281,0
114,0.71782427,0
115,0.02677701,0
116,0.51318701,0
117,0.74459455,0
118,0.27258841,0
119,0.62877768,0
120,0.38007855,0
121,0.16053768,0
122,0.21633537,0
123,1.04369812,0
124,0.65582532,0
125,2.24169664,0
126,0.03020893,0
127,0.95700550,0
128,0.01303921,0
129,0.23608078,0
130,0.01681334,0
131,1.35950998,0
132,0.05550570,0
133,0.00054056,0
134,0.15366755,0
135,0.42445511,0
136,1.20446711,0
137,0.99988790,0
138,0.31220683,0
139,0.13204647,0
140,1.01526399,0
141,0.00057089,0
142,1.24406488,0
143,0.60753120,0
144,0.10243498,0
145,1.61802980,0
146,0.02487962,0
147,0.98186916,0
148,0.00026777,0
149,0.54801345,0
150,0.65116309,0
151,0.74439315,0
152,0.80145464,0
153,1.04173848,0
154,1.82552122,0
155,1.15820995,0
156,0.00293370,0
157,0.70561699,0
158,0.00144835,0
159,0.00001055,0
160,0.00004823,0
161,0.00093983,0
162,0.89688782,0
163,0.85913118,0
164,0.90009639,0
165,1.81259243,0
166,0.45827886,0
167,0.33554988,0
168,1.42724733,0
169,0.00048504,0
170,1.01455395,0
171,0.01144465,0
172,1.25779589,0
173,0.15030392,0
174,1.55915899,0
175,0.99551979,0
176,0.54594864,0
177,1.72732433,0
178,1.48457840,0
179,0.10514063,0
180,0.00883692,0
181,0.00087293,0
182,0.00011915,0
183,1.38621031,0
184,0.70677971,0
185,0.73137545,0
186,1.39860950,0
187,1.00075557,0
188,0.83850253,0
189,0.00006181,0
190,0.20137629,0
191,2.07518871,0
192,2.00895593,0
193,0.00007653,0
194,0.07060659,0
195,1.19793188,0
196,0.00172811,0
197,0.00000855,0
198,0.00096424,0
199,0.00026408,0
200,0.00105138,0
201,0.00269248,0
202,0.00516971,0
203,0.00003099,0
204,0.69099234,0
205,0.58439673,0
206,0.24630042,0
207,0.22958152,0
208,0.43053237,0
209,0.04562261,0
210,0.00078854,0
211,1.59192446,0
212,0.05533021,0
213,0.05696761,0
214,0.00005686,0
215,0.61462122,0
216,1.85290195,0
217,1.03387977,0
218,1.02033198,0
219,0.00117822,0
220,0.89985680,0
221,1.38328730,0
222,0.58661848,0
223,0.10453445,0
224,0.05602661,0
225,0.03565810,0
226,1.40621519,0
227,0.00077204,0
228,0.63903099,0
229,0.58742619,0
230,0.02137847,0
231,0.09197928,0
232,0.22036165,0
233,0.01811288,0
234,0.00033256,0
235,1.20058601,0
236,1.14473987,0
237,0.19864308,0
238,1.47836136,0
239,0.52898340,0
240,0.01416554,0
241,0.19646033,0
242,1.29280881,0
243,0.78930625,0
244,2.16168194,0
245,0.06083784,0
246,0.08266060,0
247,0.01809041,0
248,1.61219120,0
249,0.80430894,0
250,1.21650836,0
251,0.07991946,0
252,1.68794442,0
253,0.00143346,0
254,0.01527718,0
255,0.00695676,0
256,0.73453376,0
257,0.55601551,0
258,2.00926854,0
259,0.25611534,0
260,0.31617203,0
261,0.10454459,0
262,0.00114766,0
263,0.17318177,0
264,0.00188616,0
265,0.64431312,0
266,0.92933819,0
267,0.80180563,0
268,2.22563549,0
269,0.00000761,0
270,2.24347597,0
271,0.37121505,0
272,0.71884810,0
273,0.55422488,0
274,0.05809476,0
275,0.06016571,0
276,1.35559719,0
277,2.20476642,0
278,0.13376609,0
279,0.00001820,0
280,0.00008981,0
281,0.77830955,0
282,0.45454900,0
283,1.28577848,0
284,0.75444407,0
285,0.21839821,0
286,0.19739772,0
287,0.66974823,0
288,0.13149182,0
289,1.18925194,0
290,0.07404750,0
291,0.82475707,0
292,0.13038114,0
293,0.24703910,0
294,0.84621563,0
295,0.49496914,0
296,0.59843918,0
297,0.31496708,0
298,1.41704375,0
299,0.27074088,0
300,0.78360911,0
301,0.75765079,0
302,0.04048877,0
303,0.59021294,0
304,0.11863980,0
305,0.61130497,0
306,0.64114636,0
307,0.32694102,0
308,0.06462448,0
309,2.00109757,0
310,1.24420739,0
311,0.01586571,0
312,0.55879028,0
313,0.00024837,0
314,0.00003566,0
315,0.00006230,0
316,0.79183288,0
317,0.03696002,0
318,0.65602409,0
319,0.43095049,0
320,0.00138757,0
321,1.17467608,0
322,0.73550859,0
323,0.00491623,0
324,0.08067240,0
325,0.12765328,0
326,0.04617187,0
327,1.68307938,0
328,0.03686567,0
329,1.08630183,0
330,1.03050841,0
331,1.05942392,0
332,2.17413495,0
333,0.76708845,0
334,0.79865867,0
335,0.87593083,0
336,0.40971701,0
337,0.00911445,0
338,0.23885877,0
339,1.22164155,0
340,1.18613117,0
341,1.35401639,0
342,0.69888818,0
343,0.00049660,0
344,1.01135325,0
345,0.15296482,0
346,0.02078958,0
347,1.68576150,0
348,1.27945461,0
349,1.02972240,0
350,0.46742106,0
351,0.03356512,0
352,0.28317042,0
353,0.97931173,0
354,0.46788316,0
355,0.82552723,0
356,0.02099310,0
357,0.44095885,0
358,1.76166940,0
359,0.16818345,0
360,0.62642043,0
361,1.65965544,0
362,0.14761799,0
363,0.01989303,0
364,0.02081975,0
365,0.00170778,0
366,0.57169852,0
367,1.20006209,0
368,0.01011935,0
369,0.05920282,0
370,0.28364932,0
371,1.32997236,0
372,0.25452244,0
373,0.10019611,0
374,0.00215357,0
375,0.00803329,0
376,0.00255957,0
377,0.00040624,0
378,0.00034742,0
379,0.00337327,0
380,0.00204125,0
381,0.00554685,0
382,0.00349263,0
383,0.00060283,0
384,0.00122639,0
385,0.00628430,0
386,0.01181265,0
387,0.31712472,0
388,0.00099186,0
389,0.00112657,0
390,0.00019048,0
391,0.00027380,0
392,0.00059599,0
393,0.00310718,0
394,0.00473121,0
395,0.00078328,0
396,0.00043645,0
397,0.00033601,0
398,0.00058643,0
399,0.00026031,0
400,0.00017520,0
401,0.00020179,0
402,0.00197302,0
403,0.00439129,0
404,0.03690891,0
405,0.01067210,0
406,0.00062412,0
407,0.01943878,0
408,0.01003626,0
409,0.00108919,0
410,0.00288311,0
411,0.00087448,0
412,0.00612191,0
413,0.00138427,0
414,0.00053652,0
415,0.00043909,0
416,0.01771288,0
417,0.00046322,0
418,0.02799996,0
419,0.45556203,0
420,0.00951511,0
421,0.05664577,0
422,0.01167704,0
423,0.00674674,0
424,0.00756246,0
425,0.00476970,0
426,0.00076597,0
427,0.00141900,0
428,0.00061156,0
429,0.00695643,0
430,0.05202231,0
431,0.00109592,0
432,0.01175942,0
433,0.02381762,0
434,0.70516573,0
435,0.01132472,0
436,0.00311155,0
437,0.00067358,0
438,0.00156012,0
439,0.00203465,0
440,0.00054855,0
441,0.00036587,0
442,0.00258648,0
443,0.00200015,0
444,0.00138082,0
445,0.00492036,0
446,0.00034786,0
447,0.00064509,0
448,0.00645756,0
449,0.00139192,0
450,0.12682903,0
451,0.00097478,0
452,0.00137356,0
453,0.00015400,0
454,0.00026002,0
455,0.00114214,0
456,0.00147361,0
457,0.00096691,0
458,0.00163882,0
459,0.00038186,0
460,0.00043124,0
461,0.00107412,0
462,0.00103355,0
463,0.00029214,0
464,0.00014634,0
465,0.00219503,0
466,0.00194842,0
467,0.01203570,0
468,0.00138647,0
469,0.00126142,0
470,0.00352287,0
471,0.00413446,0
472,0.00209290,0
473,0.00279710,0
474,0.00046873,0
475,0.00336615,0
476,0.00138834,0
477,0.00052531,0
478,0.00046352,0
479,0.00450009,0
480,0.00040255,0
481,0.00825474,0
482,0.24111076,0
483,0.00395358,0
484,0.01249157,0
485,0.00585988,0
486,0.00316264,0
487,0.00247244,0
488,0.00715404,0
489,0.00112752,0
490,0.00078353,0
491,0.00098570,0
492,0.00305863,0
493,0.02103889,0
494,0.00080105,0
495,0.01123669,0
496,0.01696352,0
497,0.20063171,0
498,0.00551565,0
499,0.00252504,0
500,0.00084519,0
501,0.00147330,0
502,0.00200336,0
503,0.00084117,0
504,0.00053982,0
505,0.00244216,0
506,0.00219466,0
507,0.00126505,0
508,0.00685550,0
509,0.00048036,0
510,0.00091283,0
511,0.00822150,0
512,0.00122654,0
513,0.07870846,0
514,0.00148012,0
515,0.00206124,0
516,0.00025749,0
517,0.00027947,0
518,0.00156491,0
519,0.00167905,0
520,0.00127488,0
521,0.00153182,0
522,0.00044540,0
523,0.00078587,0
524,0.00265500,0
525,0.00113473,0
526,0.00053966,0
527,0.00024372,0
528,0.00339967,0
529,0.00203580,0
530,0.01131431,0
531,0.00146449,0
532,0.00185156,0
533,0.00185871,0
534,0.00473784,0
535,0.00237862,0
536,0.00464148,0
537,0.00053878,0
538,0.00264661,0
539,0.00187440,0
540,0.00065341,0
541,0.00084780,0
542,0.00292415,0
543,0.00049922,0
544,0.00480626,0
545,0.10775245,0
