epochs,max_pts,seed,accuracy,cluster1_purity,cluster2_purity,cluster3_purity
10,3000,0,50.000000,42.857143,50.000000,53.846154
10,3000,123,50.000000,42.857143,50.000000,53.846154
10,3000,999,50.000000,42.857143,50.000000,53.846154
10,5000,0,50.000000,53.846154,42.857143,100.000000
10,5000,123,50.000000,53.846154,42.857143,100.000000
10,5000,999,50.000000,53.846154,36.363636,75.000000
10,8000,0,92.857143,100.000000,77.777778,100.000000
10,8000,123,92.857143,100.000000,77.777778,100.000000
10,8000,999,92.857143,100.000000,77.777778,100.000000
10,10000,0,89.285714,92.307692,100.000000,77.777778
10,10000,123,89.285714,92.307692,100.000000,77.777778
10,10000,999,89.285714,92.307692,100.000000,77.777778
20,3000,0,50.000000,42.857143,50.000000,53.846154
20,3000,123,50.000000,42.857143,50.000000,55.555556
20,3000,999,50.000000,42.857143,50.000000,53.846154
20,5000,0,50.000000,53.846154,36.363636,75.000000
20,5000,123,50.000000,53.846154,42.857143,100.000000
20,5000,999,50.000000,53.846154,42.857143,100.000000
20,8000,0,92.857143,100.000000,100.000000,77.777778
20,8000,123,92.857143,100.000000,77.777778,100.000000
20,8000,999,92.857143,100.000000,77.777778,100.000000
20,10000,0,89.285714,92.307692,77.777778,100.000000
20,10000,123,89.285714,92.307692,77.777778,100.000000
20,10000,999,89.285714,92.307692,77.777778,100.000000
30,3000,0,50.000000,42.857143,55.555556,50.000000
30,3000,123,50.000000,42.857143,55.555556,50.000000
30,3000,999,50.000000,42.857143,50.000000,53.846154
30,5000,0,50.000000,53.846154,36.363636,75.000000
30,5000,123,50.000000,53.846154,40.000000,60.000000
30,8000,0,92.857143,100.000000,77.777778,100.000000
30,8000,123,92.857143,100.000000,100.000000,77.777778
30,8000,999,92.857143,100.000000,100.000000,77.777778
30,10000,123,85.714286,100.000000,63.636364,100.000000
30,10000,999,78.571429,91.666667,62.500000,75.000000
40,3000,0,50.000000,42.857143,55.555556,50.000000
40,3000,123,50.000000,42.857143,50.000000,53.846154
40,3000,999,50.000000,42.857143,55.555556,50.000000
40,5000,0,50.000000,53.846154,42.857143,100.000000
40,5000,123,50.000000,53.846154,40.000000,60.000000
40,5000,999,50.000000,53.846154,42.857143,100.000000
40,8000,123,92.857143,100.000000,77.777778,100.000000
30,5000,999,50.000000,53.846154,36.363636,75.000000
30,10000,0,82.142857,100.000000,62.500000,75.000000
40,8000,0,92.857143,100.000000,77.777778,100.000000
40,8000,999,92.857143,100.000000,77.777778,100.000000
40,10000,0,89.285714,100.000000,70.000000,100.000000
40,10000,123,82.142857,75.000000,71.428571,92.307692
40,10000,999,82.142857,100.000000,62.500000,75.000000
50,3000,0,50.000000,42.857143,55.555556,50.000000
50,3000,123,50.000000,42.857143,55.555556,50.000000
50,3000,999,50.000000,42.857143,57.142857,50.000000
50,5000,0,50.000000,46.666667,44.444444,75.000000
50,5000,123,50.000000,53.846154,57.142857,37.500000
50,5000,999,50.000000,53.846154,50.000000,42.857143
50,8000,0,nan,nan,nan,nan
50,8000,123,92.857143,100.000000,77.777778,100.000000
50,8000,999,nan,nan,nan,nan
50,10000,0,82.142857,100.000000,62.500000,75.000000
50,10000,123,85.714286,100.000000,66.666667,92.307692
50,10000,999,85.714286,85.714286,66.666667,100.000000
