row_index,file,q_label,topology,n_points
0,12q_readout_raw_data.txt,12q,2D_Block,500
1,12q_readout_raw_data.txt,12q,2D_Block,1000
2,12q_readout_raw_data.txt,12q,2D_Block,2000
3,12q_readout_raw_data.txt,12q,2D_Block,3000
4,12q_readout_raw_data.txt,12q,2D_Block,4000
5,12q_readout_raw_data.txt,12q,2D_Block,5000
6,12q_readout_raw_data.txt,12q,2D_Block,6000
7,12q_readout_raw_data.txt,12q,2D_Block,7000
8,12q_readout_raw_data.txt,12q,2D_Block,8000
9,12q_readout_raw_data.txt,12q,2D_Block,9000
10,12q_readout_raw_data.txt,12q,2D_Block,10000
11,12q_readout_raw_data.txt,12q,2D_Block,15000
12,12q_readout_raw_data.txt,12q,2D_Block,20000
13,12q_readout_raw_data.txt,12q,2D_Block,30000
14,12q_readout_raw_data.txt,12q,2D_Block,40000
15,14q_readout_raw_data.txt,14q,1D_Snake,500
16,14q_readout_raw_data.txt,14q,1D_Snake,1000
17,14q_readout_raw_data.txt,14q,1D_Snake,2000
18,14q_readout_raw_data.txt,14q,1D_Snake,3000
19,14q_readout_raw_data.txt,14q,1D_Snake,4000
20,14q_readout_raw_data.txt,14q,1D_Snake,5000
21,14q_readout_raw_data.txt,14q,1D_Snake,6000
22,14q_readout_raw_data.txt,14q,1D_Snake,7000
23,14q_readout_raw_data.txt,14q,1D_Snake,8000
24,14q_readout_raw_data.txt,14q,1D_Snake,9000
25,14q_readout_raw_data.txt,14q,1D_Snake,10000
26,14q_readout_raw_data.txt,14q,1D_Snake,15000
27,14q_readout_raw_data.txt,14q,1D_Snake,20000
28,14q_readout_raw_data.txt,14q,1D_Snake,30000
29,14q_readout_raw_data.txt,14q,1D_Snake,40000
30,16q_readout_raw_data.txt,16q,2D_Block,500
31,16q_readout_raw_data.txt,16q,2D_Block,1000
32,16q_readout_raw_data.txt,16q,2D_Block,2000
33,16q_readout_raw_data.txt,16q,2D_Block,3000
34,16q_readout_raw_data.txt,16q,2D_Block,4000
35,16q_readout_raw_data.txt,16q,2D_Block,5000
36,16q_readout_raw_data.txt,16q,2D_Block,6000
37,16q_readout_raw_data.txt,16q,2D_Block,7000
38,16q_readout_raw_data.txt,16q,2D_Block,8000
39,16q_readout_raw_data.txt,16q,2D_Block,9000
40,16q_readout_raw_data.txt,16q,2D_Block,10000
41,16q_readout_raw_data.txt,16q,2D_Block,15000
42,16q_readout_raw_data.txt,16q,2D_Block,20000
