row_index,file,q_label,topology,n_points
0,14q_readout_raw_data.txt,14q,1D_Snake,500
1,14q_readout_raw_data.txt,14q,1D_Snake,1000
2,14q_readout_raw_data.txt,14q,1D_Snake,2000
3,14q_readout_raw_data.txt,14q,1D_Snake,3000
4,14q_readout_raw_data.txt,14q,1D_Snake,4000
5,14q_readout_raw_data.txt,14q,1D_Snake,5000
6,14q_readout_raw_data.txt,14q,1D_Snake,6000
7,14q_readout_raw_data.txt,14q,1D_Snake,7000
8,14q_readout_raw_data.txt,14q,1D_Snake,8000
9,14q_readout_raw_data.txt,14q,1D_Snake,9000
10,14q_readout_raw_data.txt,14q,1D_Snake,10000
11,14q_readout_raw_data.txt,14q,1D_Snake,15000
12,14q_readout_raw_data.txt,14q,1D_Snake,20000
13,14q_readout_raw_data.txt,14q,1D_Snake,30000
14,14q_readout_raw_data.txt,14q,1D_Snake,40000
15,12q_readout_raw_data.txt,12q,2D_Block,500
16,12q_readout_raw_data.txt,12q,2D_Block,1000
17,12q_readout_raw_data.txt,12q,2D_Block,2000
18,12q_readout_raw_data.txt,12q,2D_Block,3000
19,12q_readout_raw_data.txt,12q,2D_Block,4000
20,12q_readout_raw_data.txt,12q,2D_Block,5000
21,12q_readout_raw_data.txt,12q,2D_Block,6000
22,12q_readout_raw_data.txt,12q,2D_Block,7000
23,12q_readout_raw_data.txt,12q,2D_Block,8000
24,12q_readout_raw_data.txt,12q,2D_Block,9000
25,12q_readout_raw_data.txt,12q,2D_Block,10000
26,12q_readout_raw_data.txt,12q,2D_Block,15000
27,12q_readout_raw_data.txt,12q,2D_Block,20000
28,12q_readout_raw_data.txt,12q,2D_Block,30000
29,12q_readout_raw_data.txt,12q,2D_Block,40000
30,26q_readout_raw_data.txt,26q,Bulk_Full,500
31,26q_readout_raw_data.txt,26q,Bulk_Full,1000
32,26q_readout_raw_data.txt,26q,Bulk_Full,2000
33,26q_readout_raw_data.txt,26q,Bulk_Full,3000
34,26q_readout_raw_data.txt,26q,Bulk_Full,4000
35,26q_readout_raw_data.txt,26q,Bulk_Full,5000
36,26q_readout_raw_data.txt,26q,Bulk_Full,6000
37,26q_readout_raw_data.txt,26q,Bulk_Full,7000
38,26q_readout_raw_data.txt,26q,Bulk_Full,8000
39,26q_readout_raw_data.txt,26q,Bulk_Full,9000
40,26q_readout_raw_data.txt,26q,Bulk_Full,10000
41,26q_readout_raw_data.txt,26q,Bulk_Full,15000
42,26q_readout_raw_data.txt,26q,Bulk_Full,20000
43,26q_readout_raw_data.txt,26q,Bulk_Full,30000
44,26q_readout_raw_data.txt,26q,Bulk_Full,40000
